"Section"	"section_id"	"req_id"	"full_key"	"manual_search_terms"	"requirement"	"Test Availability"	"class_def"	"method"	"module"	"matched_terms"	"methods_string"	"search_terms"	"file_name"	"Comment(internal) e.g. why a test is not possible"	"CTS Bug Id"	"Test Level"
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"com.android.cts.releaseparser.ApkParserTest"	"testSysApk"	""	"1: shared"	"([1:/com/android/cts/releaseparser/ApkParserTest.java]:[shared]:[1]:method_text:[ ApkParser} with an APK with Shared Objects/Nactive Code     *     * @throws Exception     */   ])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/tools/release-parser/tests/src/com/android/cts/releaseparser/ApkParserTest.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"com.android.compatibility.common.tradefed.presubmit.ValidateTestsAbi"	"testApksAbis"	""	"1: multi"	"([1:/com/android/compatibility/common/tradefed/presubmit/ValidateTestsAbi.java]:[multi]:[1]:method_text:[     * <p/>     * If there is only one bitness, then we check that it's the right one.     */   ])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/tools/cts-tradefed/tests/src/com/android/compatibility/common/tradefed/presubmit/ValidateTestsAbi.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"com.android.compatibility.common.tradefed.presubmit.CtsConfigLoadingTest"	"testConfigurationLoad"	""	"2: multi user"	"([2:/com/android/compatibility/common/tradefed/presubmit/CtsConfigLoadingTest.java]:[user]:[2]:method_text:[METERS_FAMILY) {            families.put(family, false);        }        return families;    }}])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/tools/cts-tradefed/tests/src/com/android/compatibility/common/tradefed/presubmit/CtsConfigLoadingTest.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"IncrementalDeqpTest"	"assert_not_called"	""	"1: user"	"([1:]:[user]:[1]:method_text:[)    build_helper_mock.assert_called_once_with(False)if __name__ == '__main__':  unittest.main()])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/tools/incremental-cts/incremental_deqp_test.py"	""	""	""
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"com.android.preconditions.cts.PreconditionsTest"	"testScreenUnlocked"	""	"1: storage"	"([1:/com/android/preconditions/cts/PreconditionsTest.java]:[storage]:[1]:method_text:[    /**     * Test if device has accessible external storage     * @throws Exception     */   ])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/tools/cts-preconditions/src/com/android/preconditions/cts/PreconditionsTest.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"com.android.preconditions.cts.PreconditionsTest"	"testExternalStoragePresent"	""	"1: storage"	"([7:/com/android/preconditions/cts/PreconditionsTest.java]:[storage]:[7]:method_text:[e in order to run CTS"",                ExternalStorageHelper.isExternalStorageWritable());    }}])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/tools/cts-preconditions/src/com/android/preconditions/cts/PreconditionsTest.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"dot.junit.opcodes.invoke_static_range.Test_invoke_static_range"	"testN1"	""	"1: user"	"([1:/dot/junit/opcodes/invoke_static_range/Test_invoke_static_range.java]:[user]:[1]:method_text:[sertEquals(1234567, t.run());    }    /**     * @title Static method from user class     */   ])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/tools/vm-tests-tf/src/dot/junit/opcodes/invoke_static_range/Test_invoke_static_range.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"dot.junit.opcodes.invoke_direct.Test_invoke_direct"	"testVFE17"	""	"1: instance."	"([1:/dot/junit/opcodes/invoke_direct/Test_invoke_direct.java]:[instance.]:[1]:method_text:[     * @title An instance initializer must only be invoked on an uninitialized instance.     */   ])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/tools/vm-tests-tf/src/dot/junit/opcodes/invoke_direct/Test_invoke_direct.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"dot.junit.opcodes.invoke_static.Test_invoke_static"	"testN1"	""	"1: user"	"([1:/dot/junit/opcodes/invoke_static/Test_invoke_static.java]:[user]:[1]:method_text:[sertEquals(1234567, t.run());    }    /**     * @title Static method from user class     */   ])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/tools/vm-tests-tf/src/dot/junit/opcodes/invoke_static/Test_invoke_static.java"	""	""	""
"9.5  . Multi"	"9.5"	"C-2-1"	"9.5/C-2-1"	"multi multiuser multiuserstorage"	"""C-2-1] MUST have separate and isolated shared application storage (a.k.a. /sdcard) directories for each user instance."""	""	"dot.junit.opcodes.invoke_direct_range.Test_invoke_direct_range"	"testVFE17"	""	"1: instance."	"([1:/dot/junit/opcodes/invoke_direct_range/Test_invoke_direct_range.java]:[instance.]:[1]:method_text:[     * @title An instance initializer must only be invoked on an uninitialized instance.     */   ])"	"storage a.k.a. separate multi isolated directories user instance. re_tag:(?<!/)C\-2\-1 /sdcard 9.5/C-2-1 multiuser 9.5 multiuserstorage shared"	"/home/gpoor/cts-12-source/cts/tools/vm-tests-tf/src/dot/junit/opcodes/invoke_direct_range/Test_invoke_direct_range.java"	""	""	""
