"Section"	"section_id"	"req_id"	"full_key"	"manual_search_terms"	"requirement"	"Test Availability"	"class_def"	"method"	"module"	"matched_terms"	"methods_string"	"file_name"	"Comment(internal) e.g. why a test is not possible"	"CTS Bug Id"	"Test Level"
"2.2.5  . Security Model"	"9.8.2"	"H-5-1"	"9.8.2/H-5-1"	"display UI view camera indicator app  accessing live camera data  accessed app(s) holding  role section 9.1  CDD identifier"	"""[9.8.2/H-5-1] MUST display the camera indicator when an app is accessing live camera data, but not when the camera is only being accessed by app(s) holding the roles called out in section 9.1 with CDD identifier [C-4-X]. """	""	"SELinuxNeverallowRulesTest"	"isSepolicySplit"	""	"1: UI"	"public void test#!/usr/bin/env python

src_header = """"""/*
 *.
 */

package android.security.cts;

import android.platform.test.annotations.RestrictedBuildTest;
import com.android.compatibility.common.tradefed.build.CompatibilityBuildHelper;
import com.android.compatibility.common.util.PropertyUtil;
import com.android.tradefed.build.IBuildInfo;
import com.android.tradefed.device.ITestDevice;
import com.android.tradefed.testtype.DeviceTestCase;
import com.android.tradefed.testtype.IBuildReceiver;
import com.android.tradefed.testtype.IDeviceTest;

import java.io.BufferedReader;
import java.io.File;
import java.io.InputStream;
import java.io.InputStreamReader;

/**
 * Neverallow Rules SELinux tests.
 */
public class SELinuxNeverallowRulesTest extends DeviceTestCase implements IBuildReceiver, IDeviceTest {
    private File sepolicyAnalyze;
    private File devicePolicyFile;
    private File deviceSystemPolicyFile;

    private IBuildInfo mBuild;
    private int mVendorSepolicyVersion = -1;
    private int mSystemSepolicyVersion = -1;

    /**
     * A reference to the device under test.
     */
    private ITestDevice mDevice;

    /**
     * {@inheritDoc}
     */
    @Override
    public void setBuild(IBuildInfo build) {
        mBuild = build;
    }

    /**
     * {@inheritDoc}
     */
    @Override
    public void setDevice(ITestDevice device) {
        super.setDevice(device);
        mDevice = device;
    }
    @Override
    protected void setUp() throws Exception {
        super.setUp();
        CompatibilityBuildHelper buildHelper = new CompatibilityBuildHelper(mBuild);
        sepolicyAnalyze = android.security.cts.SELinuxHostTest.copyResourceToTempFile(""/sepolicy-analyze"");
        sepolicyAnalyze.setExecutable(true);

        devicePolicyFile = android.security.cts.SELinuxHostTest.getDevicePolicyFile(mDevice);

        if (isSepolicySplit()) {
            deviceSystemPolicyFile =
                    android.security.cts.SELinuxHostTest.getDeviceSystemPolicyFile(mDevice);

            // Caching this variable to save time.
            if (mVendorSepolicyVersion == -1) {
                mVendorSepolicyVersion =
                        android.security.cts.SELinuxHostTest.getVendorSepolicyVersion(mBuild, mDevice);
            }
            if (mSystemSepolicyVersion == -1) {
                mSystemSepolicyVersion =
                        android.security.cts.SELinuxHostTest.getSystemSepolicyVersion(mBuild);
            }
        }
    }

    private boolean isFullTrebleDevice() throws Exception {
        return android.security.cts.SELinuxHostTest.isFullTrebleDevice(mDevice);
    }

    private boolean isDeviceLaunchingWithR() throws Exception {
        return PropertyUtil.getFirstApiLevel(mDevice) > 29;
    }

    private boolean isDeviceLaunchingWithS() throws Exception {
        return PropertyUtil.getFirstApiLevel(mDevice) > 30;
    }

    private boolean isCompatiblePropertyEnforcedDevice() throws Exception {
        return android.security.cts.SELinuxHostTest.isCompatiblePropertyEnforcedDevice(mDevice);
    }

    private boolean isSepolicySplit() throws Exception {
        return android.security.cts.SELinuxHostTest.isSepolicySplit(mDevice);
    }
""""""
src_body = """"
src_footer = """"""}
""""""

src_method = """"""
    @RestrictedBuildTest"	"/home/gpoor/cts-12-source/cts/tools/selinux/SELinuxNeverallowTestFrame.py"	""	""	""
"2.2.5  . Security Model"	"9.8.2"	"H-5-1"	"9.8.2/H-5-1"	"display UI view camera indicator app  accessing live camera data  accessed app(s) holding  role section 9.1  CDD identifier"	"""[9.8.2/H-5-1] MUST display the camera indicator when an app is accessing live camera data, but not when the camera is only being accessed by app(s) holding the roles called out in section 9.1 with CDD identifier [C-4-X]. """	""	"SELinuxNeverallowRulesTest"	"testNeverallowRules"	""	"3: UI only app"	"public void testNeverallowRules() throws Exception {
        String neverallowRule = ""$NEVERALLOW_RULE_HERE$"";
        boolean fullTrebleOnly = $TREBLE_ONLY_BOOL_HERE$;
        boolean launchingWithROnly = $LAUNCHING_WITH_R_ONLY_BOOL_HERE$;
        boolean launchingWithSOnly = $LAUNCHING_WITH_S_ONLY_BOOL_HERE$;
        boolean compatiblePropertyOnly = $COMPATIBLE_PROPERTY_ONLY_BOOL_HERE$;

        if ((fullTrebleOnly) && (!isFullTrebleDevice())) {
            // This test applies only to Treble devices but this device isn't one
            return;
        }
        if ((launchingWithROnly) && (!isDeviceLaunchingWithR())) {
            // This test applies only to devices launching with R or later but this device isn't one
            return;
        }
        if ((launchingWithSOnly) && (!isDeviceLaunchingWithS())) {
            // This test applies only to devices launching with S or later but this device isn't one
            return;
        }
        if ((compatiblePropertyOnly) && (!isCompatiblePropertyEnforcedDevice())) {
            // This test applies only to devices on which compatible property is enforced but this
            // device isn't one
            return;
        }

        // If sepolicy is split and vendor sepolicy version is behind platform's,
        // only test against platform policy.
        File policyFile =
                (isSepolicySplit() && mVendorSepolicyVersion < mSystemSepolicyVersion) ?
                deviceSystemPolicyFile :
                devicePolicyFile;

        /* run sepolicy-analyze neverallow check on policy file using given neverallow rules */
        ProcessBuilder pb = new ProcessBuilder(sepolicyAnalyze.getAbsolutePath(),
                policyFile.getAbsolutePath(), ""neverallow"", ""-w"", ""-n"",
                neverallowRule);
        pb.redirectOutput(ProcessBuilder.Redirect.PIPE);
        pb.redirectErrorStream(true);
        Process p = pb.start();
        BufferedReader result = new BufferedReader(new InputStreamReader(p.getInputStream()));
        String line;
        StringBuilder errorString = new StringBuilder();
        while ((line = result.readLine()) != null) {
            errorString.append(line);
            errorString.append(""\\n"");
        }
        p.waitFor();
        assertTrue(""The following errors were encountered when validating the SELinux""
                   + ""neverallow rule:\\n"" + neverallowRule + ""\\n"" + errorString,
                   errorString.length() == 0);
    }
"""""""	"/home/gpoor/cts-12-source/cts/tools/selinux/SELinuxNeverallowTestFrame.py"	""	""	""
"2.2.5  . Security Model"	"9.8.2"	"H-5-1"	"9.8.2/H-5-1"	"display UI view camera indicator app  accessing live camera data  accessed app(s) holding  role section 9.1  CDD identifier"	"""[9.8.2/H-5-1] MUST display the camera indicator when an app is accessing live camera data, but not when the camera is only being accessed by app(s) holding the roles called out in section 9.1 with CDD identifier [C-4-X]. """	""	"com.android.cts.releaseparser.FileParserTest"	"testVdex"	""	"1: UI"	"public void testVdex() throws Exception {
        String fileName = TEST_VDEX;
        File aFile = ClassUtils.getResrouceFile(getClass(), fileName);
        VdexParser aParser = new VdexParser(aFile);

        Entry.Builder fileEntryBuilder = aParser.getFileEntryBuilder();
        fileEntryBuilder.setName(fileName);
        testFileParser(fileName, fileEntryBuilder.build());
    }

    /**
     * Test {@link ArtParser} with an Art file
     *
     * @throws Exception
     */"	"/home/gpoor/cts-12-source/cts/tools/release-parser/tests/src/com/android/cts/releaseparser/FileParserTest.java"	""	""	""
"2.2.5  . Security Model"	"9.8.2"	"H-5-1"	"9.8.2/H-5-1"	"display UI view camera indicator app  accessing live camera data  accessed app(s) holding  role section 9.1  CDD identifier"	"""[9.8.2/H-5-1] MUST display the camera indicator when an app is accessing live camera data, but not when the camera is only being accessed by app(s) holding the roles called out in section 9.1 with CDD identifier [C-4-X]. """	""	"com.android.cts.releaseparser.FileParserTest"	"testArt"	""	"1: UI"	"public void testArt() throws Exception {
        String fileName = TEST_ART;
        File aFile = ClassUtils.getResrouceFile(getClass(), fileName);
        ArtParser aParser = new ArtParser(aFile);

        Entry.Builder fileEntryBuilder = aParser.getFileEntryBuilder();
        fileEntryBuilder.setName(fileName);
        testFileParser(fileName, fileEntryBuilder.build());
    }

    /**
     * Test {@link OatParser} with an Oat file
     *
     * @throws Exception
     */"	"/home/gpoor/cts-12-source/cts/tools/release-parser/tests/src/com/android/cts/releaseparser/FileParserTest.java"	""	""	""
"2.2.5  . Security Model"	"9.8.2"	"H-5-1"	"9.8.2/H-5-1"	"display UI view camera indicator app  accessing live camera data  accessed app(s) holding  role section 9.1  CDD identifier"	"""[9.8.2/H-5-1] MUST display the camera indicator when an app is accessing live camera data, but not when the camera is only being accessed by app(s) holding the roles called out in section 9.1 with CDD identifier [C-4-X]. """	""	"com.android.cts.releaseparser.FileParserTest"	"testOat"	""	"1: UI"	"public void testOat() throws Exception {
        String fileName = TEST_OAT;
        File aFile = ClassUtils.getResrouceFile(getClass(), fileName);
        OatParser aParser = new OatParser(aFile);

        Entry.Builder fileEntryBuilder = aParser.getFileEntryBuilder();
        fileEntryBuilder.setName(fileName);
        testFileParser(fileName, fileEntryBuilder.build());
    }

    /**
     * Test {@link OdexParser} with an Odex file
     *
     * @throws Exception
     */"	"/home/gpoor/cts-12-source/cts/tools/release-parser/tests/src/com/android/cts/releaseparser/FileParserTest.java"	""	""	""
"2.2.5  . Security Model"	"9.8.2"	"H-5-1"	"9.8.2/H-5-1"	"display UI view camera indicator app  accessing live camera data  accessed app(s) holding  role section 9.1  CDD identifier"	"""[9.8.2/H-5-1] MUST display the camera indicator when an app is accessing live camera data, but not when the camera is only being accessed by app(s) holding the roles called out in section 9.1 with CDD identifier [C-4-X]. """	""	"com.android.cts.releaseparser.FileParserTest"	"testOdex"	""	"1: UI"	"public void testOdex() throws Exception {
        String fileName = TEST_ODEX;
        File aFile = ClassUtils.getResrouceFile(getClass(), fileName);
        OdexParser aParser = new OdexParser(aFile);

        Entry.Builder fileEntryBuilder = aParser.getFileEntryBuilder();
        fileEntryBuilder.setName(fileName);
        testFileParser(fileName, fileEntryBuilder.build());
    }

    /**
     * Test {@link BuildPropParser} with build.prop file
     *
     * @throws Exception
     */"	"/home/gpoor/cts-12-source/cts/tools/release-parser/tests/src/com/android/cts/releaseparser/FileParserTest.java"	""	""	""
"2.2.5  . Security Model"	"9.8.2"	"H-5-1"	"9.8.2/H-5-1"	"display UI view camera indicator app  accessing live camera data  accessed app(s) holding  role section 9.1  CDD identifier"	"""[9.8.2/H-5-1] MUST display the camera indicator when an app is accessing live camera data, but not when the camera is only being accessed by app(s) holding the roles called out in section 9.1 with CDD identifier [C-4-X]. """	""	"com.android.cts.releaseparser.FileParserTest"	"testBuildProp"	""	"1: UI"	"public void testBuildProp() throws Exception {
        String fileName = TEST_BUILD_PROP;
        File aFile = ClassUtils.getResrouceFile(getClass(), fileName);
        BuildPropParser aParser = new BuildPropParser(aFile);

        Entry.Builder fileEntryBuilder = aParser.getFileEntryBuilder();
        fileEntryBuilder.setName(fileName);
        testFileParser(fileName, fileEntryBuilder.build());
    }

    /**
     * Test {@link XmlParser} with a platform.xml file
     *
     * @throws Exception
     */"	"/home/gpoor/cts-12-source/cts/tools/release-parser/tests/src/com/android/cts/releaseparser/FileParserTest.java"	""	""	""
"2.2.5  . Security Model"	"9.8.2"	"H-5-1"	"9.8.2/H-5-1"	"display UI view camera indicator app  accessing live camera data  accessed app(s) holding  role section 9.1  CDD identifier"	"""[9.8.2/H-5-1] MUST display the camera indicator when an app is accessing live camera data, but not when the camera is only being accessed by app(s) holding the roles called out in section 9.1 with CDD identifier [C-4-X]. """	""	"com.android.cts.releaseparser.FileParserTest"	"testFeatureXml"	""	"1: UI"	"public void testFeatureXml() throws Exception {
        testXmlParser(TEST_DEVICE_FEATURE_XML);
    }

    private void testXmlParser(String fileName) throws Exception {
        File aFile = ClassUtils.getResrouceFile(getClass(), fileName);
        XmlParser aParser = new XmlParser(aFile);

        Entry.Builder fileEntryBuilder = aParser.getFileEntryBuilder();
        fileEntryBuilder.setName(fileName);
        testFileParser(fileName, fileEntryBuilder.build());
    }

    private void testFileParser(String fileName, Entry fileEntry) throws Exception {
        Entry.Builder expectedEntryBuilder = Entry.newBuilder();
        String txtProtobufFileName = fileName + PB_TXT;
        TextFormat.getParser()
                .merge(
                        ClassUtils.openResourceAsStreamReader(getClass(), txtProtobufFileName),
                        expectedEntryBuilder);
        assertTrue(
                String.format(
                        ""Parser does not return the same Entry message of %s with %s.\n%s\n%s"",
                        fileName,
                        txtProtobufFileName,
                        TextFormat.printToString(fileEntry),
                        TextFormat.printToString(expectedEntryBuilder)),
                fileEntry.equals(expectedEntryBuilder.build()));
    }
}"	"/home/gpoor/cts-12-source/cts/tools/release-parser/tests/src/com/android/cts/releaseparser/FileParserTest.java"	""	""	""
"2.2.5  . Security Model"	"9.8.2"	"H-5-1"	"9.8.2/H-5-1"	"display UI view camera indicator app  accessing live camera data  accessed app(s) holding  role section 9.1  CDD identifier"	"""[9.8.2/H-5-1] MUST display the camera indicator when an app is accessing live camera data, but not when the camera is only being accessed by app(s) holding the roles called out in section 9.1 with CDD identifier [C-4-X]. """	""	"com.android.cts.releaseparser.ApkParserTest"	"testSoApk"	""	"1: UI"	"public void testSoApk() throws Exception {
        testApkParser(TEST_SO_APK);
    }

    private void testApkParser(String fileName) throws Exception {
        File apkFile = ClassUtils.getResrouceFile(getClass(), fileName);
        ApkParser aParser = new ApkParser(apkFile);
        Entry.Builder fileEntryBuilder = aParser.getFileEntryBuilder();
        fileEntryBuilder.setName(fileName);

        Entry fileEntry = fileEntryBuilder.build();
        Entry.Builder expectedfileEntryBuilder = Entry.newBuilder();

        String txtProtobufFileName = fileName + PB_TXT;
        TextFormat.getParser()
                .merge(
                        ClassUtils.openResourceAsStreamReader(getClass(), txtProtobufFileName),
                        expectedfileEntryBuilder);
        assertTrue(
                String.format(
                        ""ApkParser does not return the same Entry of %s as %s.\n%s"",
                        fileName, txtProtobufFileName, TextFormat.printToString(fileEntry)),
                fileEntry.equals(expectedfileEntryBuilder.build()));
    }
}"	"/home/gpoor/cts-12-source/cts/tools/release-parser/tests/src/com/android/cts/releaseparser/ApkParserTest.java"	""	""	""
"2.2.5  . Security Model"	"9.8.2"	"H-5-1"	"9.8.2/H-5-1"	"display UI view camera indicator app  accessing live camera data  accessed app(s) holding  role section 9.1  CDD identifier"	"""[9.8.2/H-5-1] MUST display the camera indicator when an app is accessing live camera data, but not when the camera is only being accessed by app(s) holding the roles called out in section 9.1 with CDD identifier [C-4-X]. """	""	"com.android.cts.releaseparser.ApkParserTest"	"testSimpleApk"	""	"1: app"	"public void testSimpleApk() throws Exception {
        testApkParser(TEST_SIMPLE_APK);
    }

    /**
     * Test {@link ApkParser} with an Sys(priv-app) APK
     *
     * @throws Exception
     */"	"/home/gpoor/cts-12-source/cts/tools/release-parser/tests/src/com/android/cts/releaseparser/ApkParserTest.java"	""	""	""
