"Section"	"section_id"	"req_id"	"full_key"	"manual_search_terms"	"requirement"	"Test Availability"	"class_def"	"method"	"module"	"matched_terms"	"methods_string"	"search_terms"	"file_name"	"Comment(internal) e.g. why a test is not possible"	"CTS Bug Id"	"Test Level"
"9.9.3  . Encryption Methods"	"9.9.3"	"C-1-8"	"9.9.3/C-1-8"	""	"""C-1-8] CE keys MUST be bound to a user&#39;s lock screen credentials."""	""	"com.android.cts.devicepolicy.AccountCheckHostSideTest"	"runCleanupNonTestOnlyOwnerAllowingFailure"	"CtsDevicePolicyManagerTestCases"	"1: lock"	"([1:/com/android/cts/devicepolicy/AccountCheckHostSideTest.java]:[lock]:[1]:method_text:[user when     * there is/are different types of accounts added on the target test user.     */   ])"	"lock C-1-8 credentials CE user&#39;s screen bound keys"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/AccountCheckHostSideTest.java"	""	""	""
"9.9.3  . Encryption Methods"	"9.9.3"	"C-1-8"	"9.9.3/C-1-8"	""	"""C-1-8] CE keys MUST be bound to a user&#39;s lock screen credentials."""	""	"com.android.cts.devicepolicy.DeviceAdminHostSideTestApi29"	"testRunDeviceAdminTest"	"CtsDevicePolicyManagerTestCases"	"1: lock"	"([1:/com/android/cts/devicepolicy/DeviceAdminHostSideTestApi29.java]:[lock]:[1]:method_text:[       runTests(getDeviceAdminApkPackage(), ""DeviceAdminWithEnterprisePoliciesBlockedTest"");    }}])"	"lock C-1-8 credentials CE user&#39;s screen bound keys"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/DeviceAdminHostSideTestApi29.java"	""	""	""
"9.9.3  . Encryption Methods"	"9.9.3"	"C-1-8"	"9.9.3/C-1-8"	""	"""C-1-8] CE keys MUST be bound to a user&#39;s lock screen credentials."""	""	"com.android.cts.devicepolicy.ManagedProfileProvisioningSingleAdminTest"	"removeTestUsers"	"CtsDevicePolicyManagerTestCases"	"1: CE"	"([13:/com/android/cts/devicepolicy/ManagedProfileProvisioningSingleAdminTest.java]:[CE]:[13]:method_text:[getDevice().uninstallPackage(SINGLE_ADMIN_PKG);        super.tearDown();    }    @FlakyTest   ])"	"lock C-1-8 credentials CE user&#39;s screen bound keys"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/ManagedProfileProvisioningSingleAdminTest.java"	""	""	""
"9.9.3  . Encryption Methods"	"9.9.3"	"C-1-8"	"9.9.3/C-1-8"	""	"""C-1-8] CE keys MUST be bound to a user&#39;s lock screen credentials."""	""	"com.android.cts.devicepolicy.ManagedProfileProvisioningSingleAdminTest"	"testEXTRA_PROVISIONING_DEVICE_ADMIN_PACKAGE_NAME"	"CtsDevicePolicyManagerTestCases"	"1: CE"	"([4:/com/android/cts/devicepolicy/ManagedProfileProvisioningSingleAdminTest.java]:[CE]:[4]:method_text:[ileProvisioning"", mPrimaryUserId);        mProfileUserId = getFirstManagedProfileUserId();    }}])"	"lock C-1-8 credentials CE user&#39;s screen bound keys"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/ManagedProfileProvisioningSingleAdminTest.java"	""	""	""
"9.9.3  . Encryption Methods"	"9.9.3"	"C-1-8"	"9.9.3/C-1-8"	""	"""C-1-8] CE keys MUST be bound to a user&#39;s lock screen credentials."""	""	"com.android.cts.devicepolicy.ManagedProfileTimeoutTest"	"testWorkProfileTimeoutBackground"	"CtsDevicePolicyManagerTestCases"	"2: lock screen"	"([1:/com/android/cts/devicepolicy/ManagedProfileTimeoutTest.java]:[screen]:[1]:method_text:[** Profile should get locked if it is in foreground but with no user activity. */    @LargeTest   ])"	"lock C-1-8 credentials CE user&#39;s screen bound keys"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/ManagedProfileTimeoutTest.java"	""	""	""
"9.9.3  . Encryption Methods"	"9.9.3"	"C-1-8"	"9.9.3/C-1-8"	""	"""C-1-8] CE keys MUST be bound to a user&#39;s lock screen credentials."""	""	"com.android.cts.devicepolicy.ManagedProfileTimeoutTest"	"testWorkProfileTimeoutIdleActivity"	"CtsDevicePolicyManagerTestCases"	"2: lock screen"	"([1:/com/android/cts/devicepolicy/ManagedProfileTimeoutTest.java]:[screen]:[1]:method_text:[true);    }    /** User activity in profile should prevent it from locking. */    @FlakyTest   ])"	"lock C-1-8 credentials CE user&#39;s screen bound keys"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/ManagedProfileTimeoutTest.java"	""	""	""
"9.9.3  . Encryption Methods"	"9.9.3"	"C-1-8"	"9.9.3/C-1-8"	""	"""C-1-8] CE keys MUST be bound to a user&#39;s lock screen credentials."""	""	"com.android.cts.devicepolicy.ManagedProfileTimeoutTest"	"testWorkProfileTimeoutUserActivity"	"CtsDevicePolicyManagerTestCases"	"2: lock screen"	"([2:/com/android/cts/devicepolicy/ManagedProfileTimeoutTest.java]:[screen]:[2]:method_text:[ /** Keep screen on window flag in the profile should prevent it from locking. */    @FlakyTest   ])"	"lock C-1-8 credentials CE user&#39;s screen bound keys"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/ManagedProfileTimeoutTest.java"	""	""	""
"9.9.3  . Encryption Methods"	"9.9.3"	"C-1-8"	"9.9.3/C-1-8"	""	"""C-1-8] CE keys MUST be bound to a user&#39;s lock screen credentials."""	""	"com.android.cts.devicepolicy.ManagedProfileTimeoutTest"	"testWorkProfileTimeoutKeepScreenOnWindow"	"CtsDevicePolicyManagerTestCases"	"2: lock screen"	"([6:/com/android/cts/devicepolicy/ManagedProfileTimeoutTest.java]:[screen]:[6]:method_text:[%s %s/.TimeoutActivity"",                profileUserId, keepScreenOn, MANAGED_PROFILE_PKG));    }}])"	"lock C-1-8 credentials CE user&#39;s screen bound keys"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/ManagedProfileTimeoutTest.java"	""	""	""
"9.9.3  . Encryption Methods"	"9.9.3"	"C-1-8"	"9.9.3/C-1-8"	""	"""C-1-8] CE keys MUST be bound to a user&#39;s lock screen credentials."""	""	"com.android.cts.devicepolicy.DeviceOwnerTest"	"testWifiConfigLockdown"	"CtsDevicePolicyManagerTestCases"	"2: lock CE"	"([5:/com/android/cts/devicepolicy/DeviceOwnerTest.java]:[CE]:[5]:method_text:[ATOR_PKG);        }    }    /**     * Execute WifiSetHttpProxyTest as device owner.     */   ])"	"lock C-1-8 credentials CE user&#39;s screen bound keys"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/DeviceOwnerTest.java"	""	""	""
"9.9.3  . Encryption Methods"	"9.9.3"	"C-1-8"	"9.9.3/C-1-8"	""	"""C-1-8] CE keys MUST be bound to a user&#39;s lock screen credentials."""	""	"com.android.cts.devicepolicy.DeviceOwnerTest"	"testDeviceOwnerSetup"	"CtsDevicePolicyManagerTestCases"	"1: CE"	"([4:/com/android/cts/devicepolicy/DeviceOwnerTest.java]:[CE]:[4]:method_text:[ceOwnerSetup() throws Exception {        executeDeviceOwnerTest(""DeviceOwnerSetupTest"");    }   ])"	"lock C-1-8 credentials CE user&#39;s screen bound keys"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/DeviceOwnerTest.java"	""	""	""
"9.9.3  . Encryption Methods"	"9.9.3"	"C-1-8"	"9.9.3/C-1-8"	""	"""C-1-8] CE keys MUST be bound to a user&#39;s lock screen credentials."""	""	"com.android.cts.devicepolicy.DeviceOwnerTest"	"testProxyStaticProxyTest"	"CtsDevicePolicyManagerTestCases"	"1: CE"	"([2:/com/android/cts/devicepolicy/DeviceOwnerTest.java]:[CE]:[2]:method_text:[icProxyTest() throws Exception {        executeDeviceOwnerTest(""proxy.StaticProxyTest"");    }   ])"	"lock C-1-8 credentials CE user&#39;s screen bound keys"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/DeviceOwnerTest.java"	""	""	""
"9.9.3  . Encryption Methods"	"9.9.3"	"C-1-8"	"9.9.3/C-1-8"	""	"""C-1-8] CE keys MUST be bound to a user&#39;s lock screen credentials."""	""	"com.android.cts.devicepolicy.DeviceOwnerTest"	"testProxyPacProxyTest"	"CtsDevicePolicyManagerTestCases"	"1: CE"	"([2:/com/android/cts/devicepolicy/DeviceOwnerTest.java]:[CE]:[2]:method_text:[xyPacProxyTest() throws Exception {        executeDeviceOwnerTest(""proxy.PacProxyTest"");    }   ])"	"lock C-1-8 credentials CE user&#39;s screen bound keys"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/DeviceOwnerTest.java"	""	""	""
"9.9.3  . Encryption Methods"	"9.9.3"	"C-1-8"	"9.9.3/C-1-8"	""	"""C-1-8] CE keys MUST be bound to a user&#39;s lock screen credentials."""	""	"com.android.cts.devicepolicy.DeviceOwnerTest"	"testRemoteBugreportWithTwoUsers"	"CtsDevicePolicyManagerTestCases"	"1: CE"	"([3:/com/android/cts/devicepolicy/DeviceOwnerTest.java]:[CE]:[3]:method_text:[  } finally {            removeUser(userId);        }    }    @FlakyTest(bugId = 137071121)   ])"	"lock C-1-8 credentials CE user&#39;s screen bound keys"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/DeviceOwnerTest.java"	""	""	""
"9.9.3  . Encryption Methods"	"9.9.3"	"C-1-8"	"9.9.3/C-1-8"	""	"""C-1-8] CE keys MUST be bound to a user&#39;s lock screen credentials."""	""	"com.android.cts.devicepolicy.DeviceOwnerTest"	"testCreateAndManageUser_LowStorage"	"CtsDevicePolicyManagerTestCases"	"1: CE"	"([8:/com/android/cts/devicepolicy/DeviceOwnerTest.java]:[CE]:[8]:method_text:[                    ""settings delete global sys_storage_threshold_max_bytes"");        }    }   ])"	"lock C-1-8 credentials CE user&#39;s screen bound keys"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/DeviceOwnerTest.java"	""	""	""
"9.9.3  . Encryption Methods"	"9.9.3"	"C-1-8"	"9.9.3/C-1-8"	""	"""C-1-8] CE keys MUST be bound to a user&#39;s lock screen credentials."""	""	"com.android.cts.devicepolicy.DeviceOwnerTest"	"testCreateAndManageUser_MaxUsers"	"CtsDevicePolicyManagerTestCases"	"1: CE"	"([4:/com/android/cts/devicepolicy/DeviceOwnerTest.java]:[CE]:[4]:method_text:[eUser.     * {@link android.app.admin.DevicePolicyManager#getSecondaryUsers} is tested.     */   ])"	"lock C-1-8 credentials CE user&#39;s screen bound keys"	"/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/DeviceOwnerTest.java"	""	""	""
