"Section"	"section_id"	"req_id"	"full_key"	"key_as_number"	"requirement"	"Test Availability"	"search_roots"	"search_terms"	"manual_search_terms"	"not_search_terms"	"not_files"	"max_matches"	"class_defs"	"methods"	"modules"	"protected"	"Area"	"Shortened"	"Test Level"	"class_def"	"method"	"module"	"class_defs"	"methods"	"modules"	"file_name"	"matched_files"	"methods_string"	"urls"	"method_text"	"matched_terms"	"qualified_method"
"3.2.3.5  Conditional Application Intents"	"3.2.3.5"	"C-2-6"	"3.2.3.5/C-2-6"	"03020305.670206"	"""C-2-6] MUST honor the [android.intent.action.SENDTO](https://developer.android.com/reference/android/content/Intent#ACTION_SENDTO) and [android.intent.action.VIEW](https://developer.android.com/reference/android/content/Intent#ACTION_VIEW) intents and provide an activity to send/display SMS messages. """	""	""	"SENDTO ACTION_VIEW android.intent.action.VIEW ACTION_SENDTO SMS android.intent.action.SENDTO"	""	""	""	""	""	""	""	""	""	""	""	"android.content.pm.cts.shortcut.multiuser.ShortcutManagerManagedUserTest"	"test02_createShortuctsOnPrimaryUser"	""	""	""	""	"/home/gpoor/cts-12-source/cts/hostsidetests/shortcuts/deviceside/multiuser/src/android/content/pm/cts/shortcut/multiuser/ShortcutManagerManagedUserTest.java"	""	"public void test02_createShortuctsOnPrimaryUser() {
        assertTrue(getManager().setDynamicShortcuts(list(
                new ShortcutInfo.Builder(getContext(), ""s1"")
                        .setShortLabel(""label1"")
                        .setIntent(new Intent(Intent.ACTION_VIEW).setComponent(
                                new ComponentName(getContext(), MainActivity.class))).build())));
    }"	""	""	"ACTION_VIEW"	""
"3.2.3.5  Conditional Application Intents"	"3.2.3.5"	"C-2-6"	"3.2.3.5/C-2-6"	"03020305.670206"	"""C-2-6] MUST honor the [android.intent.action.SENDTO](https://developer.android.com/reference/android/content/Intent#ACTION_SENDTO) and [android.intent.action.VIEW](https://developer.android.com/reference/android/content/Intent#ACTION_VIEW) intents and provide an activity to send/display SMS messages. """	""	""	"SENDTO ACTION_VIEW android.intent.action.VIEW ACTION_SENDTO SMS android.intent.action.SENDTO"	""	""	""	""	""	""	""	""	""	""	""	"android.content.pm.cts.shortcut.multiuser.ShortcutManagerManagedUserTest"	"test03_createShortuctsOnManagedProfile"	""	""	""	""	"/home/gpoor/cts-12-source/cts/hostsidetests/shortcuts/deviceside/multiuser/src/android/content/pm/cts/shortcut/multiuser/ShortcutManagerManagedUserTest.java"	""	"public void test03_createShortuctsOnManagedProfile() {
        assertTrue(getManager().setDynamicShortcuts(list(
                new ShortcutInfo.Builder(getContext(), ""s1"")
                        .setShortLabel(""label2"")
                        .setIntent(new Intent(Intent.ACTION_VIEW).setComponent(
                                new ComponentName(getContext(), MainActivity.class))).build())));
    }"	""	""	"ACTION_VIEW"	""
"3.2.3.5  Conditional Application Intents"	"3.2.3.5"	"C-2-6"	"3.2.3.5/C-2-6"	"03020305.670206"	"""C-2-6] MUST honor the [android.intent.action.SENDTO](https://developer.android.com/reference/android/content/Intent#ACTION_SENDTO) and [android.intent.action.VIEW](https://developer.android.com/reference/android/content/Intent#ACTION_VIEW) intents and provide an activity to send/display SMS messages. """	""	""	"SENDTO ACTION_VIEW android.intent.action.VIEW ACTION_SENDTO SMS android.intent.action.SENDTO"	""	""	""	""	""	""	""	""	""	""	""	"android.content.cts.IntentFilterTest"	"testAppEnumerationContactProviders"	"CtsContentTestCases"	""	""	""	"/home/gpoor/cts-12-source/cts/tests/tests/content/src/android/content/cts/IntentFilterTest.java"	""	"public void testAppEnumerationContactProviders() throws Exception {
        // sample contact source
        IntentFilter filter = new Match(new String[]{Intent.ACTION_VIEW},
                new String[]{Intent.CATEGORY_DEFAULT},
                new String[]{""vnd.android.cursor.item/vnd.com.someapp.profile""},
                new String[]{""content""},
                new String[]{""com.android.contacts""},
                null /*ports*/);

        // app that would like to match all contact sources
        checkMatches(filter,
                new MatchCondition(MATCH_CATEGORY_TYPE,
                        Intent.ACTION_VIEW,
                        null /*categories*/,
                        ""vnd.android.cursor.item/*"",
                        ""content://com.android.contacts"",
                        true));
    }"	""	""	"ACTION_VIEW"	""
"3.2.3.5  Conditional Application Intents"	"3.2.3.5"	"C-2-6"	"3.2.3.5/C-2-6"	"03020305.670206"	"""C-2-6] MUST honor the [android.intent.action.SENDTO](https://developer.android.com/reference/android/content/Intent#ACTION_SENDTO) and [android.intent.action.VIEW](https://developer.android.com/reference/android/content/Intent#ACTION_VIEW) intents and provide an activity to send/display SMS messages. """	""	""	"SENDTO ACTION_VIEW android.intent.action.VIEW ACTION_SENDTO SMS android.intent.action.SENDTO"	""	""	""	""	""	""	""	""	""	""	""	"android.content.cts.IntentFilterTest"	"testAppEnumerationDocumentEditor"	"CtsContentTestCases"	""	""	""	"/home/gpoor/cts-12-source/cts/tests/tests/content/src/android/content/cts/IntentFilterTest.java"	""	"public void testAppEnumerationDocumentEditor() throws Exception {
        // sample document editor
        IntentFilter filter = new Match(
                new String[]{
                        Intent.ACTION_VIEW,
                        Intent.ACTION_EDIT,
                        ""com.app.android.intent.action.APP_EDIT"",
                        ""com.app.android.intent.action.APP_VIEW""},
                new String[]{Intent.CATEGORY_DEFAULT},
                new String[]{
                        ""application/msword"",
                        ""application/vnd.oasis.opendocument.text"",
                        ""application/rtf"",
                        ""text/rtf"",
                        ""text/plain"",
                        ""application/pdf"",
                        ""application/x-pdf"",
                        ""application/docm""},
                null /*schemes*/,
                null /*authorities*/,
                null /*ports*/);

        // app that would like to match all doc editors
        checkMatches(filter,
                new MatchCondition(MATCH_CATEGORY_TYPE,
                        Intent.ACTION_VIEW,
                        new String[]{Intent.CATEGORY_DEFAULT},
                        ""*/*"",
                        ""content://com.example.fileprovider"",
                        true));

    }"	""	""	"ACTION_VIEW"	""
"3.2.3.5  Conditional Application Intents"	"3.2.3.5"	"C-2-6"	"3.2.3.5/C-2-6"	"03020305.670206"	"""C-2-6] MUST honor the [android.intent.action.SENDTO](https://developer.android.com/reference/android/content/Intent#ACTION_SENDTO) and [android.intent.action.VIEW](https://developer.android.com/reference/android/content/Intent#ACTION_VIEW) intents and provide an activity to send/display SMS messages. """	""	""	"SENDTO ACTION_VIEW android.intent.action.VIEW ACTION_SENDTO SMS android.intent.action.SENDTO"	""	""	""	""	""	""	""	""	""	""	""	"android.content.cts.IntentFilterTest"	"testAppEnumerationDeepLinks"	"CtsContentTestCases"	""	""	""	"/home/gpoor/cts-12-source/cts/tests/tests/content/src/android/content/cts/IntentFilterTest.java"	""	"public void testAppEnumerationDeepLinks() throws Exception {
        // Sample app that supports deep-links
        IntentFilter filter = new Match(
                new String[]{Intent.ACTION_VIEW},
                new String[]{
                        Intent.CATEGORY_DEFAULT,
                        Intent.CATEGORY_BROWSABLE},
                null /*types*/,
                new String[]{""http"", ""https""},
                new String[]{""arbitrary-site.com""},
                null /*ports*/);

        // Browser that would like to see all deep-linkable http/s app, but not all apps
        checkMatches(filter,
                new MatchCondition(MATCH_CATEGORY_HOST,
                        Intent.ACTION_VIEW,
                        new String[]{Intent.CATEGORY_BROWSABLE},
                        null,
                        ""https://*"",
                        true));
        checkMatches(filter,
                new MatchCondition(MATCH_CATEGORY_HOST,
                        Intent.ACTION_VIEW,
                        new String[]{Intent.CATEGORY_BROWSABLE},
                        null,
                        ""http://*"",
                        true));
    }"	""	""	"ACTION_VIEW"	""
"3.2.3.5  Conditional Application Intents"	"3.2.3.5"	"C-2-6"	"3.2.3.5/C-2-6"	"03020305.670206"	"""C-2-6] MUST honor the [android.intent.action.SENDTO](https://developer.android.com/reference/android/content/Intent#ACTION_SENDTO) and [android.intent.action.VIEW](https://developer.android.com/reference/android/content/Intent#ACTION_VIEW) intents and provide an activity to send/display SMS messages. """	""	""	"SENDTO ACTION_VIEW android.intent.action.VIEW ACTION_SENDTO SMS android.intent.action.SENDTO"	""	""	""	""	""	""	""	""	""	""	""	"android.content.cts.IntentFilterTest"	"testAppEnumerationNoHostMatchesWildcardHost"	"CtsContentTestCases"	""	""	""	"/home/gpoor/cts-12-source/cts/tests/tests/content/src/android/content/cts/IntentFilterTest.java"	""	"public void testAppEnumerationNoHostMatchesWildcardHost() throws Exception {
        IntentFilter filter = new Match(
                new String[]{Intent.ACTION_VIEW},
                new String[]{Intent.CATEGORY_BROWSABLE},
                null,
                new String[]{""http"", ""https""},
                new String[]{""*""},
                null /*ports*/);
        checkMatches(filter,
                new MatchCondition(MATCH_CATEGORY_HOST,
                        Intent.ACTION_VIEW,
                        new String[]{Intent.CATEGORY_BROWSABLE},
                        null,
                        ""https://*"",
                        true));

        checkMatches(filter,
                new MatchCondition(MATCH_CATEGORY_HOST,
                        Intent.ACTION_VIEW,
                        new String[]{Intent.CATEGORY_BROWSABLE},
                        null,
                        ""https://"",
                        true));
    }"	""	""	"ACTION_VIEW"	""
"3.2.3.5  Conditional Application Intents"	"3.2.3.5"	"C-2-6"	"3.2.3.5/C-2-6"	"03020305.670206"	"""C-2-6] MUST honor the [android.intent.action.SENDTO](https://developer.android.com/reference/android/content/Intent#ACTION_SENDTO) and [android.intent.action.VIEW](https://developer.android.com/reference/android/content/Intent#ACTION_VIEW) intents and provide an activity to send/display SMS messages. """	""	""	"SENDTO ACTION_VIEW android.intent.action.VIEW ACTION_SENDTO SMS android.intent.action.SENDTO"	""	""	""	""	""	""	""	""	""	""	""	"android.content.cts.IntentFilterTest"	"testAppEnumerationNoPortMatchesPortFilter"	"CtsContentTestCases"	""	""	""	"/home/gpoor/cts-12-source/cts/tests/tests/content/src/android/content/cts/IntentFilterTest.java"	""	"public void testAppEnumerationNoPortMatchesPortFilter() throws Exception {
        IntentFilter filter = new Match(
                new String[]{Intent.ACTION_VIEW},
                new String[]{Intent.CATEGORY_BROWSABLE},
                null,
                new String[]{""http"", ""https""},
                new String[]{""*""},
                new String[]{""81""});
        checkMatches(filter,
                new MatchCondition(MATCH_CATEGORY_HOST,
                        Intent.ACTION_VIEW,
                        new String[]{Intent.CATEGORY_BROWSABLE},
                        null,
                        ""https://something"",
                        true));
    }"	""	""	"ACTION_VIEW"	""
"3.2.3.5  Conditional Application Intents"	"3.2.3.5"	"C-2-6"	"3.2.3.5/C-2-6"	"03020305.670206"	"""C-2-6] MUST honor the [android.intent.action.SENDTO](https://developer.android.com/reference/android/content/Intent#ACTION_SENDTO) and [android.intent.action.VIEW](https://developer.android.com/reference/android/content/Intent#ACTION_VIEW) intents and provide an activity to send/display SMS messages. """	""	""	"SENDTO ACTION_VIEW android.intent.action.VIEW ACTION_SENDTO SMS android.intent.action.SENDTO"	""	""	""	""	""	""	""	""	""	""	""	"android.content.cts.IntentFilterTest"	"testAppEnumerationBrowser"	"CtsContentTestCases"	""	""	""	"/home/gpoor/cts-12-source/cts/tests/tests/content/src/android/content/cts/IntentFilterTest.java"	""	"public void testAppEnumerationBrowser() throws Exception {
        IntentFilter appWithWebLink = new Match(
                new String[]{Intent.ACTION_VIEW},
                new String[]{Intent.CATEGORY_BROWSABLE},
                null,
                new String[]{""http"", ""https""},
                new String[]{""some.app.domain""},
                null);

        IntentFilter browserFilterWithWildcard = new Match(
                new String[]{Intent.ACTION_VIEW},
                new String[]{Intent.CATEGORY_BROWSABLE},
                null,
                new String[]{""http"", ""https""},
                new String[]{""*""},
                null);

        IntentFilter browserFilterWithoutWildcard = new Match(
                new String[]{Intent.ACTION_VIEW},
                new String[]{Intent.CATEGORY_BROWSABLE},
                null,
                new String[]{""http"", ""https""},
                null,
                null);

        checkMatches(browserFilterWithWildcard,
                new MatchCondition(MATCH_CATEGORY_HOST,
                Intent.ACTION_VIEW,
                new String[]{Intent.CATEGORY_BROWSABLE},
                null,
                ""https://"",
                true));
        checkMatches(browserFilterWithoutWildcard,
                new MatchCondition(IntentFilter.MATCH_CATEGORY_SCHEME | MATCH_ADJUSTMENT_NORMAL,
                Intent.ACTION_VIEW,
                new String[]{Intent.CATEGORY_BROWSABLE},
                null,
                ""https://"",
                true));
        checkMatches(appWithWebLink,
                new MatchCondition(NO_MATCH_DATA,
                Intent.ACTION_VIEW,
                new String[]{Intent.CATEGORY_BROWSABLE},
                null,
                ""https://"",
                true));
    }"	""	""	"ACTION_VIEW"	""
"3.2.3.5  Conditional Application Intents"	"3.2.3.5"	"C-2-6"	"3.2.3.5/C-2-6"	"03020305.670206"	"""C-2-6] MUST honor the [android.intent.action.SENDTO](https://developer.android.com/reference/android/content/Intent#ACTION_SENDTO) and [android.intent.action.VIEW](https://developer.android.com/reference/android/content/Intent#ACTION_VIEW) intents and provide an activity to send/display SMS messages. """	""	""	"SENDTO ACTION_VIEW android.intent.action.VIEW ACTION_SENDTO SMS android.intent.action.SENDTO"	""	""	""	""	""	""	""	""	""	""	""	"android.content.pm.cts.shortcutmanager.ShortcutManagerFakingPublisherTest"	"testSpoofingPublisher"	"CtsShortcutManagerTestCases"	""	""	""	"/home/gpoor/cts-12-source/cts/tests/tests/shortcutmanager/src/android/content/pm/cts/shortcutmanager/ShortcutManagerFakingPublisherTest.java"	""	"public void testSpoofingPublisher() {
        final Context myContext = getTestContext();
        final Context anotherContext;
        try {
            anotherContext = getTestContext().createPackageContext(ANOTHER_PACKAGE, 0);
        } catch (NameNotFoundException e) {
            fail(""Unable to create package context for "" + ANOTHER_PACKAGE);
            return;
        }
        final ShortcutInfo invalid = new ShortcutInfo.Builder(anotherContext, INVALID_ID)
                .setShortLabel(INVALID_ID)
                .setIntent(new Intent(Intent.ACTION_VIEW))
                .setActivity(ANOTHER_HOME_ACTIVITY)
                .build();

        // Check set.
        runWithCaller(mPackageContext1, () -> {
            getManager().removeAllDynamicShortcuts();

            assertShortcutPackageMismatch(""setDynamicShortcuts1"", mPackageContext1, () -> {
                getManager().setDynamicShortcuts(list(
                        invalid));
            });
            assertInvalidShortcutNotCreated();
            assertShortcutPackageMismatch(""setDynamicShortcuts2A"", mPackageContext1, () -> {
                getManager().setDynamicShortcuts(list(
                        invalid,
                        makeShortcut(""s1"", ""title1"")));
            });
            assertInvalidShortcutNotCreated();
            assertShortcutPackageMismatch(""setDynamicShortcuts2B"", mPackageContext1, () -> {
                getManager().setDynamicShortcuts(list(
                        makeShortcut(""s1"", ""title1""),
                        invalid));
            });
            assertInvalidShortcutNotCreated();
        });

        // Check add.
        runWithCaller(mPackageContext1, () -> {
            getManager().removeAllDynamicShortcuts();

            assertShortcutPackageMismatch(""addDynamicShortcuts1"", mPackageContext1, () -> {
                getManager().addDynamicShortcuts(list(
                        invalid));
            });
            assertInvalidShortcutNotCreated();
            assertShortcutPackageMismatch(""addDynamicShortcuts2A"", mPackageContext1, () -> {
                getManager().addDynamicShortcuts(list(
                        invalid,
                        makeShortcut(""s1"", ""title1"")));
            });
            assertInvalidShortcutNotCreated();
            assertShortcutPackageMismatch(""addDynamicShortcuts2B"", mPackageContext1, () -> {
                getManager().addDynamicShortcuts(list(
                        makeShortcut(""s1"", ""title1""),
                        invalid));
            });
            assertInvalidShortcutNotCreated();
        });

        // Check update.
        runWithCaller(mPackageContext1, () -> {
            getManager().removeAllDynamicShortcuts();

            assertShortcutPackageMismatch(""updateShortcuts1"", mPackageContext1, () -> {
                getManager().updateShortcuts(list(
                        invalid));
            });
            assertInvalidShortcutNotCreated();
            assertShortcutPackageMismatch(""updateShortcuts2A"", mPackageContext1, () -> {
                getManager().updateShortcuts(list(
                        invalid,
                        makeShortcut(""s1"", ""title1"")));
            });
            assertInvalidShortcutNotCreated();
            assertShortcutPackageMismatch(""updateShortcuts2B"", mPackageContext1, () -> {
                getManager().updateShortcuts(list(
                        makeShortcut(""s1"", ""title1""),
                        invalid));
            });
            assertInvalidShortcutNotCreated();
        });

        // requestPin (API26 and above)
        runWithCaller(mPackageContext1, () -> {
            getManager().removeAllDynamicShortcuts();

            assertShortcutPackageMismatch(""requestPinShortcut"", mPackageContext1, () -> {
                getManager().requestPinShortcut(invalid, null);
            });
            assertInvalidShortcutNotCreated();
        });

        // createShortcutResultIntent (API26 and above)
        runWithCaller(mPackageContext1, () -> {
            getManager().removeAllDynamicShortcuts();

            assertShortcutPackageMismatch(""createShortcutResultIntent"", mPackageContext1, () -> {
                getManager().createShortcutResultIntent(invalid);
            });
            assertInvalidShortcutNotCreated();
        });
    }

    private void assertInvalidShortcutNotCreated() {
        for (String s : runCommand(InstrumentationRegistry.getInstrumentation(),
                ""dumpsys shortcut"")) {
            assertFalse(""dumpsys shortcut contained invalid ID"", s.contains(INVALID_ID));
        }
    }

    private void assertShortcutPackageMismatch(String method, Context callerContext, Runnable r) {
        assertExpectException(
                ""Caller="" + callerContext.getPackageName() + "", method="" + method,
                SecurityException.class, ""Shortcut package name mismatch"",
                () -> runWithCaller(callerContext, () -> r.run())
        );
    }
}"	""	""	"ACTION_VIEW"	""
"3.2.3.5  Conditional Application Intents"	"3.2.3.5"	"C-2-6"	"3.2.3.5/C-2-6"	"03020305.670206"	"""C-2-6] MUST honor the [android.intent.action.SENDTO](https://developer.android.com/reference/android/content/Intent#ACTION_SENDTO) and [android.intent.action.VIEW](https://developer.android.com/reference/android/content/Intent#ACTION_VIEW) intents and provide an activity to send/display SMS messages. """	""	""	"SENDTO ACTION_VIEW android.intent.action.VIEW ACTION_SENDTO SMS android.intent.action.SENDTO"	""	""	""	""	""	""	""	""	""	""	""	"android.content.pm.cts.PackageManagerShellCommandIncrementalTest"	"testInstallSysTraceNoReadlogs"	"CtsContentTestCases"	""	""	""	"/home/gpoor/cts-12-source/cts/tests/tests/content/src/android/content/pm/cts/PackageManagerShellCommandIncrementalTest.java"	""	"public void testInstallSysTraceNoReadlogs() throws Exception {
        setSystemProperty(""debug.incremental.enforce_readlogs_max_interval_for_system_dataloaders"",
                ""1"");
        setSystemProperty(""debug.incremental.readlogs_max_interval_sec"", ""0"");

        final int atraceDumpIterations = 30;
        final int atraceDumpDelayMs = 100;
        final String expected = ""|page_read:"";

        // We don't expect any readlogs with 0sec interval.
        assertFalse(
                ""Page reads ("" + expected + "") were found in atrace dump"",
                checkSysTraceForSubstring(TEST_APK, expected, atraceDumpIterations,
                        atraceDumpDelayMs));
    }

    private boolean checkSysTraceForSubstring(String testApk, final String expected,
            int atraceDumpIterations, int atraceDumpDelayMs) throws Exception {
        final int installIterations = 3;
        return checkSysTrace(
                installIterations,
                atraceDumpIterations,
                atraceDumpDelayMs,
                () -> installPackage(testApk),
                (stdout) -> stdout.contains(expected));
    }

    private boolean checkSysTrace(
            int installIterations,
            int atraceDumpIterations,
            int atraceDumpDelayMs,
            final Callable<Void> installer,
            final Function<String, Boolean> checker)
            throws Exception {
        final int beforeReadDelayMs = 1000;

        final CompletableFuture<Boolean> result = new CompletableFuture<>();
        final Thread readFromProcess = new Thread(() -> {
            try {
                executeShellCommand(""atrace --async_start -b 10240 -c adb"");
                try {
                    for (int i = 0; i < atraceDumpIterations; ++i) {
                        final String stdout = executeShellCommand(""atrace --async_dump"");
                        try {
                            if (checker.apply(stdout)) {
                                result.complete(true);
                                break;
                            }
                            Thread.currentThread().sleep(atraceDumpDelayMs);
                        } catch (InterruptedException ignored) {
                        }
                    }
                } finally {
                    executeShellCommand(""atrace --async_stop"");
                }
            } catch (IOException ignored) {
            }
        });
        readFromProcess.start();

        for (int i = 0; i < installIterations; ++i) {
            installer.call();
            assertTrue(isAppInstalled(TEST_APP_PACKAGE));
            Thread.currentThread().sleep(beforeReadDelayMs);
            uninstallPackageSilently(TEST_APP_PACKAGE);
        }

        readFromProcess.join();
        return result.getNow(false);
    }

    private void doTestInstallSysTrace(String testApk) throws Exception {
        // Async atrace dump uses less resources but requires periodic pulls.
        // Overall timeout of 10secs in 100ms intervals should be enough.
        final int atraceDumpIterations = 100;
        final int atraceDumpDelayMs = 100;
        final String expected = ""|page_read:"";

        assertTrue(
                ""No page reads ("" + expected + "") found in atrace dump"",
                checkSysTraceForSubstring(testApk, expected, atraceDumpIterations,
                        atraceDumpDelayMs));
    }

    static boolean isAppInstalled(String packageName) throws IOException {
        final String commandResult = executeShellCommand(""pm list packages"");
        final int prefixLength = ""package:"".length();
        return Arrays.stream(commandResult.split(""\\r?\\n""))
                .anyMatch(line -> line.substring(prefixLength).equals(packageName));
    }

    private String getSplits(String packageName) throws IOException {
        final String result = parsePackageDump(packageName, ""    splits=["");
        if (TextUtils.isEmpty(result)) {
            return null;
        }
        return result.substring(0, result.length() - 1);
    }

    private String getCodePath(String packageName) throws IOException {
        return parsePackageDump(packageName, ""    codePath="");
    }

    private File getSplit(String splitName) throws Exception {
        return new File(getCodePath(TEST_APP_PACKAGE), splitName);
    }

    private String parsePackageDump(String packageName, String prefix) throws IOException {
        final String commandResult = executeShellCommand(""pm dump "" + packageName);
        final int prefixLength = prefix.length();
        Optional<String> maybeSplits = Arrays.stream(commandResult.split(""\\r?\\n""))
                .filter(line -> line.startsWith(prefix)).findFirst();
        if (!maybeSplits.isPresent()) {
            return null;
        }
        String splits = maybeSplits.get();
        return splits.substring(prefixLength);
    }

    private static String createApkPath(String baseName) {
        return TEST_APK_PATH + baseName;
    }

    private Void installPackage(String baseName) throws IOException {
        File file = new File(createApkPath(baseName));
        assertEquals(""Success\n"",
                executeShellCommand(""pm install-incremental -t -g "" + file.getPath()));
        return null;
    }

    private void installSplit(String splitName) throws Exception {
        final File splitfile = new File(createApkPath(splitName));

        try (InputStream inputStream = executeShellCommandStream(
                ""pm install-incremental -t -g -p "" + TEST_APP_PACKAGE + "" ""
                        + splitfile.getPath())) {
            assertEquals(""Success\n"", readFullStream(inputStream));
        }
    }

    private void readSplitInChunks(String splitName) throws Exception {
        final int chunks = 2;
        final int waitBetweenChunksMs = 100;
        final File file = getSplit(splitName);

        assertTrue(file.toString(), file.exists());
        final long totalSize = file.length();
        final long chunkSize = totalSize / chunks;
        try (InputStream baseApkStream = new FileInputStream(file)) {
            final byte[] buffer = new byte[4 * 1024];
            long readSoFar = 0;
            long maxToRead = 0;
            for (int i = 0; i < chunks; ++i) {
                maxToRead += chunkSize;
                int length;
                while ((length = baseApkStream.read(buffer)) != -1) {
                    readSoFar += length;
                    if (readSoFar >= maxToRead) {
                        break;
                    }
                }
                if (readSoFar < totalSize) {
                    Thread.currentThread().sleep(waitBetweenChunksMs);
                }
            }
        }
    }

    private long readAndReportTime(File file, long borderTime) throws Exception {
        assertTrue(file.toString(), file.exists());
        final long startTime = SystemClock.uptimeMillis();
        long readTime = 0;
        try (InputStream baseApkStream = new FileInputStream(file)) {
            final byte[] buffer = new byte[128 * 1024];
            while (baseApkStream.read(buffer) != -1) {
                readTime = SystemClock.uptimeMillis() - startTime;
                if (readTime >= borderTime) {
                    break;
                }
            }
        }
        return readTime;
    }

    static String uninstallPackageSilently(String packageName) throws IOException {
        return executeShellCommand(""pm uninstall "" + packageName);
    }

    interface Result {
        boolean await() throws Exception;
    }

    static String executeShellCommand(String command) throws IOException {
        try (InputStream inputStream = executeShellCommandStream(command)) {
            return readFullStream(inputStream);
        }
    }

    private static InputStream executeShellCommandStream(String command) throws IOException {
        final ParcelFileDescriptor stdout = getUiAutomation().executeShellCommand(command);
        return new ParcelFileDescriptor.AutoCloseInputStream(stdout);
    }

    private static String executeShellCommand(String command, File[] inputs)
            throws IOException {
        return executeShellCommand(command, inputs, Stream.of(inputs).mapToLong(
                File::length).toArray());
    }

    private static String executeShellCommand(String command, File[] inputs, long[] expected)
            throws IOException {
        try (InputStream inputStream = executeShellCommandRw(command, inputs, expected)) {
            return readFullStream(inputStream);
        }
    }

    private static InputStream executeShellCommandRw(String command, File[] inputs, long[] expected)
            throws IOException {
        assertEquals(inputs.length, expected.length);
        final ParcelFileDescriptor[] pfds =
                InstrumentationRegistry.getInstrumentation().getUiAutomation()
                        .executeShellCommandRw(command);
        ParcelFileDescriptor stdout = pfds[0];
        ParcelFileDescriptor stdin = pfds[1];
        try (FileOutputStream outputStream = new ParcelFileDescriptor.AutoCloseOutputStream(
                stdin)) {
            for (int i = 0; i < inputs.length; i++) {
                try (FileInputStream inputStream = new FileInputStream(inputs[i])) {
                    writeFullStream(inputStream, outputStream, expected[i]);
                }
            }
        }
        return new ParcelFileDescriptor.AutoCloseInputStream(stdout);
    }

    static String readFullStream(InputStream inputStream, long expected)
            throws IOException {
        ByteArrayOutputStream result = new ByteArrayOutputStream();
        writeFullStream(inputStream, result, expected);
        return result.toString(""UTF-8"");
    }

    static String readFullStream(InputStream inputStream) throws IOException {
        return readFullStream(inputStream, -1);
    }

    static void writeFullStream(InputStream inputStream, OutputStream outputStream,
            long expected)
            throws IOException {
        final byte[] buffer = new byte[1024];
        long total = 0;
        int length;
        while ((length = inputStream.read(buffer)) != -1 && (expected < 0 || total < expected)) {
            outputStream.write(buffer, 0, length);
            total += length;
        }
        if (expected > 0) {
            assertEquals(expected, total);
        }
    }

    private void cleanup() throws Exception {
        uninstallPackageSilently(TEST_APP_PACKAGE);
        assertFalse(isAppInstalled(TEST_APP_PACKAGE));
        assertEquals(null, getSplits(TEST_APP_PACKAGE));
        setDeviceProperty(""incfs_default_timeouts"", null);
        setDeviceProperty(""known_digesters_list"", null);
        setSystemProperty(""debug.incremental.enforce_readlogs_max_interval_for_system_dataloaders"",
                ""0"");
        setSystemProperty(""debug.incremental.readlogs_max_interval_sec"", ""10000"");
        setSystemProperty(""debug.incremental.always_enable_read_timeouts_for_system_dataloaders"",
                ""1"");
        IoUtils.closeQuietly(mSession);
        mSession = null;
    }

    private void setDeviceProperty(String name, String value) {
        getUiAutomation().adoptShellPermissionIdentity();
        try {
            DeviceConfig.setProperty(DeviceConfig.NAMESPACE_PACKAGE_MANAGER_SERVICE, name, value,
                    false);
        } finally {
            getUiAutomation().dropShellPermissionIdentity();
        }
    }

    private void setSystemProperty(String name, String value) throws Exception {
        executeShellCommand(""setprop "" + name + "" "" + value);
    }

}"	""	""	"SMS"	""
