"Section"	"section_id"	"req_id"	"full_key"	"key_as_number"	"Test Availability"	"Annotation?"	"New Req for S?"	"New CTS for S?"	"class_def"	"method"	"module"	"Comment(internal) e.g. why a test is not possible"	"Comment (external)"	"New vs Updated(Q)"	"CTS Bug Id"	"CDD Bug Id"	"CDD CL"	"Area"	"Shortened"	"Test Level"	""	"external version"	""	""	""
""	"3"	"A-0-1"	"3/A-0-1"	"03000000.650001"	"Not testable"	""	""	""	""	""	""	"The feature cannot be tested standalone"	""	""	""	""	""	"Non-phone Form Factors(Automotive)"	"Vertical"	"-1"	""	""	""	""	""
""	"3"	"A-0-3"	"3/A-0-3"	"03000000.650003"	"Test Available"	""	""	""	"android.app.cts.UiModeManagerTest"	"testUiMode()"	"CtsAppTestCases"	""	""	""	""	""	""	"Framework (UI)"	"Framework"	"1"	""	""	""	""	""
""	"3"	"A-1-1"	"3/A-1-1"	"03000000.650101"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3"	"A-1-2"	"3/A-1-2"	"03000000.650102"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3"	"W-0-1"	"3/W-0-1"	"03000000.870001"	"Not testable"	""	""	""	""	""	""	""	""	""	""	""	""	"Non-phone Form Factors(Watch)"	"Vertical"	"-1"	""	""	""	""	""
""	"3"	"W-0-2"	"3/W-0-2"	"03000000.870002"	"Test Available"	""	""	""	"android.app.cts.UiModeManagerTest"	"testUiMode()"	"CtsAppTestCases"	""	""	""	""	""	""	"Framework (UI)"	"Framework"	"2"	""	""	""	""	""
""	"3.1"	"C-0-1"	"3.1/C-0-1"	"03010000.670001"	"Not testable"	""	""	""	""	""	""	""	""	""	""	""	""	"Framework(API compatibility)"	"Framework"	"-1"	""	""	""	""	""
""	"3.1"	"C-0-2"	"3.1/C-0-2"	"03010000.670002"	"Not testable"	""	""	""	""	""	""	""	""	""	""	""	""	"Framework(API compatibility)"	"Framework"	"-1"	""	""	""	""	""
""	"3.1"	"C-0-3"	"3.1/C-0-3"	"03010000.670003"	"Not testable"	""	""	""	""	""	""	""	""	""	""	""	""	"Framework(API compatibility)"	"Framework"	"-1"	""	""	""	""	""
""	"3.1"	"C-0-4"	"3.1/C-0-4"	"03010000.670004"	"Not testable"	""	""	""	""	""	""	""	""	""	""	""	""	"Framework(API compatibility)"	"Framework"	"-1"	""	""	""	""	""
""	"3.1"	"C-0-5"	"3.1/C-0-5"	"03010000.670005"	"Test Available"	""	""	""	"android.signature.cts.api.AnnotationTest"	"android.signature.cts.api.AnnotationTest.*"	"CtsSystemApiAnnotationTestCases"	""	""	"Updated in Q"	""	"122980592"	"6933982"	"Framework(API compatibility)"	"Framework"	"1"	""	""	""	""	""
""	"3.1"	"C-0-6"	"3.1/C-0-6"	"03010000.670006"	"Test Available"	""	""	""	"android.signature.cts.api.*"	"android.signature.cts.api.*.*"	"CtsSingnatureTestCases"	""	""	"New in Q"	""	"122980592"	"6933982"	"Framework(API compatibility)"	"Framework"	"1"	""	""	""	""	""
""	"3.1"	"C-0-7"	"3.1/C-0-7"	"03010000.670007"	"Test Available"	""	""	""	"com.android.cts.signedconfig.SignedConfigHostTest"	"public void.*"	"CtsSignedConfigHostTest"	""	""	"New in Q"	""	"122980592"	"6933982"	"Framework(API compatibility)"	"Framework"	"2"	""	""	""	""	""
""	"3.1.1"	"C-0-2"	"3.1.1/C-0-2"	"03010100.670002"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.1.1"	"C-0-3"	"3.1.1/C-0-3"	"03010100.670003"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.1.1.1"	"C-0-1"	"3.1.1.1/C-0-1"	"03010101.670001"	"Test Available"	""	""	""	"android.os.ctsRequiredComponentTest"	"testExtServicesPresent() testSharedServicesPresent()"	"CtsOsTestCases"	""	""	""	""	""	""	"Framework(API compatibility)"	"Framework"	"2"	""	""	""	""	""
""	"3.1.2"	"C-0-1"	"3.1.2/C-0-1"	"03010200.670001"	"Test Available"	""	""	""	"android.signature.cts.api.SignatureTest"	"android.signature.cts.api.SignatureTest.*"	"CtsApacheHttpLegacy27ApiSignatureTestCases"	""	""	""	""	""	""	"Framework(API compatibility)"	"Framework"	"2"	""	""	""	""	""
""	"3.1.2"	"C-0-2"	"3.1.2/C-0-2"	"03010200.670002"	"Test Available"	""	""	""	"android.signature.cts.api.SignatureTest"	"android.signature.cts.api.SignatureTest.*"	"CtsApacheHttpLegacy27ApiSignatureTestCases"	""	""	""	""	""	""	"Framework(API compatibility)"	"Framework"	"1"	""	""	""	""	""
""	"3.1"	"H-0-1"	"3.1/H-0-1"	"03010000.720001"	"Test Available"	""	""	""	"android.accessibilityservice.cts.*"	"public void*"	"CtsAccessibilityTestCases"	""	""	""	""	""	""	"Framework (a11y)"	"Framework"	"2"	""	""	""	""	""
""	"3.1"	"T-0-1"	"3.1/T-0-1"	"03010000.840001"	"Test Available"	""	""	""	"android.accessibilityservice.cts.*"	"public void.*"	"CtsAccessibilityTestCases"	""	""	""	""	""	""	"Framework (a11y)"	"Framework"	"2"	""	""	""	""	""
""	"3.1"	"W-1-1"	"3.1/W-1-1"	"03010000.870101"	"Test Available"	""	""	""	"android.accessibilityservice.cts.AccessibilityEndToEndTest"	"public void .*"	"CtsAccessibilityServiceTestCases"	""	""	""	""	""	""	"Framework (a11y)"	"Framework"	"1"	""	""	""	""	""
""	"3.10"	"C-1-1"	"3.10/C-1-1"	"03100000.670101"	"Test Available"	""	""	""	"android.accessibilityservice.cts.*"	"public void .*"	"CtsAccessibilityServiceTestCases"	""	""	""	""	""	""	"Framework (a11y)"	"Framework"	"2"	""	""	""	""	""
