"Section"	"section_id"	"req_id"	"full_key"	"key_as_number"	"requirement"	"Test Availability"	"search_roots"	"search_terms"	"manual_search_terms"	"not_search_terms"	"not_files"	"max_matches"	"class_defs"	"methods"	"modules"	"protected"	"class_def"	"method"	"module"	"file_name"	"matched_files"	"methods_string"	"urls"	"method_text"	"matched_terms"	"qualified_method"	"Annotation?"	"New Req for S?"	"New CTS for S?"	"Comment(internal) e.g. why a test is not possible"	"CTS Bug Id"	"CDD Bug Id"	"Area"	"Shortened"	"Test Level"
"9.8.6  . Content Capture and App Search"	"9.8.6"	"C-0-7"	"9.8.6/C-0-7"	"09080600.670007"	"""C-0-7] MUST provide a user affordance to opt-out of the data, collected via AppSearch or proprietary means from being shown in android platform e.g launcher."""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.1  . Permissions"	"9.1"	"C-4-1"	"9.1/C-4-1"	"09010000.670401"	"""C-4-1] MUST fulfill all requirements outlined for device implementations in section &quot;9.8.6 Content Capture&quot;."""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.5  . Multi"	"9.5"	"C-3-3"	"9.5/C-3-3"	"09050000.670303"	"""C-3-3] MUST have isolated private app data directories from the parent user account."""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2.2.5  . Security Model"	"9.8"	"H-1-2"	"9.8/H-1-2"	"09080000.720102"	"""[9.8/H-1-2] MUST make sure the hotword detection service can only transmit mic audio data or data derived from it to the system server through HotwordDetectionService API, or to ContentCaptureService through ContentCaptureManager API. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.1  . Permissions"	"9.1"	"C-0-15"	"9.1/C-0-15"	"09010000.670015"	"""C-0-15] MUST not define roles that are duplicates or superset functionality of roles defined by the platform. If devices report android.software.managed_users, they:"""	""	""	"android.software.managed"	""	""	""	""	"[('android.host.accounts.BaseMultiUserTest', 1), ('main.java.com.android.bedstead.harrier.DeviceState', 1), ('android.content.pm.cts.shortcuthost.BaseShortcutManagerHostTest', 1), ('android.media.session.cts.MediaSessionManagerHostTest', 1), ('android.inputmethodservice.cts.hostside.MultiUserTest', 1), ('android.content.cts.ContextCrossProfileHostTest', 1), ('com.android.cts.devicepolicy.CrossProfileAppsHostSideTest', 1), ('com.android.cts.webkit.WebViewHostSideMultipleProfileTest', 1), ('android.appsecurity.cts.ResumeOnRebootHostTest', 1), ('com.android.cts.devicepolicy.DeviceAdminFeaturesCheckerRule', 1)]"	"[('getDevice', 7), ('setUp', 4), ('waitForBroadcastIdle', 2), ('getMaxNumberOfUsersSupported', 1), ('getCurrentUser', 1), ('getPrimaryUserId', 1), ('getApplicationContext', 1), ('getBuild', 1), ('canRequestInteractAcrossProfiles', 1), ('canInteractAcrossProfiles', 1), ('createRequestInteractAcrossProfilesIntent', 1), ('createAndStartManagedProfile', 1), ('createUser', 1), ('resumeOnReboot_ManagedProfile_Success', 1), ('Statement', 1), ('evaluate', 1), ('getApiLevel', 1)]"	"[('CtsDevicePolicyManagerTestCases', 2), ('CtsAccountsHostTestCases', 1), ('CtsShortcutHostTestCases', 1), ('CtsMediaHostTestCases', 1), ('CtsInputMethodServiceHostTestCases', 1), ('CtsSyncContentHostTestCases', 1), ('CtsAppSecurityHostTestCases', 1)]"	""	"com.android.cts.devicepolicy.DeviceAdminFeaturesCheckerRule"	"getApiLevel"	"CtsDevicePolicyManagerTestCases"	"[('/home/gpoor/cts-12-source/cts/hostsidetests/accounts/src/android/host/accounts/BaseMultiUserTest.java', 1), ('/home/gpoor/cts-12-source/cts/common/device-side/bedstead/harrier/src/main/java/com/android/bedstead/harrier/DeviceState.java', 1), ('/home/gpoor/cts-12-source/cts/hostsidetests/shortcuts/hostside/src/android/content/pm/cts/shortcuthost/BaseShortcutManagerHostTest.java', 1), ('/home/gpoor/cts-12-source/cts/hostsidetests/media/src/android/media/session/cts/MediaSessionManagerHostTest.java', 1), ('/home/gpoor/cts-12-source/cts/hostsidetests/inputmethodservice/hostside/src/android/inputmethodservice/cts/hostside/MultiUserTest.java', 1), ('/home/gpoor/cts-12-source/cts/hostsidetests/content/src/android/content/cts/ContextCrossProfileHostTest.java', 1), ('/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/CrossProfileAppsHostSideTest.java', 1), ('/home/gpoor/cts-12-source/cts/hostsidetests/webkit/src/com/android/cts/webkit/WebViewHostSideMultipleProfileTest.java', 1), ('/home/gpoor/cts-12-source/cts/hostsidetests/appsecurity/src/android/appsecurity/cts/ResumeOnRebootHostTest.java', 1), ('/home/gpoor/cts-12-source/cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/DeviceAdminFeaturesCheckerRule.java', 1)]"	"[('(1,android.software.managed,/android/host/accounts/BaseMultiUserTest.java)', 1), ('(2,android.software.managed,/main/java/com/android/bedstead/harrier/DeviceState.java)', 1), ('(1,android.software.managed,/android/content/pm/cts/shortcuthost/BaseShortcutManagerHostTest.java)', 1), ('(1,android.software.managed,/android/media/session/cts/MediaSessionManagerHostTest.java)', 1), ('(1,android.software.managed,/android/inputmethodservice/cts/hostside/MultiUserTest.java)', 1), ('(1,android.software.managed,/android/content/cts/ContextCrossProfileHostTest.java)', 1), ('(1,android.software.managed,/com/android/cts/devicepolicy/CrossProfileAppsHostSideTest.java)', 1), ('(1,android.software.managed,/com/android/cts/webkit/WebViewHostSideMultipleProfileTest.java)', 1), ('(1,android.software.managed,/android/appsecurity/cts/ResumeOnRebootHostTest.java)', 1), ('(1,android.software.managed,/com/android/cts/devicepolicy/DeviceAdminFeaturesCheckerRule.java)', 1)]"	"[('([1:/android/host/accounts/BaseMultiUserTest.java]:[android.software.managed]:[1]:method_text:[ %s"", output);            fail(""\'am wait-for-broadcase-idle\' did not complete."");        }    }}])', 1), ('([2:/main/java/com/android/bedstead/harrier/DeviceState.java]:[android.software.managed]:[2]:method_text:[    ""This test requires INTERACT_ACROSS_USERS_FULL which can only be used on Q+"");        }    }}])', 1), ('([1:/android/content/pm/cts/shortcuthost/BaseShortcutManagerHostTest.java]:[android.software.managed]:[1]:method_text:[                   + "" \\"""" + expectedOutputPattern + ""\\"""");        }        return output;    }}])', 1), ('([1:/android/media/session/cts/MediaSessionManagerHostTest.java]:[android.software.managed]:[1]:method_text:[ediaSession"", newUser);        removeUser(newUser);    }    @AppModeFull    @RequiresDevice   ])', 1), ('([1:/android/inputmethodservice/cts/hostside/MultiUserTest.java]:[android.software.managed]:[1]:method_text:[                .setTestMethodName(testInfo.testMethod)                .setUserId(userId));    }}])', 1), ('([1:/android/content/cts/ContextCrossProfileHostTest.java]:[android.software.managed]:[1]:method_text:[ers"");        } catch (DeviceNotAvailableException e) {            return false;        }    }}])', 1), ('([1:/com/android/cts/devicepolicy/CrossProfileAppsHostSideTest.java]:[android.software.managed]:[1]:method_text:[ userId);        installAppAsUser(SIMPLE_APP_APK, userId);    }    @FlakyTest    @LargeTest   ])', 1), ('([1:/com/android/cts/webkit/WebViewHostSideMultipleProfileTest.java]:[android.software.managed]:[1]:method_text:[st-side test if the device-side test fails.                        .setCheckResults(true));    }}])', 1), ('([1:/android/appsecurity/cts/ResumeOnRebootHostTest.java]:[android.software.managed]:[1]:method_text:[();            } finally {                removeTestPackages();            }        }    }   ])', 1), ('([1:/com/android/cts/devicepolicy/DeviceAdminFeaturesCheckerRule.java]:[android.software.managed]:[1]:method_text:[HOD})    public static @interface IgnoreOnHeadlessSystemUserMode {        String reason();    }}])', 1)]"	""	""	"[('android.software.managed', 10)]"	"[('[android.host.accounts.BaseMultiUserTest listUsers CtsAccountsHostTestCases]', 1), ('[main.java.com.android.bedstead.harrier.DeviceState TestApis None]', 1), ('[android.content.pm.cts.shortcuthost.BaseShortcutManagerHostTest isMultiUserSupported CtsShortcutHostTestCases]', 1), ('[android.media.session.cts.MediaSessionManagerHostTest testGetActiveSessionsFull_managedProfiles CtsMediaHostTestCases]', 1), ('[android.inputmethodservice.cts.hostside.MultiUserTest testProfileUserInstant CtsInputMethodServiceHostTestCases]', 1), ('[android.content.cts.ContextCrossProfileHostTest testCreateContextAsUser_sameProfileGroup_withInteractAcrossUsersPermission_createsContext CtsSyncContentHostTestCases]', 1), ('[com.android.cts.webkit.WebViewHostSideMultipleProfileTest testManagedProfile None]', 1), ('[android.appsecurity.cts.ResumeOnRebootHostTest isSupportedDevice CtsAppSecurityHostTestCases]', 1), ('[com.android.cts.devicepolicy.DeviceAdminFeaturesCheckerRule getDisplayName CtsDevicePolicyManagerTestCases]', 1)]"	""	""	""	""	""	""	""	""	""
"2.3.5  . Security Model"	"9.8.2"	"T-4-2"	"9.8.2/T-4-2"	"09080200.840402"	"""[9.8.2/T-4-2] MUST not hide the microphone indicator for system apps that have visible user interfaces or direct user interaction. If Television device implementations declare android.hardware.camera.any, they: ["""	""	""	"android.hardware.camera.any"	""	""	""	""	"[('android.adbmanager.cts.AdbManagerHostDeviceTest', 1), ('com.android.cts.verifier.features.FeatureSummaryActivity', 1)]"	"[('hashCode', 2), ('getDevice', 1), ('getStdout', 1), ('trim', 1)]"	"[('CtsAdbManagerHostTestCases', 1)]"	""	"com.android.cts.verifier.features.FeatureSummaryActivity"	"hashCode"	""	"[('/home/gpoor/cts-12-source/cts/hostsidetests/adbmanager/src/android/adbmanager/cts/AdbManagerHostDeviceTest.java', 1), ('/home/gpoor/cts-12-source/cts/apps/CtsVerifier/src/com/android/cts/verifier/features/FeatureSummaryActivity.java', 1)]"	"[('(1,android.hardware.camera.any,/android/adbmanager/cts/AdbManagerHostDeviceTest.java)', 1), ('(1,android.hardware.camera.any,/com/android/cts/verifier/features/FeatureSummaryActivity.java)', 1)]"	"[('([1:/android/adbmanager/cts/AdbManagerHostDeviceTest.java]:[android.hardware.camera.any]:[1]:method_text:[has-feature "" + feature);        return Boolean.parseBoolean(result.getStdout().trim());    }   ])', 1), ('([1:/com/android/cts/verifier/features/FeatureSummaryActivity.java]:[android.hardware.camera.any]:[1]:method_text:[lse {            ((TextView) (findViewById(R.id.fs_warnings))).setText(warnings);        }    }}])', 1)]"	""	""	"[('android.hardware.camera.any', 2)]"	"[('[com.android.cts.verifier.features.FeatureSummaryActivity setPassFailButtonClickListeners None]', 1)]"	""	""	""	""	""	""	""	""	""
"2.2.5  . Security Model"	"9.8"	"H-1-8"	"9.8/H-1-8"	"09080000.720108"	"""[9.8/H-1-8] MUST only allow transmission of data out of the hotword detection service on a hotword validation request from the system server. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2.2.5  . Security Model"	"9.8"	"H-1-7"	"9.8/H-1-7"	"09080000.720107"	"""[9.8/H-1-7] MUST NOT allow more than 5 bits of data to be transmitted out of the hotword detection service on each negative hotword result. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2.2.5  . Security Model"	"9.8"	"H-1-13"	"9.8/H-1-13"	"09080000.720113"	"""[9.8/H-1-13] MUST restart the process hosting the hotword detection service at least once every hour or every 30 hardware-trigger events, whichever comes first. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2.2.5  . Security Model"	"9.8"	"H-1-5"	"9.8/H-1-5"	"09080000.720105"	"""[9.8/H-1-5] MUST NOT supply buffered mic audio older than 30 seconds to the voice interaction service or similar entity. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
