"Section"	"section_id"	"req_id"	"Test Availability"	"Annotation? "	"New Req for R?"	"New CTS for R?"	"class_def"	"method"	"module"	"Comment(internal) e.g. why a test is not possible "	"Comment (external) "	"New vs Updated(Q)"	"CTS Bug Id "	"CDD Bug Id"	"CDD CL"	"Area"	"Shortened"	"Test Level"	""	"external version"	""	""	""
""	"9.10"	"C-0-4"	"Test Available"	""	"Yes"	""	"android.appsecurity.cts.ApkVerityInstallTest"	"testAddAll()"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"9.8.10"	"C-1-3"	"Test Missing"	""	"Yes"	""	""	""	""	"TelephonyDebugService AND TelephonyRegistry not found in code search"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"9.11.3"	"C-0-3"	"Test Available"	""	"Yes"	""	"android.security.identity.cts.EphemeralKeyTest"	"isHalImplemented"	"CtsIdentityTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"7.4.5.2"	"C-0-6"	"Test Available"	""	""	""	"android.net.cts.ConnectivityManagerTest com.android.cts.net.hostside.VpnTest com.android.cts.verifier.net.ConnectivityBackgroundTestActivity"	"public void.*"	"CtsNetTestCases"	""	""	""	""	""	""	"Connectivity (Wifi / Telephony / Modem)"	"Connectivity"	"2"	""	""	""	""	""
""	"9.16"	"C-1-5"	"Test Available"	""	"Yes"	""	"com.android.cts.devicepolicy.ManagedProfileProvisioningTest"	"testAccountMigration"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"7.3"	"C-1-6"	"Test Available"	""	"Yes"	""	"android.hardware.cts.SensorSupportTest"	"testSupportsAccelerometer testSupportsAccelerometerUncalibrated testSupportsGyroscope testSupportsGyroscopeUncalibrated testSupportsGeoMagneticField testSupportsMagneticFieldUncalibrated testSupportsPressure testSupportsGameRotationVector testSupportsSignificantMotion testSupportsStepDetector testSupportsStepCounter testSupportsTiltDetector "	"CtsSensorTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"7.3.10"	"C-6-1"	"Test Available"	""	"Yes"	""	"com.android.cts.verifier.biometrics.BiometricStrongTests"	"test_setAllowedAuthenticators_withDeviceCredential"	"CtsHardwareTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.2.3.5"	"C-14-1"	"Test Available"	""	"Yes"	""	"android.autofillservice.cts.SettingsIntentTest"	"testBuilder_throwsException_whenZoomIsNegative()"	"CtsAutoFillServiceTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.18. Contacts"	"3.18"	"C-1-5"	"Test Available"	"Yes"	"Yes"	"Yes"	"android.provider.cts.contacts.ContactsContract_RawContactsTest"	"testRawContactDelete_localDeleteRemovesRecord()"	"CtsContactProviderTestCases"	""	""	""	""	""	""	"Security"	"Security"	"2"	""	""	""	""	""
""	"7.5.4"	"C-0-12"	"Other (see comment)"	""	"Yes"	""	""	""	""	"This doesn't seem to be implemented. I see a tests that seems to suggest Tone is modified. Isn't this expected and required for a digital camera to function in multiple lighting conditions and with various filters provided? "	""	""	""	""	""	""	""	""	""	""	""	""	""
