Section	section_id	req_id	status	class_def	method	module	filename_line	Bug		
	8.5	C-0-1	Test Available	android.SustainedPerformance.cts.SustainedPerformanceHostTest		CtsSustainedPerformanceHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/sustainedperf/src/android/SustainedPerformance/cts/SustainedPerformanceHostTest.java	
	8.5	C-1-1	Test Available	android.SustainedPerformance.cts.SustainedPerformanceHostTest		CtsSustainedPerformanceHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/sustainedperf/src/android/SustainedPerformance/cts/SustainedPerformanceHostTest.java	
	8.5	C-1-2	Test Available	android.SustainedPerformance.cts.SustainedPerformanceHostTest		CtsSustainedPerformanceHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/sustainedperf/src/android/SustainedPerformance/cts/SustainedPerformanceHostTest.java	
	9.9.3	C-1-5	Test Available	android.security.cts.MetadataEncryptionTest	testMetadataEncryptionIsEnabled()	CtsSecurityHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/MetadataEncryptionTest.java	
	9.7		Test Available	android.security.cts.SELinuxHostTest	testGlobalEnforcing()	CtsSecurityHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/SELinuxHostTest.java	
	9.7		Test Available	android.security.cts.SELinuxHostTest		CtsSecurityHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/SELinuxHostTest.java	
	9.7		Test Available	android.security.cts.SELinuxHostTest	testMLSAttributes()	CtsSecurityHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/SELinuxHostTest.java	
	9.7		Test Available	android.security.cts.SELinuxHostTest	testValidSeappContexts()	CtsSecurityHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/SELinuxHostTest.java	
	9.7		Test Available	android.security.cts.SELinuxHostTest	testAospSeappContexts()	CtsSecurityHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/SELinuxHostTest.java	
	9.7		Test Available	android.security.cts.SELinuxHostTest	testAospFileContexts()	CtsSecurityHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/SELinuxHostTest.java	
