"Section"	"section_id"	"req_id"	"Test Availability"	"class_def"	"method"	"module"	"method_text"	"full_key"	"requirement"	"key_as_number"	"search_terms"	"manual_search_terms"	"not_search_terms"	"not_files"	"matched_terms"	"search_roots"	"qualified_method"	"max_matches"	"file_name"	"matched_files"	"methods_string"	"urls"	"protected"	"Area"	"Shortened"	"Test Level"
"255:716831) 9.8.2  . Recording"	"9.8.2"	"T-5-2"	""	""	""	""	""	"9.8.2/T-5-2"	""">9.8.2/T-5-2] MUST not hide the camera indicator for system apps that have visible user interfaces or direct user interaction. <h4 id=""236_developer_tools_and_options_compatibility"" """	"09080200.840502"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262:730795) 9.8.9  . Installed apps"	"9.8.9"	"C-0-2"	""	""	""	""	""	"9.8.9/C-0-2"	"""C-0-2] MUST NOT give to any app, read or write access to files in any other app’s dedicated, app-specific directory within external storage. The only exceptions are as follows: The external storage provider authority (e.g. apps like DocumentsUI). Download Provider which uses the “downloads” provider authority for downloading files to app storage. Platform-signed media transfer protocol (MTP) apps which use the privileged permission ACCESS_MTP to enable transferring files to another device. Apps which install other apps and have the permission INSTALL_PACKAGES can access only “obb” directories for the purpose of managing APK expansion files. <h4 id=""9810_connectivity_bug_report"" """	"09080900.670002"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"17:166031) 2.2.7.1  . Media"	"2.2.7.1"	"H-1-5"	""	""	""	""	""	"2.2.7.1/H-1-5"	"""5.1/H-1-5] MUST advertise the maximum number of hardware video encoder and decoder sessions that can be run concurrently in any codec combination via the CodecCapabilities.getMaxSupportedInstances() and VideoCapabilities.getSupportedPerformancePoints() methods. && 5.1/H-1-5] MUST advertise the maximum number of hardware video encoder and decoder sessions that can be run concurrently in any codec combination via the CodecCapabilities.getMaxSupportedInstances() and VideoCapabilities.getSupportedPerformancePoints() methods. | 5.1/H-1-5] MUST advertise the maximum number of hardware video encoder and decoder sessions that can be run concurrently in any codec combination via the CodecCapabilities.getMaxSupportedInstances() and VideoCapabilities.getSupportedPerformancePoints() methods."""	"02020701.720105"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104:385404) 3.18  . Contacts"	"3.18"	"C-0-4"	""	""	""	""	""	"3.18/C-0-4"	"""C-0-4] MUST NOT allow apps other than the current &quot;installer of record&quot; for the package to silently uninstall the app without any user confirmation, as documented in the SDK for the DELETE_PACKAGE permission. The only exceptions are the system package verifier app handling PACKAGE_NEEDS_VERIFICATION intent and the storage manager app handling ACTION_MANAGE_STORAGE intent. """	"03180000.670004"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272:752378) 9.10  . Device Integrity"	"9.10"	"C-1-11"	""	""	""	""	""	"9.10/C-1-11"	"""C-1-11] MUST securely erase all user data during bootloader unlock and lock, as per &#39;9.12. Data Deletion&#39; (including the userdata partition and any NVRAM spaces)."""	"09100000.670111"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101:372410) 3.15  . Instant Apps"	"3.15"	"C-0-7"	""	""	""	""	""	"3.15/C-0-7"	"""C-0-7] MUST allow running Instant Apps to be accessed from the Recents function if the Recents function is available on the device. If device implementations support Instant Apps, they: """	"03150000.670007"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"7.1.4.1"	"A-0-3"	""	""	""	""	""	"7.1.4.1/A-0-3"	""">7.1.4.1/A-0-3] MUST include Vulkan loader and export all symbols. If Automotive device implementations include a 3-axis accelerometer, they: [<a href=""#7_3_sensors"""""	"07010401.650003"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255:716831) 9.8.2  . Recording"	"9.8.2"	"H-5-3"	""	""	""	""	""	"9.8.2/H-5-3"	""">9.8.2/H-5-3] MUST not hide the camera indicator for system apps that have visible user interfaces or direct user interaction. <h4 id=""226_developer_tools_and_options_compatibility"" """	"09080200.720503"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104:385404) 3.18  . Contacts"	"3.18"	"C-0-1"	""	""	""	""	""	"3.18/C-0-1"	"""C-0-1] MUST be capable of installing and running Android “.apk” files as generated by the “aapt” tool included in the official Android SDK. As the above requirement may be challenging, device implementations are RECOMMENDED to use the AOSP reference implementation&#39;s package management system. Device implementations: """	"03180000.670001"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246:691929) 9.1  . Permissions"	"9.1"	"C-0-15"	""	""	""	""	""	"9.1/C-0-15"	"""C-0-15] MUST not define roles that are duplicates or superset functionality of roles defined by the platform. If devices report android.software.managed_users, they: """	"09010000.670015"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
