"Section"	"section_id"	"req_id"	"full_key"	"key_as_number"	"requirement"	"Test Availability"	"search_roots"	"search_terms"	"manual_search_terms"	"not_search_terms"	"not_files"	"max_matches"	"protected"	"Area"	"Shortened"	"Test Level"	"class_def"	"method"	"module"	"file_name"	"matched_files"	"methods_string"	"urls"	"method_text"	"matched_terms"	"qualified_method"
"9.9.3.1  . File Based Encryption with Metadata Encryption"	"9.9.3.1"	"C-1-10"	"9.9.3.1/C-1-10"	"09090301.670110"	"""C-1-10] MUST be unique and distinct, in other words no user's CE or DE key matches any other user's CE or DE keys."""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.9.3.1  . File Based Encryption with Metadata Encryption"	"9.9.3.1"	"C-1-6"	"9.9.3.1/C-1-6"	"09090301.670106"	"""C-1-6] MUST encrypt file names using AES-256-CBC-CTS or Adiantum."""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.15  . Instant Apps"	"3.15"	"C-1-3"	"3.15/C-1-3"	"03150000.670103"	"""C-1-3] MUST provide a persistent user notification that can be collapsed while an Instant App is running in the foreground. This user notification MUST include that Instant Apps do not require installation and provide a user affordance that directs the user to the application info screen in Settings. For Instant Apps launched via web intents, as defined by using an intent with action set to Intent.ACTION_VIEW and with a scheme of ""http"" or ""https"", an additional user affordance SHOULD allow the user not to launch the Instant App and launch the associated link with the configured web browser, if a browser is available on the device."""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.8.14  . Multi"	"3.8.14"	"C-2-1"	"3.8.14/C-2-1"	"03081400.670201"	"""C-2-1] MUST preload a resizeable launcher as the default."""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.15  . Instant Apps"	"3.15"	"C-1-5"	"3.15/C-1-5"	"03150000.670105"	"""C-1-5] MUST preload one or more applications or service components with an intent handler for the intents listed in the SDK here and make the intents visible for Instant Apps. <h3 id=""3_16_companion_device_pairing"" """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.9.3.1  . File Based Encryption with Metadata Encryption"	"9.9.3.1"	"C-1-5"	"9.9.3.1/C-1-5"	"09090301.670105"	"""C-1-5] MUST encrypt file contents and filesystem metadata using AES-256-XTS or Adiantum. AES-256-XTS refers to the Advanced Encryption Standard with a 256-bit cipher key length, operated in XTS mode; the full length of the key is 512 bits. Adiantum refers to Adiantum-XChaCha12-AES, as specified at https://github.com/google/adiantum. Filesystem metadata is data such as file sizes, ownership, modes, and extended attributes (xattrs)."""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.9.3.1  . File Based Encryption with Metadata Encryption"	"9.9.3.1"	"C-1-9"	"9.9.3.1/C-1-9"	"09090301.670109"	"""C-1-9] CE keys MUST be bound to a default passcode when the user has not specified lock screen credentials."""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.9.3.2  . Per"	"9.9.3.2"	"C-1-4"	"9.9.3.2/C-1-4"	"09090302.670104"	"""C-1-4] MUST use AES-256-XTS for block-level encryption of the user partitions. The keys protecting the per-user block-level encrypted devices:"""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.9.3.1  . File Based Encryption with Metadata Encryption"	"9.9.3.1"	"C-1-8"	"9.9.3.1/C-1-8"	"09090301.670108"	"""C-1-8] CE keys MUST be bound to a user's lock screen credentials."""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.15  . Instant Apps"	"3.15"	"C-1-2"	"3.15/C-1-2"	"03150000.670102"	"""C-1-2] MUST provide a user affordance to view and delete Instant Apps locally cached for each individual app package."""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
