"Section"	"section_id"	"req_id"	"full_key"	"key_as_number"	"requirement"	"Test Availability"	"search_roots"	"search_terms"	"manual_search_terms"	"not_search_terms"	"not_files"	"max_matches"	"class_defs"	"methods"	"modules"	"protected"	"Area"	"Shortened"	"Test Level"	"class_def"	"method"	"module"	"class_defs"	"methods"	"modules"	"file_name"	"matched_files"	"methods_string"	"urls"	"method_text"	"matched_terms"	"qualified_method"
"4  Application Packaging Compatibility"	"4"	"C-0-8"	"4/C-0-8"	"04000000.670008"	"""C-0-8] MUST implement support for Incremental File System as documented      [here](https://source.android.com/devices/architecture/kernel/incfs).  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.2.3.5  Conditional Application Intents"	"3.2.3.5"	"C-2-6"	"3.2.3.5/C-2-6"	"03020305.670206"	"""C-2-6] MUST honor the [android.intent.action.SENDTO](https://developer.android.com/reference/android/content/Intent#ACTION_SENDTO) and [android.intent.action.VIEW](https://developer.android.com/reference/android/content/Intent#ACTION_VIEW) intents and provide an activity to send/display SMS messages. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.10  Device Integrity"	"9.10"	"C-0-3"	"9.10/C-0-3"	"09100000.670003"	"""C-0-3] MUST support cryptographically verifying file content against a      trusted key without reading the whole file. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2.2.6  Developer Tools and Options Compatibility"	"6.1"	"H-0-6"	"6.1/H-0-6"	"06010000.720006"	"""[6.1/H-0-6]\* The perfetto traced daemon MUST be         enabled by default (system property `persist.traced.enable`). """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.16  Application Data Migration"	"9.16"	"C-1-3"	"9.16/C-1-3"	"09160000.670103"	"""C-1-3] MUST use security key attestation to ensure that both the source      device and the target device in the device-to-device migration are      legitimate Android devices and have a locked bootloader. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2.2.3  Software"	"3.2.3.1"	"H-0-2"	"3.2.3.1/H-0-2"	"03020301.720002"	"""[3.2.3.1/H-0-2]*  MUST preload one or more applications or service components with an intent handler, for all the public intent filter patterns defined by the following application intents listed [here](https://developer.android.com/about/versions/11/reference/common-intents-30). *   [[3.2.3.1/H-SR] Are STRONGLY RECOMMENDED to preload an email application which can handle [ACTION_SENDTO](https://developer.android.com/reference/android/content/Intent#ACTION_SENDTO) or [ACTION_SEND](https://developer.android.com/reference/android/content/Intent#ACTION_SEND) or [ACTION_SEND_MULTIPLE](https://developer.android.com/reference/android/content/Intent#ACTION_SEND_MULTIPLE) intents to send an email. *   ["""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2.5.1  Hardware"	"7.3.3"	"A-3-2"	"7.3.3/A-3-2"	"07030300.650302"	"""[7.3.3/A-3-2] MUST meet the time-to-first-fix criteria as      described in """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2.2.1  Hardware"	"7.1.1.1"	"H-1-1"	"7.1.1.1/H-1-1"	"07010101.720101"	"""[7.1.1.1/H-1-1]* MUST make the logical screen that is made available for third party applications be at least 2 inches on the short edge(s) and 2.7 inches on the long edge(s). Devices which launched on an API level earlier than that of this document are exempted from this requirement.  If Handheld device implementations do not support software screen rotation, they:  *   ["""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6.1  Developer Tools"	"6.1"	"C-3-2"	"6.1/C-3-2"	"06010000.670302"	"""C-3-2] MUST provide drivers for Windows 7, 8 and 10, allowing     developers to connect to the device using the adb protocol.      If device implementations support adb connections to a host machine via     Wi-Fi, they:      """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.5.4  Camera API Behavior"	"7.5.4"	"C-0-12"	"7.5.4/C-0-12"	"07050400.670012"	"""C-0-12] MUST ensure that the facial appearance is NOT altered, including     but not limited to altering facial geometry, facial skin tone, or facial     skin smoothening for any [`android.hardware.camera2`](https://developer.android.com/reference/android/hardware/camera2/package-summary)     or [`android.hardware.Camera`](https://developer.android.com/reference/android/hardware/Camera)     API. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
