Section	section_id	req_id	Test Available	class_def	method	module	file_name	Annotation?	Comment	Bug	
	8.5	C-0-1	Test Available	android.SustainedPerformance.cts.SustainedPerformanceHostTest		CtsSustainedPerformanceHostTestCases	/home/gpoor/cts-12-source/cts/hostsidetests/sustainedperf/src/android/SustainedPerformance/cts/SustainedPerformanceHostTest.java	True	Comment unknown	Bug unknown	
	8.5	C-1-1	Test Available	android.SustainedPerformance.cts.SustainedPerformanceHostTest		CtsSustainedPerformanceHostTestCases	/home/gpoor/cts-12-source/cts/hostsidetests/sustainedperf/src/android/SustainedPerformance/cts/SustainedPerformanceHostTest.java	True	Comment unknown	Bug unknown	
	8.5	C-1-2	Test Available	android.SustainedPerformance.cts.SustainedPerformanceHostTest		CtsSustainedPerformanceHostTestCases	/home/gpoor/cts-12-source/cts/hostsidetests/sustainedperf/src/android/SustainedPerformance/cts/SustainedPerformanceHostTest.java	True	Comment unknown	Bug unknown	
	9.9.3	C-1-5	Test Available	android.security.cts.MetadataEncryptionTest	testMetadataEncryptionIsEnabled()	CtsSecurityHostTestCases	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/MetadataEncryptionTest.java	True	Comment unknown	Bug unknown	
	9.7		Test Available	android.security.cts.SELinuxHostTest	testGlobalEnforcing()	CtsSecurityHostTestCases	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/SELinuxHostTest.java	True	Comment unknown	Bug unknown	
	9.7		Test Available	android.security.cts.SELinuxHostTest		CtsSecurityHostTestCases	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/SELinuxHostTest.java	True	Comment unknown	Bug unknown	
	9.7		Test Available	android.security.cts.SELinuxHostTest	testMLSAttributes()	CtsSecurityHostTestCases	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/SELinuxHostTest.java	True	Comment unknown	Bug unknown	
	9.7		Test Available	android.security.cts.SELinuxHostTest	testValidSeappContexts()	CtsSecurityHostTestCases	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/SELinuxHostTest.java	True	Comment unknown	Bug unknown	
	9.7		Test Available	android.security.cts.SELinuxHostTest	testAospSeappContexts()	CtsSecurityHostTestCases	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/SELinuxHostTest.java	True	Comment unknown	Bug unknown	
	9.7		Test Available	android.security.cts.SELinuxHostTest	testAospFileContexts()	CtsSecurityHostTestCases	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/SELinuxHostTest.java	True	Comment unknown	Bug unknown	
	9.7		Test Available	android.security.cts.SELinuxHostTest	testAospPropertyContexts()	CtsSecurityHostTestCases	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/SELinuxHostTest.java	True	Comment unknown	Bug unknown	
	9.7		Test Available	android.security.cts.SELinuxHostTest	testAospServiceContexts()	CtsSecurityHostTestCases	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/SELinuxHostTest.java	True	Comment unknown	Bug unknown	
	9.7		Test Available	android.security.cts.SELinuxHostTest	testValidFileContexts()	CtsSecurityHostTestCases	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/SELinuxHostTest.java	True	Comment unknown	Bug unknown	
	9.7		Test Available	android.security.cts.SELinuxHostTest	testValidPropertyContexts()	CtsSecurityHostTestCases	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/SELinuxHostTest.java	True	Comment unknown	Bug unknown	
	9.7		Test Available	android.security.cts.SELinuxHostTest	testValidServiceContexts()	CtsSecurityHostTestCases	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/SELinuxHostTest.java	True	Comment unknown	Bug unknown	
	9.7		Test Available	android.security.cts.SELinuxHostTest	testNoBooleans()	CtsSecurityHostTestCases	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/SELinuxHostTest.java	True	Comment unknown	Bug unknown	
	9.7		Test Available	android.security.cts.SELinuxHostTest	testInitDomain()	CtsSecurityHostTestCases	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/SELinuxHostTest.java	True	Comment unknown	Bug unknown	
	9.7		Test Available	android.security.cts.SELinuxHostTest	testUeventdDomain()	CtsSecurityHostTestCases	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/SELinuxHostTest.java	True	Comment unknown	Bug unknown	
	9.7		Test Available	android.security.cts.SELinuxHostTest	testHealthdDomain()	CtsSecurityHostTestCases	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/SELinuxHostTest.java	True	Comment unknown	Bug unknown	
	9.7		Test Available	android.security.cts.SELinuxHostTest	testServicemanagerDomain()	CtsSecurityHostTestCases	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/SELinuxHostTest.java	True	Comment unknown	Bug unknown	
	9.7		Test Available	android.security.cts.SELinuxHostTest	testVoldDomain()	CtsSecurityHostTestCases	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/SELinuxHostTest.java	True	Comment unknown	Bug unknown	
	9.7		Test Available	android.security.cts.SELinuxHostTest	testNetdDomain()	CtsSecurityHostTestCases	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/SELinuxHostTest.java	True	Comment unknown	Bug unknown	
	9.7		Test Available	android.security.cts.SELinuxHostTest	testSurfaceflingerDomain()	CtsSecurityHostTestCases	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/SELinuxHostTest.java	True	Comment unknown	Bug unknown	
	9.7		Test Available	android.security.cts.SELinuxHostTest	testZygoteDomain()	CtsSecurityHostTestCases	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/SELinuxHostTest.java	True	Comment unknown	Bug unknown	
	9.7		Test Available	android.security.cts.SELinuxHostTest	testDrmServerDomain()	CtsSecurityHostTestCases	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/SELinuxHostTest.java	True	Comment unknown	Bug unknown	
