"Section"	"section_id"	"req_id"	"Test Availability"	"class_def"	"method"	"module"	"method_text"	"full_key"	"requirement"	"key_as_number"	"search_terms"	"manual_search_terms"	"not_search_terms"	"not_files"	"matched_terms"	"search_roots"	"qualified_method"	"max_matches"	"file_name"	"matched_files"	"methods_string"	"urls"	"protected"	"Area"	"Shortened"	"Test Level"
"99:387158) 4  . Application Packaging Compatibility"	"4"	"C-0-1"	""	""	""	""	""	"4/C-0-1"	"""C-0-1] MUST be capable of installing and running Android “.apk” files as generated by the “aapt” tool included in the official Android SDK. As the above requirement may be challenging, device implementations are RECOMMENDED to use the AOSP reference implementation's package management system. Device implementations: """	"04000000.670001"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99:387158) 4  . Application Packaging Compatibility"	"4"	"C-0-8"	""	""	""	""	""	"4/C-0-8"	"""C-0-8] MUST implement support for Incremental File System as documented here.  && C-0-8] MUST implement support for Incremental File System as documented here.  | C-0-8] and"""	"04000000.670008"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243:727056) 9.5  . Multi"	"9.5"	"C-1-1"	""	""	""	""	""	"9.5/C-1-1"	"""C-1-1] MUST meet the following requirements related to multi-user support. """	"09050000.670101"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99:387158) 4  . Application Packaging Compatibility"	"4"	"C-0-4"	""	""	""	""	""	"4/C-0-4"	"""C-0-4] MUST NOT allow apps other than the current ""installer of record"" for the package to silently uninstall the app without any user confirmation, as documented in the SDK for the DELETE_PACKAGE permission. The only exceptions are the system package verifier app handling PACKAGE_NEEDS_VERIFICATION intent and the storage manager app handling ACTION_MANAGE_STORAGE intent. """	"04000000.670004"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262:762681) 9.9.3.1  . File Based Encryption with Metadata Encryption"	"9.9.3.1"	"C-1-9"	""	""	""	""	""	"9.9.3.1/C-1-9"	"""C-1-9] CE keys MUST be bound to a default passcode when the user has not specified lock screen credentials. """	"09090301.670109"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99:387158) 4  . Application Packaging Compatibility"	"4"	"C-0-9"	""	""	""	""	""	"4/C-0-9"	"""C-0-9] MUST support verifying .apk files using the APK Signature Scheme v4. If device implementations are already launched on an earlier Android version and cannot meet the requirements && C-0-9] MUST support verifying .apk files using the APK Signature Scheme v4. If device implementations are already launched on an earlier Android version and cannot meet the requirements | C-0-9] through a system software update, they MAY be exempted from these requirements. <h2 id=""5_multimedia_compatibility"" """	"04000000.670009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95:373158) 3.15  . Instant Apps"	"3.15"	"C-1-4"	""	""	""	""	""	"3.15/C-1-4"	"""C-1-4] MUST allow running Instant Apps to be accessed from the Recents function if the Recents function is available on the device. """	"03150000.670104"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262:762681) 9.9.3.1  . File Based Encryption with Metadata Encryption"	"9.9.3.1"	"C-1-12"	""	""	""	""	""	"9.9.3.1/C-1-12"	"""C-1-12] If the device has Advanced Encryption Standard (AES) instructions (such as ARMv8 Cryptography Extensions on ARM-based devices, or AES-NI on x86-based devices) then the AES-based options above for file name, file contents, and filesystem metadata encryption MUST be used, not Adiantum. """	"09090301.670112"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262:762681) 9.9.3.1  . File Based Encryption with Metadata Encryption"	"9.9.3.1"	"C-1-6"	""	""	""	""	""	"9.9.3.1/C-1-6"	"""C-1-6] MUST encrypt file names using AES-256-CBC-CTS or Adiantum. """	"09090301.670106"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81:347552) 3.8.14  . Multi"	"3.8.14"	"C-2-1"	""	""	""	""	""	"3.8.14/C-2-1"	"""C-2-1] MUST preload a resizeable launcher as the default. """	"03081400.670201"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
