Section,section_id,req_id,Test Availability,Annotation? ,New Req for R?,New CTS for R?,class_def,method,module,Comment(internal) e.g. why a test is not possible ,Comment (external) ,New vs Updated(Q),CTS Bug Id ,CDD Bug Id,CDD CL,Area,Shortened,Test Level,,external version,,,
'', '3.8.4', 'A-1-1', 'Not testable', '', '', '', '', '', '', '', '', '', '', '', '', 'Framework (AI/Assistant/Speech)', 'Framework', '-1', '', '', '', '', ''
'', '3.8.4', 'A-1-1', 'Not testable', '', '', '', '', '', '', '', '', '', '', '', '', 'Framework (AI/Assistant/Speech)', 'Framework', '-1', '', '', '', '', ''
'', '3.9.3', 'C-1-1', 'Manually Testable Missing Test', '', '', '', '', '', '', '', '', '', '', '', '', 'System UI', 'System UI', '0.2', '1 because the API is tested', '', '', '', ''
'3.9.3 Managed User Support', '3.9.3', 'C-1-1', 'Manually Testable Missing Test', '', '', '', '', '', '', 'This cannot be automated since OEMs have\nfreedom to implement it whichever way. See this for\ndetails. Reference:\n:https://b.corp.google.com/issues/73800782#comment17\nThe correct behavior of the API is tested .isLogoutEnabled\nin android.cts.deviceowner.UserSessionTest', '', '', '', '', '', 'System UI', 'System UI', '0.2', '1 because the API is tested', '', '', '', ''
'', '5.9', 'C-1-3', 'Test Available', '', '', '', 'android.nativemidi.cts.NativeMidiEchoTest', 'test_AA_LibAMidiExists()', 'CtsMIDITestCases', '', '', 'New in Q', '137677245', '124249176', '7148565', 'Media (Audio)', 'Media', '2', '', '', '', '', ''
'', '5.9', 'C-1-3', 'Test Available', '', '', '', 'com.android.cts.verifier.audio.NDKMidiActivity', 'com.android.cts.verifier.audio.NDKMidiActivity.*', 'CtsVerifierMidiTestCases', '', '', 'New in Q', '', '124249176', '7148565', 'Media (Audio)', 'Media', '2', '', '', '', '', ''
'', '7.3', 'A-0-2', 'Not testable', '', '', '', '', '', '', 'Likely Not Feasible', '', 'New in Q', '135475415', '123728101', '7058495', 'Location & Sensors', 'Location & Sensors', '0', '', '', '', '', ''
'', '7.3', 'A-0-2', 'Test Available', '', '', '', 'NightModeTestActivity.java', '', '', '', '', '', '124132292', '', '', 'Location & Sensors', 'Location & Sensors', '0', '', '', '', '', ''
'', '7.6.1', 'H-1-1', 'Test Available', '', '', '', 'android.hardware.cts.LowRamDeviceTest', 'testMinimumMemory()', 'CtsHardwareTestCases', '', '', '', '', '', '', 'Hardware(Memory and Storage)', 'Memory & Storage', '2', '', '', '', '', ''
'', '7.6.1', 'H-1-1', 'Test Available', '', '', '', 'android.hardware.cts.LowRamDeviceTest', 'testMinimumMemory', 'CtsHardwareTestCases', '', '', '', '', '', '', 'Hardware(Memory and Storage)', 'Memory & Storage', '2', '', '', '', '', ''
'', '7.9.2', 'C-1-22', 'Test Available', '', '', '', 'DisplayMotionToPhotonLatencyHostTest', 'DayDreamTestSuite(DTS)', 'DayDreamTestSuite(DTS)', '', '', '', '', '', '', 'DayDream', 'DayDream', '2', '', '', '', '', ''
'', '7.9.2', 'C-1-22', 'Not testable', '', '', '', '', '', '', '', '', '', '', '', '', 'DayDream', 'DayDream', '-1', '', '', '', '', ''
'', '7.9.2', 'C-1-23', 'Test Available', '', '', '', 'DisplayGhostingHostTest', 'DayDreamTestSuite(DTS)', 'DayDreamTestSuite(DTS)', '', '', '', '', '', '', 'DayDream', 'DayDream', '2', '', '', '', '', ''
'', '7.9.2', 'C-1-23', 'Not testable', '', '', '', '', '', '', 'See 120853001 for details. TLDR: daydream is not adding\nor maintaining tests for VR devices', '', '', '120853001', '', '', 'VR(Android Framework)', 'VR', '0', '', '', '', '', ''
'', '8.3', 'C-1-1', 'Not testable', '', '', '', '', '', '', '', '', '', '', '', '', 'Battery / System Health', 'Systems & Performance', '-1', '', '', '', '', ''
'8.3 Power Saving Modes', '8.3', 'C-1-1', 'Test Available', '', '', '', 'android.alarmmanager.cts.*\nandroid.JobScheduler.cts.*\nandroid.net.cts.*', 'android.alarmmanager.cts.*\nandroid.JobScheduler.cts.*\nandroid.net.cts.*', 'CtsAlarmManagerTestCases\nCtsJobSchedulerTestCases\nCtsNetTestCases', '', '', '', '', '', '', 'Battery / System Health', 'Systems & Performance', '2', '', '', '', '', ''
'', '8.3', 'T-1-2', 'Test Available', '', '', '', 'android.systemintents.cts.TestSystemIntents', 'testSystemInents', 'CtsSystemIntentTestCases', '', '', '', '', '', '', 'Framework (AI/Power management)', 'Framework', '2', '', '', '', '', ''
'', '8.3', 'T-1-2', 'Not testable', '', '', '', '', '', '', 'Battery related tests to be updated to \nexlclude batterlyless devices. ChargingCon\nstraintTestActivity is updated', '', 'New in Q', '', '127688495', '', 'Battery / System Health', 'Systems & Performance', '-1', '', '', '', '', ''
