Section,id,req_id,status,class_def,method,Module,branch,Action Item,bug_id_cl,,description
2.2.2 Multimedia(HH),5.1.1,H-0-1,Merged,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
2.2.3. Software(HH),3.2.3.1,H-0-1,Test Available,com.android.cts.documentclient,"testOpenSimple
testCreateNew
testGetContent
testTransferDocument
testFindDocumentPathInScopedAccess",CtsAppSecurityHostTestCases,,,,,
2.2.4 Performance and Power(HH),8.1,H-0-1,Merged,com.android.server.cts.GraphicsStatsValidationTest.java,testBasicDrawFrame(),CtsIncidentHostTestCases,oreo-cts-dev,Verified by FO,648925,,
2.2.5 Security Model (HH),9.1,H-0-1,Test Available,android.content.cts.AvailableIntentsTest,testUsageAccessSettings,CtsContentTestCases,,Verified by FO,http://b/74607925,,UsageStatsTest checks for usagestats api/ No test to check if the intent is handled
2.3.1 Hardware (TV),7.2.2,T-0-1,Test Available,android.hardware.input.cts.tests.*,android.hardware.input.cts.tests.*,CtsHardwareTestCases,,Verified by FO,http://b/110270125,,
2.3.2. Multimedia(TV),5.1,T-0-1,Merged,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
2.3.4.Performace and Power(TV),8.1,T-0-1,Merged,com.android.server.cts.GraphicsStatsValidationTest,testBasicDrawFrame(),CtsIncidentHostTestCases,oreo-cts-dev,Verified by FO,648925,,
2.4.1.Hardware(Watch),7.1.1.1,W-0-1,Merged,android.dpi.cts.ConfigurationTest,testScreenConfiguration(),CtsDpiTestCases,oreo-mr1-cts-dev,Verified by FO,733364,,
2.4.3.Software(Watch),3,W-0-1,Not testable,,,,,Don't need verification from FO,,,
2.4.4(Performance and Power),8.4,W-0-1,Test Available,android.dumpsys.cts.BatteryStatsDumpSysTest,public void .*,CtsDumpsysHostTestCases,,,,,
2.5.1(Hardware) Auto,7.1.1.1,A-0-1,Test Available,android.dpi.cts.ConfigurationTests,testScreenConfiguration,CtsDpiTestCases,,Verified by FO,b/77152494,,
2.5.2 Multimedia (Auto),5.1,A-0-1,Merged,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
2.5.3 Software (Auto),2.5.3,A-0-1,Testable missing test,,,,,Verified by FO,http://b/77152494,,Cannot test standalone. Circular testing
Hardware(2.2.1) (HH),7.1.1.1,H-0-1,Merged,android.dpi.cts.ConfigurationTest,testScreenConfiguration,CtsDpiTestCases,oreo-mr1-cts-dev,Verified by FO,733364,,
,3,W-0-2,Merged,android.app.cts.UiModeManagerTest,testUiMode(),CtsAppTestCases,oreo-mr1-cts-dev,Verified by FO,723460,,
