Section,section_id,req_id,Test Availability,Annotation? ,New Req for R?,New CTS for R?,class_def,method,module,Comment(internal) e.g. why a test is not possible ,Comment (external) ,New vs Updated(Q),CTS Bug Id ,CDD Bug Id,CDD CL,Area,Shortened,Test Level,,external version,,,
"
",5.2.4,C-1-3,Test Missing,,,,android.dpi.cts.ConfgurationTest,testScreenConfiguration,CtsDpiTestCases,,,New in Q,139502967,124525623,8362016,Media,Media,0,,,,,
2.2.1 Hardware(HandHeld),7.1.1.1,H-0-1,Test Available,,No,,android.cts.OpenGlEsVersionTest,testRequiredEglExtensionsForHdrCapableDisplay,CtsOpenGLTestCases,,,,,,,Graphics,Graphics,2,,Test level,,,
2.2.2 MultiMedia(HandHeld),5.1,H-0-1,Test Available,,,,android.graphics.cts.PaintTest,testQuickContains2(),CtsGraphicsTestCases,"Filed bug requesting a test for decoding 
AMR-NB format",,Updated in Q,139770301,124525623,8362016,Media (Audio),Media,1,,,,,
2.2.3 Software(HandHeld),3.2.3.1,H-0-1,Test Available,,,,android.graphics.cts.PaintTest,testSetShadowLayerLong(),CtsGraphicsTestCases,,,,,,,Security,Security,2,,,,,
2.2.4 Performance And Power(HandHeld),8.1,H-0-1,Test Available,,,,,,,,,,,,,Systems & Performance,Systems & Performance,2,,,,,
2.2.5 Security Model(HandHeld),9.1,H-0-1,Test Available,,,,android.appsecurity.cts.ApkVerityInstallTest,testRemoveAll(),,,,,74607925,,,Framework(API compatibility),Framework,1,,,,,
2.2.6 Developer Tools Compatibility,6.1,H-0-2,Test Available,,,,android.provider.cts.contacts.ContactsContract_RawContactsTest,testRawContactCreate_nullAccountUsesLocalAccount(),CtsContactProviderTestCases,,,New in Q,,12450178,9245852,Engineering Productivity(Developer Tools Compatibility,Developer Tools,2,,,,,
2.3.1 Hardware(TV),7.2.2,T-0-1,Test Available,,,,android.provider.cts.contacts.ContactsContract_RawContactsTest,testRawContactCreate_noAccountUsesLocalAccount(),CtsContactProviderTestCases,,,,,,,Framework (Input),Framework,2,,,,,
2.3.2 MultiMedia (Television),5.1,T-0-1,Test Available,,,,android.provider.cts.contacts.ContactsContract_RawContactsTest,testRawContactCreate_noAccountUsesLocalAccount(),CtsContactProviderTestCases,,,,,,,Media,Media,2,,,,,
2.3.3 Software-TV,3.2.3.1,T-0-1,,,,,android.provider.cts.contacts.ContactsProvider2_AccountRemovalTest,testAccountRemoval_doesNotDeleteLocalAccountContacts(),CtsContactProviderTestCases,,,,,,,,,,,,,,
