Section	section_id	req_id	Test Availability	Annotation?	New Req for S?	New CTS for S?	class_def	method	module	Comment(internal) e.g. why a test is not possible	Comment (external)	New vs Updated(Q)	CTS Bug Id	CDD Bug Id	CDD CL	Area	Shortened	Test Level		external version			
3.15  . Instant Apps	3.15	C-0-5	Test Missing		Yes		android.os.cts.FileObserverTest	isInstantApp		Searches for "delete ephem instantapp" do not find tests for UI for user to delete apps. The test included tests file deletion.													
3.15  . Instant Apps	3.15	C-0-6	Test Available		Yes		com.android.cts.ephemeralapp1.ClientTest	testStartForegroundService															
3.15  . Instant Apps	3.15	C-0-7	Test Available		Yes		com.android.cts.normalapp.NormalActivity	finish		The test seems to cover the requirement, it contains a test for instant apps in recents													
3.6  . API Namespaces	3.6	C-1-1	Other (see comment)		Yes		com.android.cts.apicoverage.ApkNdkApiReport	getTestModules		The requirement makes statements about the owner of custom libraries, this could be verified in a process outside the CTS. We can test that it there are not additional APIs in the library as the test include shows.													
2.2.7.1  . Media	5.1	H-1-1	Test Available	Yes	Yes		android.mediapc.cts.MultiDecoderPerfTest	test720p()	CtsMediaPerformanceClassTestCases														
2.2.7.1  . Media	5.1	H-1-2	Test Available	Yes	Yes		android.mediapc.cts.MultiDecoderPerfTest	test720p()	CtsMediaPerformanceClassTestCases														
2.2.7.1  . Media	5.1	H-1-3	Test Available	Yes	Yes		android.mediapc.cts.MultiEncoderPerfTest	test720p()	CtsMediaPerformanceClassTestCases														
2.2.7.1  . Media	5.1	H-1-4	Test Available	Yes	Yes		android.mediapc.cts.MultiEncoderPerfTest	test720p()	CtsMediaPerformanceClassTestCases														
2.2.7.1  . Media	5.1	H-1-5	Test Available	Yes	Yes		android.mediapc.cts.MultiTranscoderPerfTest	test720p()	CtsMediaPerformanceClassTestCases														
2.2.7.1  . Media	5.1	H-1-6	Test Available	Yes	Yes		android.mediapc.cts.MultiTranscoderPerfTest	test720p()	CtsMediaPerformanceClassTestCases														
2.2.7.1  . Media	5.1	H-1-7	Test Available	Yes	Yes		android.mediapc.cts.EncoderInitializationLatencyTest	testInitializationLatency()	CtsMediaPerformanceClassTestCases														
2.2.7.1  . Media	5.1	H-1-8	Test Available	Yes	Yes		android.mediapc.cts.EncoderInitializationLatencyTest	testInitializationLatency()	CtsMediaPerformanceClassTestCases														
2.2.7.1  . Media	5.3	H-1-1	Test Available	Yes	Yes		android.mediapc.cts.FrameDropTest	testDecodeToSurface()	CtsMediaPerformanceClassTestCases														
2.2.7.1  . Media	5.3	H-1-2	Test Available	Yes	Yes		android.mediapc.cts.AdaptivePlaybackFrameDropTest	testAdaptivePlaybackFrameDrop()	CtsMediaPerformanceClassTestCases														
2.2.7.1  . Media	5.6	H-1-1	Test Available		Yes		com.android.cts.verifier.audio.AudioTap2ToneActivity	OnTouchListener															
2.2.7.2  . Camera	7.5	H-1-1	Test Available		Yes		android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest	testCameraPerfClassCharacteristics	CtsCameraTestCases														
2.2.7.2  . Camera	7.5	H-1-2	Test Available	Yes	Yes		android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest	testCameraPerfClassCharacteristics	CtsCameraTestCases														
2.2.7.2  . Camera	7.5	H-1-3	Test Available	Yes	Yes		android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest	testCameraPerfClassCharacteristics	CtsCameraTestCases														
2.2.7.2  . Camera	7.5	H-1-4	Test Available	Yes	Yes		android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest	testCameraPerfClassCharacteristics	CtsCameraTestCases														
2.2.7.2  . Camera	7.5	H-1-5	Test Available	Yes	Yes		android.hardware.camera2.cts.PerformanceTest	testReprocessingLatency	CtsCameraTestCases														
2.2.7.2  . Camera	7.5	H-1-6	Test Available	Yes	Yes		android.hardware.camera2.cts.PerformanceTest	testCameraLaunch	CtsCameraTestCases														
2.2.7.2  . Camera	7.5	H-1-7	Test Available	Yes	Yes		android.camera.cts.api31test.SPerfClassTest	testSPerfClassJpegSizes	CtsCameraApi31TestCases														
2.2.7.2  . Camera	7.5	H-1-8	Test Available	Yes	Yes		android.camera.cts.api31test.SPerfClassTest	testSPerfClassJpegSizes	CtsCameraApi31TestCases														
2.2.7.4  . Performance	8.2	H-1-1	Test Available		Yes		android.filesystem.cts.SequentialRWTest	testSingleSequentialWrite	CtsFileSystemTestCases														
2.2.7.4  . Performance	8.2	H-1-2	Test Available		Yes		android.filesystem.cts.RandomRWTest	testRandomUpdate	CtsFileSystemTestCases														
2.2.7.4  . Performance	8.2	H-1-3	Test Available		Yes		android.filesystem.cts.SequentialRWTest	testSingleSequentialRead	CtsFileSystemTestCases														
2.2.7.4  . Performance	8.2	H-1-4	Test Available		Yes		android.filesystem.cts.RandomRWTest	testRandomRead	CtsFileSystemTestCases														
2.2.7.4  . Performance	8.2	H-2-1	Test Available		Yes		android.filesystem.cts.SequentialRWTest	testSingleSequentialWrite	CtsFileSystemTestCases														
2.2.7.4  . Performance	8.2	H-2-2	Test Available		Yes		android.filesystem.cts.RandomRWTest	testRandomUpdate	CtsFileSystemTestCases														
2.2.7.4  . Performance	8.2	H-2-3	Test Available		Yes		android.filesystem.cts.SequentialRWTest	testSingleSequentialWrite	CtsFileSystemTestCases														
2.2.7.4  . Performance	8.2	H-2-4	Test Available		Yes		android.filesystem.cts.RandomRWTest	testRandomRead	CtsFileSystemTestCases														
9.1  . Permissions	9.1	C-0-12	Test Available		Yes		com.android.cts.devicepolicy.DevicePolicySafetyCheckerIntegrationTester	testOnOperationSafetyStateChanged															
9.1  . Permissions	9.1	C-0-13	Test Available		Yes		android.app.cts.ActivityManagerApi29Test	testAppOpsHistoricalOps	CtsAppTestCases														
9.1  . Permissions	9.1	C-0-14	Test Available		Yes		com.android.cts.devicepolicy.DeviceAndProfileOwnerTest	testApplicationRestrictions	CtsDevicePolicyManagerTestCases														
9.1  . Permissions	9.1	C-0-15	Test Available		Yes		android.appsecurity.cts.StatsdAppSecurityAtomTest	testRoleHolder	CtsAppSecurityHostTestCases														
9.1  . Application Data Migration	9.1	C-1-1	Test Available		Yes		android.permission3.cts.PermissionTest23.kt	testInvalidPermission	CtsPermission3TestCases														
9.1  . Device Integrity	9.1	C-3-1	Test Available		Yes		com.google.android.cts.settings.PrivacyDeviceOwnerTest	testNonDeviceOwnerWithoutInfo	CtsSettingsHostTestCases														
9.1  . Permissions	9.1	C-4-1	Test Available		Yes		android.contentcaptureservice.cts.WhitelistTest	ServiceTestRule	CtsContentCaptureServiceTestCases														
9.1  . Permissions	9.1	C-4-2	Test Available		Yes		android.permission2.cts.IntelligenceRolesPolicyTest	testNoInternetPermissionRequested	CtsPermission2TestCases														
9.1  . Permissions	9.1	C-4-3	Test Available		Yes		android.permission5.cts.RuntimePermissionsAppOpTrackingTest.kt	setUpTest	CtsPermission5TestCases														
9.5  . Multi	9.5	C-2-1	Test Available		Yes		android.appsecurity.cts.ExternalStorageHostTest	testMultiUserStorageIsolated	CtsAppSecurityHostTestCases														
9.5  . Multi	9.5	C-2-2	Other (see comment)		Yes		android.appsecurity.cts.AppDataIsolationTests	testAppUnableToAccessOtherUserAppDataDirApi29	CtsAppSecurityHostTestCases	This applies to api 29 Android 10, the CDD requirement may apply to that API though	tbd?												
9.5  . Multi	9.5	C-3-2	Other (see comment)		Yes		android.host.multiuser.CreateUsersPermissionTest	testCanCreateRestrictedUser	CtsMultiUserHostTestCases	Test does not reference "work" profile, could be testing by id?	tbd ?												
9.5  . Multi	9.5	C-3-3	Test Available		Yes		com.android.cts.multiuserstorageapp.MultiUserStorageTest	testUserIsolation	CtsMultiUserStorageApp														
9.5  . Multi	9.5	C-3-4	Test Available		Yes		com.android.cts.deviceandprofileowner.AllowedAccountManagementTest	testUserRestriction_profileAndDeviceOwnerCanAddAndRemoveAccount															
2.2.5  . Security Model	9.8	H-1-1	Test Available		Yes		android.voiceinteraction.cts.HotwordDetectionServiceDefaultMethodTest	testHotwordDetectionService_onDetect_fromExternalSource	CtsVoiceInteractionTestCases														
2.2.5  . Security Model	9.8	H-1-10	Test Available, Maybe Incomplete		Yes		android.voiceinteraction.cts.HotwordDetectionServiceDefaultMethodTest	testHotwordDetectionService_onDetect_fromMic	CtsVoiceInteractionTestCases	Determining if the ui has qualitative mic info could does not seem like something that can be automated													
2.2.5  . Security Model	9.8	H-1-11	Test Available		Yes		android.voiceinteraction.cts.HotwordDetectedResultTest	testHotwordDetectedResult_bundleExceedMaxBundleSize	CtsVoiceInteractionTestCases														
2.2.5  . Security Model	9.8	H-1-12	Test Available		Yes		android.voiceinteraction.cts.VoiceInteractionRoleTest	testAssistRole_hasRecognitionService	CtsVoiceInteractionTestCases	Unsure if this covers the test case. Hard to tell because don't see explicit mention of the reason for various roles, there are roles that have different permissions.													
2.2.5  . Security Model	9.8	H-1-13	Test Available		Yes		android.voiceinteraction.cts.HotwordDetectionServiceBasicTest	testHotwordDetectionService_concurrentCapture	CtsVoiceInteractionTestCases	Unsure if this covers the test case. Hard to tell because though there is the ability to test shutdown and restart is this 30 min timing being tested?	tbd												
2.2.5  . Security Model	9.8	H-1-14	Test Available		Yes		android.voiceinteraction.cts.HotwordDetectionServiceDefaultMethodTest	testHotwordDetectionService_onDetect_fromMic	CtsVoiceInteractionTestCases														
2.2.5  . Security Model	9.8	H-1-2	Test Available		Yes		android.voiceinteraction.cts.HotwordDetectionServiceBasicTest	testHotwordDetectionService_onDetectFromDsp_success testHotwordDetectionService_onDetectFromDsp_rejection	CtsVoiceInteractionTestCases														
2.2.5  . Security Model	9.8	H-1-3	Test Available		Yes		android.voiceinteraction.cts.HotwordDetectedResultTest	testHotwordDetectedResult_setInvalidHotwordDurationMillis	CtsVoiceInteractionTestCases														
2.2.5  . Security Model	9.8	H-1-4	Test Available		Yes		android.voiceinteraction.cts.HotwordDetectedResultTest	testHotwordDetectedResult_setInvalidHotwordOffsetMillis	CtsVoiceInteractionTestCases														
2.2.5  . Security Model	9.8	H-1-5	Other (see comment)		Yes		android.voiceinteraction.cts.VoiceInteractionTest	testAll	CtsVoiceInteractionTestCases	The test involve multiple files so can not be represented: android.voiceinteraction.service.MainHotwordDetectionService													
2.2.5  . Security Model	9.8	H-1-6	Test Available		Yes		android.voiceinteraction.cts.HotwordDetectedResultTest	testHotwordDetectedResult_totalSize	CtsVoiceInteractionTestCases														
