	3	A-1-1	Test Available		Yes		android.graphics.cts.PaintTest	testUnion()	CtsGraphicsTestCases									
	3	A-1-2	Test Available		Yes		android.graphics.cts.PaintTest	PathEffect()	CtsGraphicsTestCases									
	3.1.1	C-0-3			Yes		android.appsecurity.cts.ApkVerityInstallTest	testRemoveIf()										
	3.1.1	C-0-2	Test Available		Yes													
	3.2.3.1	A-0-1	Test Available		Yes													
	3.2.3.1	Tab-0-1			Yes													
	3.2.3.5	C-6-1	Test Available		Yes		android.app.notification.legacy.cts.ConditionProviderServiceTest	testConstantStateNotSet()	CtsLegacyNotification27TestCases									
	3.2.3.5	C-5-2			Yes		android.app.notification.legacy.cts.ConditionProviderServiceTest	testDraw()	CtsLegacyNotification27TestCases									
	3.2.3.5	C-2-6	Test Available		Yes		android.appwidget.cts.DarkTextThemeTest	testZeroLengthByteBuffer()	CtsAppWidgetTestCases									
	3.2.3.5	C-14-1	Test Available		Yes		android.autofillservice.cts.SettingsIntentTest	testBuilder_throwsException_whenZoomIsNegative()	CtsAutoFillServiceTestCases									
	3.2.3.5	C-11-1	Test Available		Yes		android.content.syncmanager.cts.CtsSyncManagerTest	testNegativeSampleSize()										
	3.2.3.5	C-7-1	Test Available		Yes		android.systemintents.cts.TestSystemIntents	getWindow()	CtsSystemIntentTestCases									
	3.2.3.5	C-13-2			Yes		com.android.cts.managedprofile.ProvisioningTest	invokeOnColorsChangedListenerTest_systemOnly()										
	3.2.3.5	C-12-1	Test Available		Yes													
	3.2.3.5	C-15-1	Test Available		Yes													
	3.2.3.5	C-3-2	Test Available		Yes													
	3.2.3.5	C-5-1	Test Available		Yes													
	3.2.3.5	C-8-1	Test Available		Yes													
	3.2.3.5	C-13-1			Yes													
	3.2.3.5	C-9-1			Yes													
	3.8.16	H-1-1	Test Available		Yes		android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest	cannotKeepAndTruncateNewLines()	CtsCameraTestCases									
	3.8.16	H-1-2	Test Available		Yes		android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest	testGetDesiredWidth()	CtsCameraTestCases									
	3.8.16	H-1-3	Test Available		Yes		android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest	cannotKeepAndTruncateNewLines()	CtsCameraTestCases									
	3.8.16	H-1-4	Test Available		Yes		android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest	testGetDesiredWidth()	CtsCameraTestCases									
	3.8.16	H-2-1	Test Available		Yes													
	3.8.16	H-2-2			Yes													
	3.9.11	C-1-3	Test Available		Yes													
	3.9.2	C-2-1	Test Available		Yes		android.telephony.embms.cts.MbmsDownloadCallbackTest	getResources()	CtsTelephonyTestCases									
	4	C-0-8	Test Available		Yes		android.graphics.cts.PaintTest	testConstructor()	CtsGraphicsTestCases									
	4	C-0-9	Test Available		Yes		android.graphics.cts.PaintTest	Paint()	CtsGraphicsTestCases									
	6.1	C-3-2	Not testable		Yes		android.hardware.cts.LowRamDeviceTest	testGetRightPadding()	CtsHardwareTestCases									
	6.1	C-4-1	Not testable		Yes		android.hardware.cts.LowRamDeviceTest	testGetRightPadding()	CtsHardwareTestCases									
	6.1	C-0-11	Test Available		Yes		android.hardware.cts.LowRamDeviceTest	testGetRightPadding()	CtsHardwareTestCases									
	6.1	C-3-1	Test Available		Yes		android.hardware.cts.LowRamDeviceTest	testGetRightPadding()	CtsHardwareTestCases									
	6.1	C-5-1	Test Available		Yes		android.hardware.cts.LowRamDeviceTest	testGetRightPadding()	CtsHardwareTestCases									
	6.1	C-0-10	Test Available	Yes	Yes		UidAtomTests.java	testLmkKillOccurred						148611927	12483943			
	7.1.1.1	C-3-1	Test Available		Yes		android.incrementalinstall.cts.IncrementalFeatureTest	hasTuner()										
	7.1.1.1	C-2-1	Not testable		Yes													
	7.1.1.1	H-1-1	Other (see comment)		Yes													
	7.1.1.1	H-2-1			Yes													
	7.1.4.2	C-1-10	Test Available		Yes		android.graphics.cts.VulkanDeqpLevelTest	testUnpremul()	CtsGraphicsTestCases									
	7.1.4.6	H-0-1	Test Available		Yes		android.graphics.cts.BitmapTest	testEquals1()	CtsGraphicsTestCases									
	7.1.4.6	H-1-1	Test Available		Yes		android.graphics.cts.BitmapTest	testInvalidCmapFont_unsortedEntries()	CtsGraphicsTestCases									
	7.1.4.6	H-1-2	Test Available		Yes		android.graphics.cts.BitmapTest	testGetPixelFormatInfoTranslucent()	CtsGraphicsTestCases									
	7.1.4.6	H-1-3	Test Available		Yes		android.graphics.cts.BitmapTest	Point()	CtsGraphicsTestCases									
	7.1.4.6	H-1-4	Test Available		Yes		android.graphics.cts.BitmapTest	testSetSaturation()	CtsGraphicsTestCases									
	7.2.3	C-3-1	Not testable		Yes		android.telephony.cts.CellInfoTest	testRequiredEglExtensions()	CtsTelephonyTestCases									
	7.2.4	C-3-3	Not testable		Yes		android.content.res.cts.ConfigTest	testOnLevelChange()	CtsContentTestCases									
	7.2.4	C-3-2	Test Available		Yes													
	7.2.6.1	C-2-1	Test Missing		Yes		android.appwidget.cts.AppWidgetTest	Builder()	CtsAppWidgetTestCases									
	7.3	C-1-6	Test Available		Yes		android.telephony.cts.CellInfoTest	testRequiredEglExtensions()	CtsTelephonyTestCases									
	7.3	C-1-7	Test Available		Yes													
