"CTS Bug Id"	"Annotation?"	"module"	"full_key"	"New Req for S?"	"Area"	"Comment(internal) e.g. why a test is not possible"	"Test Availability"	"New CTS for S?"	"class_def"	"Section"	"req_id"	"method"	"section_id"	"Shortened"	"CDD Bug Id"
""	""	"CtsVoiceInteractionTestCases"	"9.8/H-1-7"	""	""	""	"Test Available"	""	"android.voiceinteraction.cts.HotwordDetectedResultTest"	"2.2.5  . Security Model"	"H-1-7"	"testHotwordDetectedResult_totalSize"	"9.8"	""	""
""	""	"CtsUsageStatsTestCases"	"3.5.1/C-1-9"	""	""	"There is no indication of an list of ""all"" restriction events being exercised and checking if they show up in UsageStats. If it does exists it is a good example of annotation being important."	"Test Available, Incomplete"	""	"android.app.usage.cts.UsageStatsTest"	"3.5.1  . Application Restriction"	"C-1-9"	"testUserForceIntoRestricted"	"3.5.1"	""	""
"b/185181884"	""	"CtsAppTestCases"	"3.5.1/C-1-10"	""	""	"Once b/185181884 is fixed then a test could possible test whether the 2 hour minimum is met."	"Test Available, Incomplete"	""	"android.app.cts.ActivityManagerProcessStateTest"	"3.5.1  . Application Restriction"	"C-1-10"	"testBgRestrictedForegroundService"	"3.5.1"	""	""
"tbd"	""	"CtsStatsdAtomHostTestCases"	"3.5.2/C-1-4"	""	""	"The tests seem to be missing a code search shows no CTS files with ""hibernation AND restrict"""	"Test Missing"	""	"android.cts.statsdatom.appstart.AppStartStatsTests"	"3.5.2  . Application Hibernation"	"C-1-4"	"testHibernatingAppStartOccurred"	"3.5.2"	""	""
""	""	""	"3.6/C-1-1"	""	""	"The requirement makes statements about the owner of custom libraries, this could be verified in a process outside the CTS. We can test that it there are not additional APIs in the library as the test include shows."	"Not Testable, related test included"	""	"com.android.cts.apicoverage.ApkNdkApiReport"	"3.6  . API Namespaces"	"C-1-1"	"getTestModules"	"3.6"	""	""
""	""	""	"3.9.1/C-1-8"	""	""	""	"Test Available"	""	"com.android.compatibility.common.util.devicepolicy.provisioning.SilentProvisioningTestManager"	"3.9.1.1"	"C-1-8"	"getReceviedProfileProvisionedIntent"	"3.9.1.1"	""	""
""	""	""	"3.15/C-0-6"	""	""	""	"Test Available"	""	"com.android.cts.ephemeralapp1.ClientTest"	"3.15  . Instant Apps"	"C-0-6"	"testStartForegroundService"	"3.15"	""	""
""	"True"	"CtsCameraApi31TestCases"	"7.5/H-1-8"	""	""	""	""	""	"android.camera.cts.api31test.SPerfClassTest"	"2.2.7.2  . Camera"	"H-1-8"	"testSPerfClassJpegSizes"	"7.5"	""	""
""	"True"	""	"9.9.3/C-1-12"	""	""	"Found annotation reference in comments of .cpp files"	""	""	"cts/tests/tests/security/native/encryption/FileBasedEncryptionPolicyTest.cpp"	"9.9.3  . Encryption Methods"	"C-1-12"	"validateEncryptionModes"	"9.9.3"	""	""
""	"True"	""	"9.9.3/C-1-6"	""	""	"Found annotation reference in comments of .cpp files"	""	""	"cts/tests/tests/security/native/encryption/FileBasedEncryptionPolicyTest.cpp"	"9.9.3  . Encryption Methods"	"C-1-6"	"validateEncryptionModes"	"9.9.3"	""	""
""	"True"	""	"9.9.3/C-1-15"	""	""	"Found annotation reference in comments of .cpp files"	"Test Available, incomplete."	""	"cts/tests/tests/security/native/encryption/FileBasedEncryptionPolicyTest.cpp"	"9.9.3  . Encryption Methods"	"C-1-15"	"validateEncryptionFlags"	"9.9.3"	""	""
