Section ,id,req_id,status,class_def,method,module,Comment,Bug
2.2.1 Hardware(HandHeld),7.1.1,H-0-1,Test Available,android.dpi.cts.ConfgurationTest,testScreenConfigurateion,CtsDpiTestCases,,
2.2.1 Hardware(HandHeld),7.1.4.5,H-1-1,Test Available,android.cts.OpenGlEsVersionTest,testRequiredEglExtensionsForHdrCapableDisplay,CtsOpenGLTestCases,,http://b/120571778
2.2.1 Hardware(HandHeld),7.2.1,H-0-1,Test Available,android.inputmethodservice.cts.hostside.InputMethodServiceLifeCycleTest,testSwitchIme(),CtsInputMethodServiceHostTestCases,,
2.2.1 Hardware(HandHeld),7.2.3,H-0-1,Not testable,,,,,http://b/116246255
2.2.1 Hardware(HandHeld),7.2.3,H-0-2,Test Available,android.view.cts.LongPressBackTest,testAppIsNotDismissed,CtsViewTestCases,,
2.2.1 Hardware(HandHeld),7.2.4,H-0-1,Not testable,,,,"Although touchscreen feature is defined, handheld feature
is not exposed so no way to test Ref: SystemFeaturesTest",
2.2.1 Hardware(HandHeld),7.3.1,H-1-1,Test Available,android.hardware.cts.SingleSensorTests,testAccelerometer_100hz,CtsSensorTestCases,,
2.2.1 Hardware(HandHeld),7.3.4,H-1-1,Test Available,android.hardware.cts.SingleSensorTests,testGyroscope_100hz,CtsSensorTestCases,,
2.2.1 Hardware(HandHeld),7.4.7,H-1-1,Test Available,com.android.cts.net.hostside.DataSaverModeTest,public void.*,CtsHostSideNetworkTests,,
2.2.1 Hardware(HandHeld),7.6.1,H-0-1,Test Available,android.hardware.cts.LowRamDeviceTest,testMinSharedDataPartitionSize,CtsHardwareTestCases,In CDD (8.1) id--> 7.6.1/H-10-1,
2.2.1 Hardware(HandHeld),7.6.1,H-0-2,Test Available,android.hardware.cts.LowRamDeviceTest,testMinimumMemory,CtsHardwareTestCases,,
2.2.1 Hardware(HandHeld),7.6.1,H-1-1,Test Available,android.hardware.cts.LowRamDeviceTest,testMinimumMemory,CtsHardwareTestCases,,
2.2.1 Hardware(HandHeld),7.6.1,H-1-1,Test Available,android.hardware.cts.LowRamDeviceTest,testMinimumMemory(),CtsHardwareTestCases,,
