Section,section_id,req_id,Test Availability,Annotation? ,New Req for R?,New CTS for R?,class_def,method,module,Comment(internal) e.g. why a test is not possible ,Comment (external) ,New vs Updated(Q),CTS Bug Id ,CDD Bug Id,CDD CL,Area,Shortened,Test Level,,external version,,,
,3,A-1-1,,,Yes,,,,,,,,,,,,,,,,,,
,3,A-1-2,,,Yes,,,,,,,,,,,,,,,,,,
,3.1.1,C-0-2,,,Yes,,,,,,,,,,,,,,,,,,
,3.1.1,C-0-3,,,Yes,,,,,,,,,,,,,,,,,,
3.18. Contacts,3.18,C-1-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.18,C-1-2,,,Yes,,,,,,,,,,,,,,,,,,
,3.18,C-1-3,,,Yes,,,,,,,,,,,,,,,,,,
,3.18,C-1-4,,,Yes,,,,,,,,,,,,,,,,,,
,3.18,C-1-5,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.1,A-0-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.1,Tab-0-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-2-6,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-3-2,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-5-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-5-2,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-6-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-7-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-8-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-9-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-11-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-12-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-13-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-13-2,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-14-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-15-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.8.16,H-1-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.8.16,H-1-2,,,Yes,,,,,,,,,,,,,,,,,,
,3.8.16,H-1-3,,,Yes,,,,,,,,,,,,,,,,,,
,3.8.16,H-1-4,,,Yes,,,,,,,,,,,,,,,,,,
