Section,section_id,req_id,Test Availability,Test Availability,Annotation? ,New Req for R?,New CTS for R?,class_def,method,module,Comment(internal) e.g. why a test is not possible ,Comment (external) ,New vs Updated(Q),CTS Bug Id ,CDD Bug Id,CDD CL,Area,Shortened,Test Level,,external version,,,
2.5.3 Software(Auto),3,A-0-1,Not testable,Not testable,,,,,,,The feature cannot be tested standalone,,,,,,Non-phone Form Factors(Automotive),Vertical,-1,,,,,
,3,A-0-3,Test Available,Test Available,,,,android.app.cts.UiModeManagerTest,testUiMode(),CtsAppTestCases,,,,,,,Framework (UI),Framework,1,,,,,
,3,A-1-1,,,,Yes,,,,,,,,,,,,,,,,,,
,3,A-1-2,,,,Yes,,"[('android.host.multiuser.SecondaryUsersTest', 1)]",,,,,,,,,,,,,,,,
2.4.3 Software-Watch,3,W-0-1,Not testable,Not testable,,,,,,,,,,,,,Non-phone Form Factors(Watch),Vertical,-1,,,,,
,3,W-0-2,Test Available,Test Available,,,,android.app.cts.UiModeManagerTest,testUiMode(),CtsAppTestCases,,,,,,,Framework (UI),Framework,2,,,,,
3.1 Managed API Compatibility,3.1,C-0-1,Not testable,Not testable,,,,,,,,,,,,,Framework(API compatibility),Framework,-1,,,,,
,3.1,C-0-2,Test Available,Not testable,,,,,,,,,,,,,Framework(API compatibility),Framework,-1,,,,,
,3.1,C-0-3,Not testable,Not testable,,,,,,,,,,,,,Framework(API compatibility),Framework,-1,,,,,
,3.1,C-0-4,Not testable,Not testable,,,,,,,,,,,,,Framework(API compatibility),Framework,-1,,,,,
,3.1,C-0-5,Not testable,Test Available,,,,android.signature.cts.api.AnnotationTest,android.signature.cts.api.AnnotationTest.*,CtsSystemApiAnnotationTestCases,,,Updated in Q,,122980592,6933982,Framework(API compatibility),Framework,1,,,,,
,3.1,C-0-6,Test Available,Test Available,,,,android.signature.cts.api.*,android.signature.cts.api.*.*,CtsSingnatureTestCases,,,New in Q,,122980592,6933982,Framework(API compatibility),Framework,1,,,,,
,3.1,C-0-7,Test Available,Test Available,,,,com.android.cts.signedconfig.SignedConfigHostTest,public void.*,CtsSignedConfigHostTest,,,New in Q,,122980592,6933982,Framework(API compatibility),Framework,2,,,,,
,3.1.1,C-0-2,,,,Yes,,,,,,,,,,,,,,,,,,
,3.1.1,C-0-3,,,,Yes,,"[('android.appsecurity.cts.ApkVerityInstallTest', 12)]","[('getDevice', 2), ('setUp', 1), ('getLaunchApiLevel', 1), ('tearDown', 1)]",,,,,,,,,,,,,,,
3.1.1.Android Extensions,3.1.1.1,C-0-1,Test Available,Test Available,,,,android.os.ctsRequiredComponentTest,"testExtServicesPresent()
testSharedServicesPresent()",CtsOsTestCases,,,,,,,Framework(API compatibility),Framework,2,,,,,
3.1.2 Android Library,3.1.2,C-0-1,Test Available,Test Available,,,,android.signature.cts.api.SignatureTest,android.signature.cts.api.SignatureTest.*,CtsApacheHttpLegacy27ApiSignatureTestCases,,,,,,,Framework(API compatibility),Framework,2,,,,,
,3.1.2,C-0-2,Test Available,Test Available,,,,android.signature.cts.api.SignatureTest,android.signature.cts.api.SignatureTest.*,CtsApacheHttpLegacy27ApiSignatureTestCases,,,,,,,Framework(API compatibility),Framework,1,,,,,
,3.10,H-0-1,Test Available,Test Available,,,,android.accessibilityservice.cts.*,public void*,CtsAccessibilityTestCases,,,,,,,Framework (a11y),Framework,2,,,,,
,3.10,T-0-1,Test Available,Test Available,,,,android.accessibilityservice.cts.*,public void.*,CtsAccessibilityTestCases,,,,,,,Framework (a11y),Framework,2,,,,,
,3.10,W-1-1,Test Available,Test Available,,,,android.accessibilityservice.cts.AccessibilityEndToEndTest,public void .*,CtsAccessibilityServiceTestCases,,,,,,,Framework (a11y),Framework,1,,,,,
3.10 Accessibility,3.10,C-1-1,Test Available,Test Available,,,,android.accessibilityservice.cts.*,public void .*,CtsAccessibilityServiceTestCases,,,,,,,Framework (a11y),Framework,2,,,,,
,3.10,C-1-2,Test Available,Test Available,,,,android.accessibilityservice.cts.AccessibilityEndToEndTest,"testTypeNotificationStateChangedAccessibilityEvent
testTypeViewClickedAccessibilityEvent
testTypeViewFocusedAccessibilityEvent
testTypeViewLongClickedAccessibilityEvent
testTypeViewSelectedAccessibilityEvent
testTypeViewTextChangedAccessibilityEvent
testTypeWindowStateChangedAccessibilityEvent",CtsAccessibilityServiceTestCases,,,,,,,Framework (a11y),Framework,2,,,,,
,3.10,C-1-4,Test Available,Manually Testable Missing Test,,,,,,,Punted to R,,,,,,Framework (a11y),Framework,0.2,,,,,
,3.10,C-2-1,Manually Testable Missing Test,Test Missing,,,,,,,Punted to R,,,74204992,,,Framework (a11y),Framework,0,,,,,
3.11.Text-to-Speech,3.11,C-1-1,Test Available,Test Available,,,,"android.speech.tts.cts.TextToSpeechServiceTest
android.speech.tts.cts.TextToSpeechTest","android.speech.tts.cts.TextToSpeechServiceTest.*
android.speech.tts.cts.TextToSpeechTest.*",CtsSpeechTestCases,,,,,,,Framework (AI/Assistant/Speech),Framework,2,,,,,
,3.11,C-2-1,Test Missing,Manually Testable Missing Test,,,,,,,,,,74203864,,,Framework (AI/Assistant/Speech),Framework,0.2,,,,,
,3.11,H-0-1,Manually Testable Missing Test,Test Available,,,,"android.speech.tts.cts.TextToSpeechServiceTest
android.speech.tts.cts.TextToSpeechTest","assertContainsEngine()
testGetEnginesIncludesMock()",CtsSpeechTestCases,,,,,,,Framework (AI/Assistant/Speech),Framework,2,,,,,
