Section	section_id	req_id	Test Availability	class_def	method	module	method_text	full_key	requirement	key_as_number	search_terms	manual_search_terms	not_search_terms	not_files	matched_terms	search_roots	qualified_method	max_matches	file_name	matched_files	methods_string	urls	protected	Area	Shortened	Test Level
42:222291) 3.1.1  . Android Extensions	3.1.1	C-0-3						3.1.1/C-0-3	"""C-0-3] MUST support all the APIs defined by the extension versions returned by android.os.ext.SdkExtensions.getExtensionVersion(int apiLevel) in the same manner as other managed APIs are supported, following the requirements in section 3.1. <h4 id="""	03010100.670003	{'3.1.1', 'android.os.ext.SdkExtensions.getExtensionVersion', 'C-0-3'}
42:222291) 3.1.1  . Android Extensions	3.1.1	C-0-2						3.1.1/C-0-2	"""C-0-2] MUST only return valid extension version number that have been defined by the AOSP. """	03010100.670002	{'C-0-2', '3.1.1'}															
52:260955) 3.2.3.5  . Conditional Application Intents	3.2.3.5	C-6-1						3.2.3.5/C-6-1	"""C-6-1] MUST implement an activity that would respond to the intent ACTION_NOTIFICATION_POLICY_ACCESS_SETTINGS, which for implementations with UI_MODE_TYPE_NORMAL it MUST be an activity where the user can grant or deny the app access to DND policy configurations. If device implementations allow users to use third-party input methods on the device, they: """	03020305.670601	{'DND', 'ACTION_NOTIFICATION_POLICY_ACCESS_SETTINGS', '3.2.3.5', 'MODE_TYPE_NORMAL', 'C-6-1'}
52:260955) 3.2.3.5  . Conditional Application Intents	3.2.3.5	C-5-2						3.2.3.5/C-5-2	"""C-5-2] MUST honor the ‘android.bluetooth.adapter.action.REQUEST_DISCOVERABLE’ intent and show a system activity that requests discoverable mode. If device implementations support the DND feature, they: """	03020305.670502	{'DND', 'REQUEST_DISCOVERABLE', 'android.bluetooth.adapter.action.REQUEST', '3.2.3.5', 'C-5-2'}															
52:260955) 3.2.3.5  . Conditional Application Intents	3.2.3.5	C-2-6						3.2.3.5/C-2-6	"""C-2-6] MUST honor the android.intent.action.SENDTO and android.intent.action.VIEW intents and provide an activity to send/display SMS messages. """	03020305.670206	{'SENDTO', 'android.intent.action.VIEW', 'VIEW', '3.2.3.5', 'C-2-6', 'android.intent.action.SENDTO', 'SMS'}															
52:260955) 3.2.3.5  . Conditional Application Intents	3.2.3.5	C-14-1						3.2.3.5/C-14-1	"""C-14-1] MUST fully implement the AutofillService and AutofillManager APIs and honor the android.settings.REQUEST_SET_AUTOFILL_SERVICE intent to show a default app settings menu to enable and disable autofill and change the default autofill service for the user. If device implementations include a pre-installed app or wish to allow third-party apps to access the usage statistics, they: """	03020305.671401	{'3.2.3.5', 'REQUEST_SET_AUTOFILL_SERVICE', 'android.settings.REQUEST', 'C-14-1'}															
52:260955) 3.2.3.5  . Conditional Application Intents	3.2.3.5	C-11-1						3.2.3.5/C-11-1	"""C-11-1] MUST have an activity that handles the Settings.ACTION_IGNORE_BACKGROUND_DATA_RESTRICTIONS_SETTINGS intent but MAY implement it as a no-op. If device implementations declare the support for camera via android.hardware.camera.any they: """	03020305.671101	{'TINGS', 'Settings.ACTION', '3.2.3.5', 'ACTION_IGNORE_BACKGROUND_DATA_RESTRICTIONS_SET', 'android.hardware.camera.any', 'C-11-1'}															
52:260955) 3.2.3.5  . Conditional Application Intents	3.2.3.5	C-7-1						3.2.3.5/C-7-1	"""C-7-1] MUST provide a user-accessible mechanism to add and configure third-party input methods in response to the android.settings.INPUT_METHOD_SETTINGS intent. If device implementations support third-party accessibility services, they: """	03020305.670701	{'android.settings.INPUT', '3.2.3.5', 'INPUT_METHOD_SETTINGS', 'C-7-1'}															
52:260955) 3.2.3.5  . Conditional Application Intents	3.2.3.5	C-13-2						3.2.3.5/C-13-2	"""C-13-2] MUST honor the intents android.app.action.ADMIN_POLICY_COMPLIANCE, android.app.action.GET_PROVISIONING_MODE, android.app.action.PROVISIONING_SUCCESSFUL, android.app.action.PROVISION_MANAGED_DEVICE, android.app.action.PROVISION_MANAGED_PROFILE, android.app.action.SET_NEW_PARENT_PROFILE_PASSWORD, android.app.action.SET_NEW_PASSWORD & android.app.action.START_ENCRYPTION and have an activity to provide fulfillment for these intents as described in SDK here. If device implementations declare the android.software.autofill feature flag, they: """	03020305.671302	{'SET_NEW_PASSWORD', 'C-13-2', 'android.app.action.START', 'android.app.action.PROVISION', 'GET_PROVISIONING_MODE', 'PROVISIONING_SUCCESSFUL', 'START_ENCRYPTION', 'android.app.action.PROVISIONING', '3.2.3.5', 'SET_NEW_PARENT_PROFILE_PASSWORD', 'android.software.autofill', 'PROVISION_MANAGED_PROFILE', 'PROVISION_MANAGED_DEVICE', 'android.app.action.SET', 'android.app.action.ADMIN', 'ADMIN_POLICY_COMPLIANCE', 'android.app.action.GET'}															
52:260955) 3.2.3.5  . Conditional Application Intents	3.2.3.5	C-12-1						3.2.3.5/C-12-1	"""C-12-1] MUST honor the android.media.action.STILL_IMAGE_CAMERA and android.media.action.STILL_IMAGE_CAMERA_SECURE intent and launch the camera in still image mode as described in the SDK. """	03020305.671201	{'STILL_IMAGE_CAMERA_SECURE', '3.2.3.5', 'C-12-1', 'android.media.action.STILL', 'STILL_IMAGE_CAMERA'}															
