Section	section_id	req_id	Test Availability	class_def	method	module	method_text	full_key	requirement	key_as_number	search_terms	manual_search_terms	not_search_terms	not_files	matched_terms	search_roots	qualified_method	max_matches	file_name	matched_files	methods_string	urls	protected	Area	Shortened	Test Level
52:260955) 3.2.3.5  . Conditional Application Intents	3.2.3.5	C-6-1						3.2.3.5/C-6-1	"""C-6-1] MUST implement an activity that would respond to the intent ACTION_NOTIFICATION_POLICY_ACCESS_SETTINGS; which for implementations with UI_MODE_TYPE_NORMAL it MUST be an activity where the user can grant or deny the app access to DND policy configurations. If device implementations allow users to use third-party input methods on the device; they: """	03020305.670601	{'C-6-1', 'ACTION_NOTIFICATION_POLICY_ACCESS_SETTINGS', 'DND', 'MODE_TYPE_NORMAL', '3.2.3.5'}
52:260955) 3.2.3.5  . Conditional Application Intents	3.2.3.5	C-5-2						3.2.3.5/C-5-2	"""C-5-2] MUST honor the ‘android.bluetooth.adapter.action.REQUEST_DISCOVERABLE’ intent and show a system activity that requests discoverable mode. If device implementations support the DND feature; they: """	03020305.670502	{'C-5-2', 'REQUEST_DISCOVERABLE', 'android.bluetooth.adapter.action.REQUEST', 'DND', '3.2.3.5'}															
52:260955) 3.2.3.5  . Conditional Application Intents	3.2.3.5	C-2-6						3.2.3.5/C-2-6	"""C-2-6] MUST honor the android.intent.action.SENDTO and android.intent.action.VIEW intents and provide an activity to send/display SMS messages. """	03020305.670206	{'VIEW', 'SENDTO', 'SMS', 'C-2-6', 'android.intent.action.SENDTO', 'android.intent.action.VIEW', '3.2.3.5'}
52:260955) 3.2.3.5  . Conditional Application Intents	3.2.3.5	C-14-1						3.2.3.5/C-14-1	"""C-14-1] MUST fully implement the AutofillService and AutofillManager APIs and honor the android.settings.REQUEST_SET_AUTOFILL_SERVICE intent to show a default app settings menu to enable and disable autofill and change the default autofill service for the user. If device implementations include a pre-installed app or wish to allow third-party apps to access the usage statistics; they: """	03020305.671401	{'REQUEST_SET_AUTOFILL_SERVICE', 'android.settings.REQUEST', 'C-14-1', '3.2.3.5'}
52:260955) 3.2.3.5  . Conditional Application Intents	3.2.3.5	C-11-1						3.2.3.5/C-11-1	"""C-11-1] MUST have an activity that handles the Settings.ACTION_IGNORE_BACKGROUND_DATA_RESTRICTIONS_SETTINGS intent but MAY implement it as a no-op. If device implementations declare the support for camera via android.hardware.camera.any they: """	03020305.671101	{'TINGS', 'Settings.ACTION', 'android.hardware.camera.any', 'ACTION_IGNORE_BACKGROUND_DATA_RESTRICTIONS_SET', 'C-11-1', '3.2.3.5'}															
52:260955) 3.2.3.5  . Conditional Application Intents	3.2.3.5	C-7-1						3.2.3.5/C-7-1	"""C-7-1] MUST provide a user-accessible mechanism to add and configure third-party input methods in response to the android.settings.INPUT_METHOD_SETTINGS intent. If device implementations support third-party accessibility services; they: """	03020305.670701	{'C-7-1', 'android.settings.INPUT', 'INPUT_METHOD_SETTINGS', '3.2.3.5'}															
52:260955) 3.2.3.5  . Conditional Application Intents	3.2.3.5	C-13-2						3.2.3.5/C-13-2	"""C-13-2] MUST honor the intents android.app.action.ADMIN_POLICY_COMPLIANCE; android.app.action.GET_PROVISIONING_MODE; android.app.action.PROVISIONING_SUCCESSFUL; android.app.action.PROVISION_MANAGED_DEVICE; android.app.action.PROVISION_MANAGED_PROFILE; android.app.action.SET_NEW_PARENT_PROFILE_PASSWORD; android.app.action.SET_NEW_PASSWORD & android.app.action.START_ENCRYPTION and have an activity to provide fulfillment for these intents as described in SDK here. If device implementations declare the android.software.autofill feature flag; they: """	03020305.671302	{'PROVISIONING_SUCCESSFUL', 'PROVISION_MANAGED_PROFILE', 'android.app.action.GET', 'android.app.action.PROVISION', 'C-13-2', 'android.app.action.SET', 'android.app.action.ADMIN', 'SET_NEW_PASSWORD', 'SET_NEW_PARENT_PROFILE_PASSWORD', 'android.software.autofill', 'START_ENCRYPTION', 'PROVISION_MANAGED_DEVICE', 'android.app.action.PROVISIONING', 'android.app.action.START', 'GET_PROVISIONING_MODE', 'ADMIN_POLICY_COMPLIANCE', '3.2.3.5'}															
52:260955) 3.2.3.5  . Conditional Application Intents	3.2.3.5	C-12-1						3.2.3.5/C-12-1	"""C-12-1] MUST honor the android.media.action.STILL_IMAGE_CAMERA and android.media.action.STILL_IMAGE_CAMERA_SECURE intent and launch the camera in still image mode as described in the SDK. """	03020305.671201	{'STILL_IMAGE_CAMERA', 'android.media.action.STILL', 'C-12-1', 'STILL_IMAGE_CAMERA_SECURE', '3.2.3.5'}															
52:260955) 3.2.3.5  . Conditional Application Intents	3.2.3.5	C-15-1						3.2.3.5/C-15-1	"""C-15-1] MUST still have an activity that handles the android.settings.ACTION_USAGE_ACCESS_SETTINGS intent pattern but MUST implement it as a no-op; that is to have an equivalent behavior as when the user is declined for access. If device implementations report the feature android.hardware.audio.output; they: """	03020305.671501	{'android.settings.ACTION', 'C-15-1', 'ACTION_USAGE_ACCESS_SETTINGS', 'android.hardware.audio.output', '3.2.3.5'}															
52:260955) 3.2.3.5  . Conditional Application Intents	3.2.3.5	C-3-2						3.2.3.5/C-3-2	"""C-3-2] MUST honor android.nfc.cardemulation.action.ACTION_CHANGE_DEFAULT intent to show an activity which opens a dialog to ask the user to change the default card emulation service for a certain category as described in the SDK. If device implementations report android.hardware.nfc; they: """	03020305.670302	{'C-3-2', 'ACTION_CHANGE_DEFAULT', 'android.hardware.nfc', 'android.nfc.cardemulation.action.ACTION', '3.2.3.5'}															
