"Section"	"section_id"	"req_id"	"Test Availability"	"class_def"	"method"	"module"	"method_text"	"full_key"	"requirement"	"key_as_number"	"search_terms"	"manual_search_terms"	"not_search_terms"	"not_files"	"matched_terms"	"search_roots"	"qualified_method"	"max_matches"	"file_name"	"matched_files"	"methods_string"	"urls"	"protected"	"Area"	"Shortened"	"Test Level"
"45:237196) 3  . Software"	"3"	"A-1-1"	""	""	""	""	""	"3/A-1-1"	""">3/A-1-1] MUST NOT attach special privileges to system application&#39;s use of these properties, or prevent third-party applications from using these properties. [<a href=""#3_0_intro"""""	"03000000.650101"	"{'A-1-1', '3'}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45:237196) 3  . Software"	"3"	"A-1-2"	""	""	""	""	""	"3/A-1-2"	""">3/A-1-2] MUST NOT replicate a vehicle property that already exists in the SDK. Automotive device implementations: [<a href=""#3_2_soft_api_compatibility"""""	"03000000.650102"	"{'A-1-2', '3'}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47:241668) 3.1.1  . Android Extensions"	"3.1.1"	"C-0-3"	""	""	""	""	""	"3.1.1/C-0-3"	"""C-0-3] MUST support all the APIs defined by the extension versions returned by android.os.ext.SdkExtensions.getExtensionVersion(int apiLevel) in the same manner as other managed APIs are supported, following the requirements in section 3.1. <h4 id=""312_android_library"" """	"03010100.670003"	"{'C-0-3', 'android.os.ext.SdkExtensions.getExtensionVersion', '3.1.1'}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47:241668) 3.1.1  . Android Extensions"	"3.1.1"	"C-0-2"	""	""	""	""	""	"3.1.1/C-0-2"	"""C-0-2] MUST only return valid extension version number that have been defined by the AOSP. """	"03010100.670002"	"{'3.1.1', 'C-0-2'}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53:256677) 3.2.3.1  . Common Application Intents"	"3.2.3.1"	"A-0-1"	""	""	""	""	""	"3.2.3.1/A-0-1"	""">3.2.3.1/A-0-1] MUST preload one or more applications or service components with an intent handler, for all the public intent filter patterns defined by the following application intents listed here. [<a href=""#3_4_web_compatibility"""""	"03020301.650001"	"{'A-0-1', '3.2.3.1'}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53:256677) 3.2.3.1  . Common Application Intents"	"3.2.3.1"	"Tab-0-1"	""	""	""	""	""	"3.2.3.1/Tab-0-1"	""">3.2.3.1/Tab-0-1] MUST preload one or more applications or service components with an intent handler, for all the public intent filter patterns defined by the following application intents listed here. <h2 id=""3_software"" """	"03020301.980001"	"{'Tab-0-1', '3.2.3.1'}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57:278237) 3.2.3.5  . Conditional Application Intents"	"3.2.3.5"	"C-6-1"	""	""	""	""	""	"3.2.3.5/C-6-1"	"""C-6-1] MUST implement an activity that would respond to the intent ACTION_NOTIFICATION_POLICY_ACCESS_SETTINGS, which for implementations with UI_MODE_TYPE_NORMAL it MUST be an activity where the user can grant or deny the app access to DND policy configurations. If device implementations allow users to use third-party input methods on the device, they: """	"03020305.670601"	"{'C-6-1', '3.2.3.5', 'DND', 'MODE_TYPE_NORMAL', 'ACTION_NOTIFICATION_POLICY_ACCESS_SETTINGS'}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57:278237) 3.2.3.5  . Conditional Application Intents"	"3.2.3.5"	"C-5-2"	""	""	""	""	""	"3.2.3.5/C-5-2"	"""C-5-2] MUST honor the ‘android.bluetooth.adapter.action.REQUEST_DISCOVERABLE’ intent and show a system activity that requests discoverable mode. If device implementations support the DND feature, they: """	"03020305.670502"	"{'REQUEST_DISCOVERABLE', 'C-5-2', 'android.bluetooth.adapter.action.REQUEST', '3.2.3.5', 'DND'}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57:278237) 3.2.3.5  . Conditional Application Intents"	"3.2.3.5"	"C-2-6"	""	""	""	""	""	"3.2.3.5/C-2-6"	"""C-2-6] MUST honor the android.intent.action.SENDTO and android.intent.action.VIEW intents and provide an activity to send/display SMS messages. """	"03020305.670206"	"{'android.intent.action.VIEW', '3.2.3.5', 'C-2-6', 'SENDTO', 'SMS', 'VIEW', 'android.intent.action.SENDTO'}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57:278237) 3.2.3.5  . Conditional Application Intents"	"3.2.3.5"	"C-14-1"	""	""	""	""	""	"3.2.3.5/C-14-1"	"""C-14-1] MUST fully implement the AutofillService and AutofillManager APIs and honor the android.settings.REQUEST_SET_AUTOFILL_SERVICE intent to show a default app settings menu to enable and disable autofill and change the default autofill service for the user. If device implementations include a pre-installed app or wish to allow third-party apps to access the usage statistics, they: """	"03020305.671401"	"{'3.2.3.5', 'REQUEST_SET_AUTOFILL_SERVICE', 'C-14-1', 'android.settings.REQUEST'}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57:278237) 3.2.3.5  . Conditional Application Intents"	"3.2.3.5"	"C-11-1"	""	""	""	""	""	"3.2.3.5/C-11-1"	"""C-11-1] MUST have an activity that handles the Settings.ACTION_IGNORE_BACKGROUND_DATA_RESTRICTIONS_SETTINGS intent but MAY implement it as a no-op. If device implementations declare the support for camera via android.hardware.camera.any they: """	"03020305.671101"	"{'TINGS', 'ACTION_IGNORE_BACKGROUND_DATA_RESTRICTIONS_SET', '3.2.3.5', 'Settings.ACTION', 'android.hardware.camera.any', 'C-11-1'}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57:278237) 3.2.3.5  . Conditional Application Intents"	"3.2.3.5"	"C-7-1"	""	""	""	""	""	"3.2.3.5/C-7-1"	"""C-7-1] MUST provide a user-accessible mechanism to add and configure third-party input methods in response to the android.settings.INPUT_METHOD_SETTINGS intent. If device implementations support third-party accessibility services, they: """	"03020305.670701"	"{'3.2.3.5', 'android.settings.INPUT', 'INPUT_METHOD_SETTINGS', 'C-7-1'}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57:278237) 3.2.3.5  . Conditional Application Intents"	"3.2.3.5"	"C-13-2"	""	""	""	""	""	"3.2.3.5/C-13-2"	"""C-13-2] MUST honor the intents android.app.action.PROVISION_MANAGED_PROFILE, android.app.action.SET_NEW_PARENT_PROFILE_PASSWORD, android.app.action.SET_NEW_PASSWORD &amp; android.app.action.START_ENCRYPTION and have an activity to provide fulfillment for these intents as described in SDK here. If device implementations declare the android.software.autofill feature flag, they: """	"03020305.671302"	"{'START_ENCRYPTION', 'android.app.action.START', 'android.app.action.SET', 'android.app.action.PROVISION', 'android.software.autofill', '3.2.3.5', 'C-13-2', 'PROVISION_MANAGED_PROFILE', 'SET_NEW_PASSWORD', 'SET_NEW_PARENT_PROFILE_PASSWORD'}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
