Section,section_id,req_id,Test Availability,Annotation? ,New Req for R?,New CTS for R?,class_def,method,module,Comment(internal) e.g. why a test is not possible ,Comment (external) ,New vs Updated(Q),CTS Bug Id ,CDD Bug Id,CDD CL,Area,Shortened,Test Level,,external version,,,full_key,key_as_number
,7.1.1.1,H-1-1,Test Available,android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest,invalidFlags(),CtsCameraTestCases,7.1.1.1/H-1-1,""">7.1.1.1/H-1-1]* MUST make the logical screen that is made available for third party applications be at least 2 inches on the short edge(s) and 2.7 inches on the long edge(s). Devices which launched on an API level earlier than that of this document are exempted from this requirement. If Handheld device implementations do not support software screen rotation; they: [<a href=""#7_1_display_and_graphics""""","""07010101.720101""","{'edge(s)', 'H-1-1', '7.1.1.1'}",,cts/tests/camera/src/android/hardware/camera2/cts/ExtendedCameraCharacteristicsTest.java,,testConstructor() testGetDesiredWidth() testGetDesiredWidthRange() nullString() invalidMaxCharacters() invalidEllipsizeDip() invalidFlags() cannotKeepAndTruncateNewLines(),{'cts/tests/camera/src/android/hardware/camera2/cts/ExtendedCameraCharacteristicsTest.java': {...}},
,7.1.1.1,H-2-1,,,,,7.1.1.1/H-2-1,""">7.1.1.1/H-2-1]* MUST make the logical screen that is made available for third party applications be at least 2.7 inches on the short edge(s). Devices which launched on an API level earlier than that of this document are exempted from this requirement. If Handheld device implementations claim support for high dynamic range displays through Configuration.isScreenHdr() ; they: [<a href=""#7_1_display-and-graphics""""","""07010101.720201""","{'Configuration.isScreenHdr', 'H-2-1', '7.1.1.1', 'edge(s)', 'isScreenHdr()'}",,,,,,
,7.1.4.6,H-0-1,Test Available,android.graphics.cts.BitmapTest,testCreateFromAssetNull(),CtsGraphicsTestCases,7.1.4.6/H-0-1,""">7.1.4.6/H-0-1] MUST report whether the device supports the GPU profiling capability via a system property graphics.gpu.profiler.support. If Handheld device implementations declare support via a system property graphics.gpu.profiler.support; they: [<a href=""#7_1_display_and_graphics""""","""07010406.720001""","{'7.1.4.6', 'graphics.gpu.profiler.support', 'GPU', 'H-0-1', 'ArtParser(aFile)'}",,cts/tests/tests/graphics/src/android/graphics/cts/BitmapTest.java,,Path() testAddRect1() testConstructor() testFormatHasAlpha() PixelFormat() testGetPixelFormatInfoOpaque() PixelFormat() testGetPixelFormatInfoTransparent() PixelFormat() testGetPixelFormatInfoTranslucent() PixelFormat() testGetPixelFormatInfoJpeg() PixelFormat() testGetPixelFormatInfoUnknown() PixelFormat() testGetPixelFormatInfo() PixelFormat() testConstructor() testValues() testValueOf() testEquals() testSetConcat() ColorMatrix() testPreConcat() ColorMatrix() testPostConcat() setYUV2RGB() testSetYUV2RGB() setRGB2YUV() testSetRGB2YUV() getArray() testSetScale() testSetSaturation() testSetRotate() testSetRotateIllegalAxis() getArray() testSet2() getArray() testSet1() getArray() testReset() ColorMatrix() testColorMatrix() testParceling() testDescribeContents() testNegate() testOffset() Point() testToString() testHashCode() testEquals2() testEquals1() Point() testSet() Point() testConstructor() ColorMatrix() testGetColorMatrix() testColorMatrixColorFilter() MaskFilter() testConstructor() getAssets() testTypefaceCreate_customFont_customItalic() getAssets() testTypefaceCreate_customFont_customWeight() getAssets() testTypefaceCreate_customFont_getWeight() testTypefaceCreate_getWeight() testFontVariationSettings_OutOfRangeValue() testFontVariationSettings_UnsupportedAxes() testFontVariationSettings() testTypefaceCreate_withExactStyle() testTypefaceCreate_withExactWeight() testTypefaceBuilder_customFallback() testTypeface_SupportedCmapEncodingTest() obtainPath() testTypefaceBuilder_FileSourceFD() obtainPath() testTypefaceBuilder_fallback() testTypefaceBuilder_FileSource() getAssets() testTypefaceBuilder_AssetSource() getAssets() testBadFont() getAssets() testCreateFromAsset_cachesTypeface() testInvalidCmapFont_unsortedEntries() testInvalidCmapFont_tooLargeCodePoints() getAssets() testInvalidCmapFont2() getAssets() testInvalidCmapFont() obtainPath() testCreateFromFileByFileName() testCreateFromFileByInvalidFileName() testCreateFromFileByFileNameNull() testCreateFromFileWithInvalidPath() obtainPath() testCreateFromFileByFileReference() testCreateFromFileByFileReferenceNull() getAssets() testCreateFromAsset() testCreateFromAssetInvalidPath() testCreateFromAssetNullPath() testCreateFromAssetNull() testConstants() testDefaultFromStyle() testCreate() testIsBold(),"{'cts/tools/release-parser/tests/src/com/android/cts/releaseparser/FileParserTest.java': {...}, 'cts/hostsidetests/gputools/src/android/gputools/cts/CtsRootlessGpuDebugHostTest.java': {...}, 'cts/tests/camera/src/android/hardware/camera2/cts/MultiViewTest.java': {...}, 'cts/tests/camera/src/android/hardware/camera2/cts/ImageReaderTest.java': {...}, 'cts/tests/camera/src/android/hardware/camera2/cts/RobustnessTest.java': {...}, 'cts/tests/tests/view/src/android/view/cts/ASurfaceControlTest.java': {...}, 'cts/tests/tests/hardware/src/android/hardware/cts/HardwareBufferTest.java': {...}, 'cts/tests/tests/graphics/src/android/graphics/cts/BitmapTest.java': {...}}",
,7.1.4.6,H-1-1,Test Available,android.graphics.cts.BitmapTest,getArray(),CtsGraphicsTestCases,7.1.4.6/H-1-1,""">7.1.4.6/H-1-1] MUST report as output a protobuf trace that complies with the schema for GPU counters and GPU renderstages defined in the Perfetto documentation. [<a href=""#7_1_display_and_graphics""""","""07010406.720101""","{'GPU', 'H-1-1', ""'getVdexInfo()'"", '7.1.4.6'}",,cts/tests/tests/graphics/src/android/graphics/cts/BitmapTest.java,,Path() testAddRect1() testConstructor() testFormatHasAlpha() PixelFormat() testGetPixelFormatInfoOpaque() PixelFormat() testGetPixelFormatInfoTransparent() PixelFormat() testGetPixelFormatInfoTranslucent() PixelFormat() testGetPixelFormatInfoJpeg() PixelFormat() testGetPixelFormatInfoUnknown() PixelFormat() testGetPixelFormatInfo() PixelFormat() testConstructor() testValues() testValueOf() testEquals() testSetConcat() ColorMatrix() testPreConcat() ColorMatrix() testPostConcat() setYUV2RGB() testSetYUV2RGB() setRGB2YUV() testSetRGB2YUV() getArray() testSetScale() testSetSaturation() testSetRotate() testSetRotateIllegalAxis() getArray() testSet2() getArray() testSet1() getArray() testReset() ColorMatrix() testColorMatrix() testParceling() testDescribeContents() testNegate() testOffset() Point() testToString() testHashCode() testEquals2() testEquals1() Point() testSet() Point() testConstructor() ColorMatrix() testGetColorMatrix() testColorMatrixColorFilter() MaskFilter() testConstructor() getAssets() testTypefaceCreate_customFont_customItalic() getAssets() testTypefaceCreate_customFont_customWeight() getAssets() testTypefaceCreate_customFont_getWeight() testTypefaceCreate_getWeight() testFontVariationSettings_OutOfRangeValue() testFontVariationSettings_UnsupportedAxes() testFontVariationSettings() testTypefaceCreate_withExactStyle() testTypefaceCreate_withExactWeight() testTypefaceBuilder_customFallback() testTypeface_SupportedCmapEncodingTest() obtainPath() testTypefaceBuilder_FileSourceFD() obtainPath() testTypefaceBuilder_fallback() testTypefaceBuilder_FileSource() getAssets() testTypefaceBuilder_AssetSource() getAssets() testBadFont() getAssets() testCreateFromAsset_cachesTypeface() testInvalidCmapFont_unsortedEntries() testInvalidCmapFont_tooLargeCodePoints() getAssets() testInvalidCmapFont2() getAssets() testInvalidCmapFont() obtainPath() testCreateFromFileByFileName() testCreateFromFileByInvalidFileName() testCreateFromFileByFileNameNull() testCreateFromFileWithInvalidPath() obtainPath() testCreateFromFileByFileReference() testCreateFromFileByFileReferenceNull() getAssets() testCreateFromAsset() testCreateFromAssetInvalidPath() testCreateFromAssetNullPath() testCreateFromAssetNull() testConstants() testDefaultFromStyle() testCreate() testIsBold(),"{'cts/hostsidetests/gputools/src/android/gputools/cts/CtsRootlessGpuDebugHostTest.java': {...}, 'cts/tests/camera/src/android/hardware/camera2/cts/MultiViewTest.java': {...}, 'cts/tests/camera/src/android/hardware/camera2/cts/ImageReaderTest.java': {...}, 'cts/tests/camera/src/android/hardware/camera2/cts/RobustnessTest.java': {...}, 'cts/tests/camera/src/android/hardware/camera2/cts/ExtendedCameraCharacteristicsTest.java': {...}, 'cts/tests/tests/view/src/android/view/cts/ASurfaceControlTest.java': {...}, 'cts/tests/tests/hardware/src/android/hardware/cts/HardwareBufferTest.java': {...}, 'cts/tests/tests/graphics/src/android/graphics/cts/BitmapTest.java': {...}}",
,7.1.4.6,H-1-2,Test Available,android.graphics.cts.BitmapTest,testOffset(),CtsGraphicsTestCases,7.1.4.6/H-1-2,""">7.1.4.6/H-1-2] MUST report conformant values for the device’s GPU counters following the gpu counter trace packet proto. [<a href=""#7_1_display_and_graphics""""","""07010406.720102""","{'GPU', 'H-1-2', '7.1.4.6', 'sInternalReferenceSymboleMap'}",,cts/tests/tests/graphics/src/android/graphics/cts/BitmapTest.java,,Path() testAddRect1() testConstructor() testFormatHasAlpha() PixelFormat() testGetPixelFormatInfoOpaque() PixelFormat() testGetPixelFormatInfoTransparent() PixelFormat() testGetPixelFormatInfoTranslucent() PixelFormat() testGetPixelFormatInfoJpeg() PixelFormat() testGetPixelFormatInfoUnknown() PixelFormat() testGetPixelFormatInfo() PixelFormat() testConstructor() testValues() testValueOf() testEquals() testSetConcat() ColorMatrix() testPreConcat() ColorMatrix() testPostConcat() setYUV2RGB() testSetYUV2RGB() setRGB2YUV() testSetRGB2YUV() getArray() testSetScale() testSetSaturation() testSetRotate() testSetRotateIllegalAxis() getArray() testSet2() getArray() testSet1() getArray() testReset() ColorMatrix() testColorMatrix() testParceling() testDescribeContents() testNegate() testOffset() Point() testToString() testHashCode() testEquals2() testEquals1() Point() testSet() Point() testConstructor() ColorMatrix() testGetColorMatrix() testColorMatrixColorFilter() MaskFilter() testConstructor() getAssets() testTypefaceCreate_customFont_customItalic() getAssets() testTypefaceCreate_customFont_customWeight() getAssets() testTypefaceCreate_customFont_getWeight() testTypefaceCreate_getWeight() testFontVariationSettings_OutOfRangeValue() testFontVariationSettings_UnsupportedAxes() testFontVariationSettings() testTypefaceCreate_withExactStyle() testTypefaceCreate_withExactWeight() testTypefaceBuilder_customFallback() testTypeface_SupportedCmapEncodingTest() obtainPath() testTypefaceBuilder_FileSourceFD() obtainPath() testTypefaceBuilder_fallback() testTypefaceBuilder_FileSource() getAssets() testTypefaceBuilder_AssetSource() getAssets() testBadFont() getAssets() testCreateFromAsset_cachesTypeface() testInvalidCmapFont_unsortedEntries() testInvalidCmapFont_tooLargeCodePoints() getAssets() testInvalidCmapFont2() getAssets() testInvalidCmapFont() obtainPath() testCreateFromFileByFileName() testCreateFromFileByInvalidFileName() testCreateFromFileByFileNameNull() testCreateFromFileWithInvalidPath() obtainPath() testCreateFromFileByFileReference() testCreateFromFileByFileReferenceNull() getAssets() testCreateFromAsset() testCreateFromAssetInvalidPath() testCreateFromAssetNullPath() testCreateFromAssetNull() testConstants() testDefaultFromStyle() testCreate() testIsBold(),"{'cts/hostsidetests/gputools/src/android/gputools/cts/CtsRootlessGpuDebugHostTest.java': {...}, 'cts/tests/camera/src/android/hardware/camera2/cts/MultiViewTest.java': {...}, 'cts/tests/camera/src/android/hardware/camera2/cts/ImageReaderTest.java': {...}, 'cts/tests/camera/src/android/hardware/camera2/cts/RobustnessTest.java': {...}, 'cts/tests/camera/src/android/hardware/camera2/cts/ExtendedCameraCharacteristicsTest.java': {...}, 'cts/tests/tests/view/src/android/view/cts/ASurfaceControlTest.java': {...}, 'cts/tests/tests/hardware/src/android/hardware/cts/HardwareBufferTest.java': {...}, 'cts/tests/tests/graphics/src/android/graphics/cts/BitmapTest.java': {...}}",
,7.1.4.6,H-1-3,Test Available,android.graphics.cts.BitmapTest,testSetRotate(),CtsGraphicsTestCases,7.1.4.6/H-1-3,""">7.1.4.6/H-1-3] MUST report conformant values for the device’s GPU RenderStages following the render stage trace packet proto. [<a href=""#7_1_display_and_graphics""""","""07010406.720103""","{'GPU', '7.1.4.6', 'H-1-3'}",,cts/tests/tests/graphics/src/android/graphics/cts/BitmapTest.java,,Path() testAddRect1() testConstructor() testFormatHasAlpha() PixelFormat() testGetPixelFormatInfoOpaque() PixelFormat() testGetPixelFormatInfoTransparent() PixelFormat() testGetPixelFormatInfoTranslucent() PixelFormat() testGetPixelFormatInfoJpeg() PixelFormat() testGetPixelFormatInfoUnknown() PixelFormat() testGetPixelFormatInfo() PixelFormat() testConstructor() testValues() testValueOf() testEquals() testSetConcat() ColorMatrix() testPreConcat() ColorMatrix() testPostConcat() setYUV2RGB() testSetYUV2RGB() setRGB2YUV() testSetRGB2YUV() getArray() testSetScale() testSetSaturation() testSetRotate() testSetRotateIllegalAxis() getArray() testSet2() getArray() testSet1() getArray() testReset() ColorMatrix() testColorMatrix() testParceling() testDescribeContents() testNegate() testOffset() Point() testToString() testHashCode() testEquals2() testEquals1() Point() testSet() Point() testConstructor() ColorMatrix() testGetColorMatrix() testColorMatrixColorFilter() MaskFilter() testConstructor() getAssets() testTypefaceCreate_customFont_customItalic() getAssets() testTypefaceCreate_customFont_customWeight() getAssets() testTypefaceCreate_customFont_getWeight() testTypefaceCreate_getWeight() testFontVariationSettings_OutOfRangeValue() testFontVariationSettings_UnsupportedAxes() testFontVariationSettings() testTypefaceCreate_withExactStyle() testTypefaceCreate_withExactWeight() testTypefaceBuilder_customFallback() testTypeface_SupportedCmapEncodingTest() obtainPath() testTypefaceBuilder_FileSourceFD() obtainPath() testTypefaceBuilder_fallback() testTypefaceBuilder_FileSource() getAssets() testTypefaceBuilder_AssetSource() getAssets() testBadFont() getAssets() testCreateFromAsset_cachesTypeface() testInvalidCmapFont_unsortedEntries() testInvalidCmapFont_tooLargeCodePoints() getAssets() testInvalidCmapFont2() getAssets() testInvalidCmapFont() obtainPath() testCreateFromFileByFileName() testCreateFromFileByInvalidFileName() testCreateFromFileByFileNameNull() testCreateFromFileWithInvalidPath() obtainPath() testCreateFromFileByFileReference() testCreateFromFileByFileReferenceNull() getAssets() testCreateFromAsset() testCreateFromAssetInvalidPath() testCreateFromAssetNullPath() testCreateFromAssetNull() testConstants() testDefaultFromStyle() testCreate() testIsBold(),"{'cts/hostsidetests/gputools/src/android/gputools/cts/CtsRootlessGpuDebugHostTest.java': {...}, 'cts/tests/camera/src/android/hardware/camera2/cts/MultiViewTest.java': {...}, 'cts/tests/camera/src/android/hardware/camera2/cts/ImageReaderTest.java': {...}, 'cts/tests/camera/src/android/hardware/camera2/cts/RobustnessTest.java': {...}, 'cts/tests/camera/src/android/hardware/camera2/cts/ExtendedCameraCharacteristicsTest.java': {...}, 'cts/tests/tests/view/src/android/view/cts/ASurfaceControlTest.java': {...}, 'cts/tests/tests/hardware/src/android/hardware/cts/HardwareBufferTest.java': {...}, 'cts/tests/tests/graphics/src/android/graphics/cts/BitmapTest.java': {...}}",
,7.1.4.6,H-1-4,Test Available,android.graphics.cts.BitmapTest,testFormatHasAlpha(),CtsGraphicsTestCases,7.1.4.6/H-1-4,""">7.1.4.6/H-1-4] MUST report a GPU Frequency tracepoint as specified by the format: power/gpu_frequency. Handheld device implementations: [<a href=""#7_1_display_and_graphics""""","""07010406.720104""","{'GPU', '7.1.4.6', 'H-1-4'}",,cts/tests/tests/graphics/src/android/graphics/cts/BitmapTest.java,,Path() testAddRect1() testConstructor() testFormatHasAlpha() PixelFormat() testGetPixelFormatInfoOpaque() PixelFormat() testGetPixelFormatInfoTransparent() PixelFormat() testGetPixelFormatInfoTranslucent() PixelFormat() testGetPixelFormatInfoJpeg() PixelFormat() testGetPixelFormatInfoUnknown() PixelFormat() testGetPixelFormatInfo() PixelFormat() testConstructor() testValues() testValueOf() testEquals() testSetConcat() ColorMatrix() testPreConcat() ColorMatrix() testPostConcat() setYUV2RGB() testSetYUV2RGB() setRGB2YUV() testSetRGB2YUV() getArray() testSetScale() testSetSaturation() testSetRotate() testSetRotateIllegalAxis() getArray() testSet2() getArray() testSet1() getArray() testReset() ColorMatrix() testColorMatrix() testParceling() testDescribeContents() testNegate() testOffset() Point() testToString() testHashCode() testEquals2() testEquals1() Point() testSet() Point() testConstructor() ColorMatrix() testGetColorMatrix() testColorMatrixColorFilter() MaskFilter() testConstructor() getAssets() testTypefaceCreate_customFont_customItalic() getAssets() testTypefaceCreate_customFont_customWeight() getAssets() testTypefaceCreate_customFont_getWeight() testTypefaceCreate_getWeight() testFontVariationSettings_OutOfRangeValue() testFontVariationSettings_UnsupportedAxes() testFontVariationSettings() testTypefaceCreate_withExactStyle() testTypefaceCreate_withExactWeight() testTypefaceBuilder_customFallback() testTypeface_SupportedCmapEncodingTest() obtainPath() testTypefaceBuilder_FileSourceFD() obtainPath() testTypefaceBuilder_fallback() testTypefaceBuilder_FileSource() getAssets() testTypefaceBuilder_AssetSource() getAssets() testBadFont() getAssets() testCreateFromAsset_cachesTypeface() testInvalidCmapFont_unsortedEntries() testInvalidCmapFont_tooLargeCodePoints() getAssets() testInvalidCmapFont2() getAssets() testInvalidCmapFont() obtainPath() testCreateFromFileByFileName() testCreateFromFileByInvalidFileName() testCreateFromFileByFileNameNull() testCreateFromFileWithInvalidPath() obtainPath() testCreateFromFileByFileReference() testCreateFromFileByFileReferenceNull() getAssets() testCreateFromAsset() testCreateFromAssetInvalidPath() testCreateFromAssetNullPath() testCreateFromAssetNull() testConstants() testDefaultFromStyle() testCreate() testIsBold(),"{'cts/hostsidetests/gputools/src/android/gputools/cts/CtsRootlessGpuDebugHostTest.java': {...}, 'cts/tests/camera/src/android/hardware/camera2/cts/MultiViewTest.java': {...}, 'cts/tests/camera/src/android/hardware/camera2/cts/ImageReaderTest.java': {...}, 'cts/tests/camera/src/android/hardware/camera2/cts/RobustnessTest.java': {...}, 'cts/tests/camera/src/android/hardware/camera2/cts/ExtendedCameraCharacteristicsTest.java': {...}, 'cts/tests/tests/view/src/android/view/cts/ASurfaceControlTest.java': {...}, 'cts/tests/tests/hardware/src/android/hardware/cts/HardwareBufferTest.java': {...}, 'cts/tests/tests/graphics/src/android/graphics/cts/BitmapTest.java': {...}}",
,3.8.16,H-1-1,Test Available,android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest,testGetDesiredWidthRange(),CtsCameraTestCases,3.8.16/H-1-1,""">3.8.16/H-1-1] MUST declare the feature flag android.software.controls and set it to true. [<a href=""#3_8_user_interface_compatibility""""","""03081600.720101""","{'H-1-1', '3.8.16', 'android.software.controls'}",,cts/tests/camera/src/android/hardware/camera2/cts/ExtendedCameraCharacteristicsTest.java,,testConstructor() testGetDesiredWidth() testGetDesiredWidthRange() nullString() invalidMaxCharacters() invalidEllipsizeDip() invalidFlags() cannotKeepAndTruncateNewLines(),{'cts/tests/camera/src/android/hardware/camera2/cts/ExtendedCameraCharacteristicsTest.java': {...}},
,3.8.16,H-1-2,Test Available,android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest,invalidFlags(),CtsCameraTestCases,3.8.16/H-1-2,""">3.8.16/H-1-2] MUST provide a user affordance with the ability to add; edit; select; and operate the user’s favorite device controls from the controls registered by the third-party applications through the ControlsProviderService and the Control APIs. [<a href=""#3_8_user_interface_compatibility""""","""03081600.720102""","{'H-1-2', '3.8.16'}",,cts/tests/camera/src/android/hardware/camera2/cts/ExtendedCameraCharacteristicsTest.java,,testConstructor() testGetDesiredWidth() testGetDesiredWidthRange() nullString() invalidMaxCharacters() invalidEllipsizeDip() invalidFlags() cannotKeepAndTruncateNewLines(),{'cts/tests/camera/src/android/hardware/camera2/cts/ExtendedCameraCharacteristicsTest.java': {...}},
,3.8.16,H-1-3,Test Available,android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest,testGetDesiredWidthRange(),CtsCameraTestCases,3.8.16/H-1-3,""">3.8.16/H-1-3] MUST provide access to this user affordance within three interactions from a default Launcher. [<a href=""#3_8_user_interface_compatibility""""","""03081600.720103""","{'H-1-3', '3.8.16'}",,cts/tests/camera/src/android/hardware/camera2/cts/ExtendedCameraCharacteristicsTest.java,,testConstructor() testGetDesiredWidth() testGetDesiredWidthRange() nullString() invalidMaxCharacters() invalidEllipsizeDip() invalidFlags() cannotKeepAndTruncateNewLines(),{'cts/tests/camera/src/android/hardware/camera2/cts/ExtendedCameraCharacteristicsTest.java': {...}},
