"Section"	"section_id"	"req_id"	"Test Availability"	"Annotation?"	"New Req for S?"	"New CTS for S?"	"class_def"	"method"	"module"	"Comment(internal) e.g. why a test is not possible"	"CTS Bug Id"	"CDD Bug Id"	"Area"	"Shortened"	"full_key"
"2.2.5  . Security Model"	"9.8"	"H-1-7"	"Test Available"	""	""	""	"android.voiceinteraction.cts.HotwordDetectedResultTest"	"testHotwordDetectedResult_totalSize"	"CtsVoiceInteractionTestCases"	""	""	""	""	""	"9.8/H-1-7"
"3.5.1  . Application Restriction"	"3.5.1"	"C-1-9"	"Test Available, Incomplete"	""	""	""	"android.app.usage.cts.UsageStatsTest"	"testUserForceIntoRestricted"	"CtsUsageStatsTestCases"	"There is no indication of an list of ""all"" restriction events being exercised and checking if they show up in UsageStats. If it does exists it is a good example of annotation being important."	""	""	""	""	"3.5.1/C-1-9"
"3.5.1  . Application Restriction"	"3.5.1"	"C-1-10"	"Test Available, Incomplete"	""	""	""	"android.app.cts.ActivityManagerProcessStateTest"	"testBgRestrictedForegroundService"	"CtsAppTestCases"	"Once b/185181884 is fixed then a test could possible test whether the 2 hour minimum is met."	"b/185181884"	""	""	""	"3.5.1/C-1-10"
"3.5.1  . Application Restriction"	"3.5.1"	"C-2-1"	"Test Available, Incomplete"	""	""	""	"android.app.cts.backgroundrestrictions.MyReceiver"	"getContext"	"CtsBackgroundRestrictionsTestCases"	"All of the features and rules of https://source.android.com/devices/tech/power/app_mgmt are not represented in these tests"	"tbd"	""	""	""	"3.5.1/C-2-1"
"3.5.2  . Application Hibernation"	"3.5.2"	"C-1-1"	"Test Missing"	""	""	""	""	""	""	"The tests seem to be missing a code search shows no CTS files with ""hibernation AND restrict"""	"tbd"	""	""	""	"3.5.2/C-1-1"
"3.5.2  . Application Hibernation"	"3.5.2"	"C-1-2"	"Test Missing"	""	""	""	""	"myUserId"	""	"The tests seem to be missing a code search shows no CTS files with ""hibernation AND restrict"""	"tbd"	""	""	""	"3.5.2/C-1-2"
"3.5.2  . Application Hibernation"	"3.5.2"	"C-1-3"	"Test Missing"	""	""	""	""	""	""	"The tests seem to be missing a code search shows no CTS files with ""hibernation AND restrict"""	"tbd"	""	""	""	"3.5.2/C-1-3"
"3.5.2  . Application Hibernation"	"3.5.2"	"C-1-4"	"Test Missing"	""	""	""	"android.cts.statsdatom.appstart.AppStartStatsTests"	"testHibernatingAppStartOccurred"	"CtsStatsdAtomHostTestCases"	"The tests seem to be missing a code search shows no CTS files with ""hibernation AND restrict"""	"tbd"	""	""	""	"3.5.2/C-1-4"
"3.6  . API Namespaces"	"3.6"	"C-1-1"	"Not Testable, related test included"	""	""	""	"com.android.cts.apicoverage.ApkNdkApiReport"	"getTestModules"	""	"The requirement makes statements about the owner of custom libraries, this could be verified in a process outside the CTS. We can test that it there are not additional APIs in the library as the test include shows."	""	""	""	""	"3.6/C-1-1"
"3.8.13  . Unicode and Font"	"3.8.13"	"C-1-3"	"Test Available"	""	""	""	"android.graphics.fonts.SystemEmojiTest"	"isNotNull"	"CtsGraphicsTestCases"	""	""	""	""	""	"3.8.13/C-1-3"
"3.9.1.1"	"3.9.1.1"	"C-1-8"	"Test Available"	""	""	""	"com.android.compatibility.common.util.devicepolicy.provisioning.SilentProvisioningTestManager"	"getReceviedProfileProvisionedIntent"	""	""	""	""	""	""	"3.9.1/C-1-8"
"2.5.3  . Software"	"3.9.3"	"A-1-1"	"Test Missing"	""	""	""	"android.car.cts.CarHostJUnit4TestCase"	"isEmpty"	"CtsCarHostTestCases"	"All of the lifecycle properties do not appear in one test. INITIAL_USER_INFO can not be found in CTS at all."	"tbd"	""	""	""	"3.9.3/A-1-1"
"3.15  . Instant Apps"	"3.15"	"C-0-7"	"Test Available"	""	""	""	"com.android.cts.normalapp.NormalActivity"	"finish"	""	"The test seems to cover the requirement, it contains a test for instant apps in recents"	""	""	""	""	"3.15/C-0-7"
"3.15  . Instant Apps"	"3.15"	"C-0-6"	"Test Available"	""	""	""	"com.android.cts.ephemeralapp1.ClientTest"	"testStartForegroundService"	""	""	""	""	""	""	"3.15/C-0-6"
"3.15  . Instant Apps"	"3.15"	"C-0-5"	"Test Missing"	""	""	""	"android.os.cts.FileObserverTest"	"isInstantApp"	""	"Searches for ""delete ephem instantapp"" do not find tests for UI for user to delete apps. The test included tests file deletion."	""	""	""	""	"3.15/C-0-5"
"2.2.7.1  . Media"	"5.6"	"H-1-1"	"Test Available"	""	""	""	"com.android.cts.verifier.audio.AudioTap2ToneActivity"	"OnTouchListener"	""	""	""	""	""	""	"5.6/H-1-1"
"2.2.7.1  . Media"	"5.1"	"H-1-7"	""	"True"	""	""	"android.mediapc.cts.EncoderInitializationLatencyTest"	"testInitializationLatency()"	"CtsMediaPerformanceClassTestCases"	""	""	""	""	""	"5.1/H-1-7"
"2.2.7.2  . Camera"	"7.5"	"H-1-8"	""	"True"	""	""	"android.camera.cts.api31test.SPerfClassTest"	"testSPerfClassJpegSizes"	"CtsCameraApi31TestCases"	""	""	""	""	""	"7.5/H-1-8"
"2.2.7.1  . Media"	"5.3"	"H-1-2"	""	"True"	""	""	"android.mediapc.cts.AdaptivePlaybackFrameDropTest"	"testAdaptivePlaybackFrameDrop()"	"CtsMediaPerformanceClassTestCases"	""	""	""	""	""	"5.3/H-1-2"
"9.9.3  . Encryption Methods"	"9.9.3"	"C-1-5"	""	"True"	""	""	"android.security.cts.MetadataEncryptionTest"	"testMetadataEncryptionIsEnabled()"	"CtsSecurityHostTestCases"	""	""	""	""	""	"9.9.3/C-1-5"
"2.2.7.1  . Media"	"5.1"	"H-1-6"	""	"True"	""	""	"android.mediapc.cts.MultiTranscoderPerfTest"	"test720p()"	"CtsMediaPerformanceClassTestCases"	""	""	""	""	""	"5.1/H-1-6"
"2.2.7.1  . Media"	"5.1"	"H-1-5"	""	"True"	""	""	"android.mediapc.cts.MultiTranscoderPerfTest"	"test720p()"	"CtsMediaPerformanceClassTestCases"	""	""	""	""	""	"5.1/H-1-5"
"7.4.1  . Telephony"	"7.4.1"	"C-4-1"	""	"True"	""	""	"android.telephony.cts.TelephonyManagerTest"	"testIWlanServiceState()"	"CtsTelephonyTestCases"	""	""	""	""	""	"7.4.1/C-4-1"
"2.2.7.1  . Media"	"5.1"	"H-1-8"	""	"True"	""	""	"android.mediapc.cts.EncoderInitializationLatencyTest"	"testInitializationLatency()"	"CtsMediaPerformanceClassTestCases"	""	""	""	""	""	"5.1/H-1-8"
"2.2.7.1  . Media"	"5.1"	"H-1-4"	""	"True"	""	""	"android.mediapc.cts.MultiEncoderPerfTest"	"test720p()"	"CtsMediaPerformanceClassTestCases"	""	""	""	""	""	"5.1/H-1-4"
"2.2.7.1  . Media"	"5.3"	"H-1-1"	""	"True"	""	""	"android.mediapc.cts.FrameDropTest"	"testDecodeToSurface()"	"CtsMediaPerformanceClassTestCases"	""	""	""	""	""	"5.3/H-1-1"
"2.2.7.1  . Media"	"5.1"	"H-1-1"	""	"True"	""	""	"android.mediapc.cts.MultiDecoderPerfTest"	"test720p()"	"CtsMediaPerformanceClassTestCases"	""	""	""	""	""	"5.1/H-1-1"
"2.2.7.1  . Media"	"5.1"	"H-1-3"	""	"True"	""	""	"android.mediapc.cts.MultiEncoderPerfTest"	"test720p()"	"CtsMediaPerformanceClassTestCases"	""	""	""	""	""	"5.1/H-1-3"
"2.2.7.1  . Media"	"5.1"	"H-1-2"	""	"True"	""	""	"android.mediapc.cts.MultiDecoderPerfTest"	"test720p()"	"CtsMediaPerformanceClassTestCases"	""	""	""	""	""	"5.1/H-1-2"
"9.9.3  . Encryption Methods"	"9.9.3"	"C-1-12"	""	"True"	""	""	"cts/tests/tests/security/native/encryption/FileBasedEncryptionPolicyTest.cpp"	"validateEncryptionModes"	""	"Found annotation reference in comments of .cpp files"	""	""	""	""	"9.9.3/C-1-12"
"9.9.3  . Encryption Methods"	"9.9.3"	"C-1-6"	""	"True"	""	""	"cts/tests/tests/security/native/encryption/FileBasedEncryptionPolicyTest.cpp"	"validateEncryptionModes"	""	"Found annotation reference in comments of .cpp files"	""	""	""	""	"9.9.3/C-1-6"
"9.9.3  . Encryption Methods"	"9.9.3"	"C-1-14"	""	"True"	""	""	"cts/tests/tests/security/native/encryption/FileBasedEncryptionPolicyTest.cpp"	"FileBasedEncryptionPolicyTest_allowedPolicy"	""	"Found annotation reference in comments of .cpp files"	""	""	""	""	"9.9.3/C-1-14"
