Section,section_id,req_id,Test Availability,class_def,method,module,full_key,requirement,key_as_number,search_terms,manual_search_terms,matched_terms,file_name,matched_files,methods_string,urls
,3.2.3.5,C-2-6,,android.accessibilityservice.cts.AccessibilityViewTreeReportingTest,testUnhideView_receiveSubtreeEvent(),CtsAccessibilityServiceTestCases,,,,,,,,,,
,3.2.3.5,C-15-1,,android.accessibilityservice.cts.AccessibilityViewTreeReportingTest,testAccessibilityImportanceReportingForUnimportantView(),CtsAccessibilityServiceTestCases,,,,,,,,,,
,3.2.3.5,C-15-1,,android.accessibilityservice.cts.AccessibilityEndToEndTest,testTouchDelegateCoverParentWithEbt_HoverChildAndBack_FocusTargetAgain(),CtsAccessibilityServiceTestCases,,,,,,,,,,
,3.2.3.5,C-15-1,,android.accessibilityservice.cts.AccessibilitySoftKeyboardTest,testTouchDelegateCoverParentWithEbt_HoverChildAndBack_FocusTargetAgain(),CtsAccessibilityServiceTestCases,,,,,,,,,,
,3.2.3.5,C-15-1,,android.accessibilityservice.cts.AccessibilityMagnificationTest,testA11yNodeInfoVisibility_whenOutOfMagnifiedArea_shouldVisible(),CtsAccessibilityServiceTestCases,,,,,,,,,,
,3.2.3.5,C-15-1,,android.accessibilityservice.cts.AccessibilityTextTraversalTest,testSelectionPositionForNonEditableView(),CtsAccessibilityServiceTestCases,,,,,,,,,,
,3.2.3.5,C-15-1,,android.accessibilityservice.cts.AccessibilitySettingsTest,testAccessibilitySettingsIntentHandled(),CtsAccessibilityServiceTestCases,,,,,,,,,,
,3.2.3.5,C-15-1,,android.accessibilityservice.cts.AccessibilityGlobalActionsTest,testPerformActionScreenshot(),CtsAccessibilityServiceTestCases,,,,,,,,,,
,3.2.3.5,C-15-1,,android.accessibilityservice.cts.MagnificationGestureHandlerTest,testPanning(),CtsAccessibilityServiceTestCases,,,,,,,,,,
,9.11.3,C-0-1,,android.app.cts.DialogTest,setup(),CtsAppTestCases,,,,,,,,,,
,9.16,C-1-4,,android.app.cts.DialogTest,testSetCancelMessage(),CtsAppTestCases,,,,,,,,,,
,9.16,C-1-5,,android.graphics.cts.VulkanFeaturesTest,testVulkan1_1Requirements(),,,,,,,,,,,
,9.16,C-1-5,,android.graphics.cts.LinearGradientTest,testVulkan1_1Requirements(),,,,,,,,,,,
,9.16,C-1-5,,android.graphics.cts.PointFTest,testVulkan1_1Requirements(),,,,,,,,,,,
