"Section"	"section_id"	"req_id"	"Test Availability"	"class_def"	"method"	"module"	"method_text"	"full_key"	"requirement"	"key_as_number"	"search_terms"	"manual_search_terms"	"not_search_terms"	"not_files"	"matched_terms"	"search_roots"	"qualified_method"	"max_matches"	"file_name"	"matched_files"	"methods_string"	"urls"	"protected"	"Area"	"Shortened"	"Test Level"
"204:632149) 7.4.5.3  . Captive Portals"	"7.4.5.3"	"C-1-1"	""	"android.net.wifi.cts.WifiManagerTest"	"testNetworkSettingsPermission"	"CtsWifiTestCases"	""	"7.4.5.3/C-1-1"	"""C-1-1] MUST provide a captive portal application to handle the intent ACTION_CAPTIVE_PORTAL_SIGN_IN and display the captive portal login page, by sending that intent, on call to the System API ConnectivityManager#startCaptivePortalApp(Network, Bundle). """	""	"ACTION_CAPTIVE_PORTAL_SIGN_IN"	""	""	""	"ACTION_CAPTIVE_PORTAL_SIGN_IN"	""	""	""	"/home/gpoor/cts-source/cts/tests/tests/wifi/src/android/net/wifi/cts/WifiManagerTest.java"	""	"public void testNetworkSettingsPermission() {         if (!WifiFeature.isWifiSupported(getContext())) {             // skip the test if WiFi is not supported             return;         }         final PackageManager pm = getContext().getPackageManager();          final ArraySet<String> allowedPackages = new ArraySet();         final ArraySet<Integer> allowedUIDs = new ArraySet();         // explicitly add allowed UIDs         allowedUIDs.add(Process.SYSTEM_UID);         allowedUIDs.add(Process.SHELL_UID);         allowedUIDs.add(Process.PHONE_UID);         allowedUIDs.add(Process.NETWORK_STACK_UID);         allowedUIDs.add(Process.NFC_UID);          // only quick settings is allowed to bind to the BIND_QUICK_SETTINGS_TILE permission, using         // this fact to determined allowed package name for sysui. This is a signature permission,         // so allow any package with this permission.         final List<PackageInfo> sysuiPackages = pm.getPackagesHoldingPermissions(new String[] {                 android.Manifest.permission.BIND_QUICK_SETTINGS_TILE         }, PackageManager.MATCH_UNINSTALLED_PACKAGES);         for (PackageInfo info : sysuiPackages) {             allowedPackages.add(info.packageName);         }          // the captive portal flow also currently holds the NETWORK_SETTINGS permission         final Intent intent = new Intent(ConnectivityManager.ACTION_CAPTIVE_PORTAL_SIGN_IN);         final ResolveInfo ri = pm.resolveActivity(intent, PackageManager.MATCH_DISABLED_COMPONENTS);         if (ri != null) {             allowedPackages.add(ri.activityInfo.packageName);         }          final List<PackageInfo> holding = pm.getPackagesHoldingPermissions(new String[] {                 android.Manifest.permission.NETWORK_SETTINGS         }, PackageManager.MATCH_UNINSTALLED_PACKAGES);         StringBuilder stringBuilder = new StringBuilder();         for (PackageInfo pi : holding) {             String packageName = pi.packageName;              // this is an explicitly allowed package             if (allowedPackages.contains(packageName)) continue;              // now check if the packages are from allowed UIDs             int uid = -1;             try {                 uid = pm.getPackageUidAsUser(packageName, UserHandle.USER_SYSTEM);             } catch (PackageManager.NameNotFoundException e) {                 continue;             }             if (!allowedUIDs.contains(uid)) {                 stringBuilder.append(""The NETWORK_SETTINGS permission must not be held by ""                     + packageName + "":"" + uid + "" and must be revoked for security reasons\n"");             }         }         if (stringBuilder.length() > 0) {             fail(stringBuilder.toString());         }     }      /**      * Verify that the {@link android.Manifest.permission#NETWORK_SETUP_WIZARD} permission is      * only held by the device setup wizard application.      * <p>      * Only the SetupWizard app should <em>ever</em> attempt to acquire this      * permission, since it would give those apps extremely broad access to connectivity      * functionality.  The permission is intended to be granted to only the device setup wizard.      */"	""	""	""	""	""
"204:632149) 7.4.5.3  . Captive Portals"	"7.4.5.3"	"C-1-1"	""	"android.net.wifi.cts.WifiManagerTest"	"testNetworkSettingsPermission"	"CtsWifiTestCases"	""	"7.4.5.3/C-1-1"	"""C-1-1] MUST provide a captive portal application to handle the intent ACTION_CAPTIVE_PORTAL_SIGN_IN and display the captive portal login page, by sending that intent, on call to the System API ConnectivityManager#startCaptivePortalApp(Network, Bundle). """	""	"ACTION_CAPTIVE_PORTAL_SIGN_IN"	""	""	""	"ACTION_CAPTIVE_PORTAL_SIGN_IN"	""	""	""	"/home/gpoor/cts-source/cts/tests/tests/wifi/src/android/net/wifi/cts/WifiManagerTest.java"	""	"public void testNetworkSettingsPermission() {         if (!WifiFeature.isWifiSupported(getContext())) {             // skip the test if WiFi is not supported             return;         }         final PackageManager pm = getContext().getPackageManager();          final ArraySet<String> allowedPackages = new ArraySet();         final ArraySet<Integer> allowedUIDs = new ArraySet();         // explicitly add allowed UIDs         allowedUIDs.add(Process.SYSTEM_UID);         allowedUIDs.add(Process.SHELL_UID);         allowedUIDs.add(Process.PHONE_UID);         allowedUIDs.add(Process.NETWORK_STACK_UID);         allowedUIDs.add(Process.NFC_UID);          // only quick settings is allowed to bind to the BIND_QUICK_SETTINGS_TILE permission, using         // this fact to determined allowed package name for sysui. This is a signature permission,         // so allow any package with this permission.         final List<PackageInfo> sysuiPackages = pm.getPackagesHoldingPermissions(new String[] {                 android.Manifest.permission.BIND_QUICK_SETTINGS_TILE         }, PackageManager.MATCH_UNINSTALLED_PACKAGES);         for (PackageInfo info : sysuiPackages) {             allowedPackages.add(info.packageName);         }          // the captive portal flow also currently holds the NETWORK_SETTINGS permission         final Intent intent = new Intent(ConnectivityManager.ACTION_CAPTIVE_PORTAL_SIGN_IN);         final ResolveInfo ri = pm.resolveActivity(intent, PackageManager.MATCH_DISABLED_COMPONENTS);         if (ri != null) {             allowedPackages.add(ri.activityInfo.packageName);         }          final List<PackageInfo> holding = pm.getPackagesHoldingPermissions(new String[] {                 android.Manifest.permission.NETWORK_SETTINGS         }, PackageManager.MATCH_UNINSTALLED_PACKAGES);         StringBuilder stringBuilder = new StringBuilder();         for (PackageInfo pi : holding) {             String packageName = pi.packageName;              // this is an explicitly allowed package             if (allowedPackages.contains(packageName)) continue;              // now check if the packages are from allowed UIDs             int uid = -1;             try {                 uid = pm.getPackageUidAsUser(packageName, UserHandle.USER_SYSTEM);             } catch (PackageManager.NameNotFoundException e) {                 continue;             }             if (!allowedUIDs.contains(uid)) {                 stringBuilder.append(""The NETWORK_SETTINGS permission must not be held by ""                     + packageName + "":"" + uid + "" and must be revoked for security reasons\n"");             }         }         if (stringBuilder.length() > 0) {             fail(stringBuilder.toString());         }     }      /**      * Verify that the {@link android.Manifest.permission#NETWORK_SETUP_WIZARD} permission is      * only held by the device setup wizard application.      * <p>      * Only the SetupWizard app should <em>ever</em> attempt to acquire this      * permission, since it would give those apps extremely broad access to connectivity      * functionality.  The permission is intended to be granted to only the device setup wizard.      */"	""	""	""	""	""
"204:632149) 7.4.5.3  . Captive Portals"	"7.4.5.3"	"C-1-2"	""	"android.net.wifi.cts.WifiManagerTest"	"testNetworkSettingsPermission"	"CtsWifiTestCases"	""	"7.4.5.3/C-1-2"	"""C-1-2] MUST perform detection of captive portals and support login through the captive portal application when the device is connected to any network type, including cellular/mobile network, WiFi, Ethernet or Bluetooth. """	""	"portal captive"	""	""	""	"portal"	""	""	""	"/home/gpoor/cts-source/cts/tests/tests/wifi/src/android/net/wifi/cts/WifiManagerTest.java"	""	"public void testNetworkSettingsPermission() {         if (!WifiFeature.isWifiSupported(getContext())) {             // skip the test if WiFi is not supported             return;         }         final PackageManager pm = getContext().getPackageManager();          final ArraySet<String> allowedPackages = new ArraySet();         final ArraySet<Integer> allowedUIDs = new ArraySet();         // explicitly add allowed UIDs         allowedUIDs.add(Process.SYSTEM_UID);         allowedUIDs.add(Process.SHELL_UID);         allowedUIDs.add(Process.PHONE_UID);         allowedUIDs.add(Process.NETWORK_STACK_UID);         allowedUIDs.add(Process.NFC_UID);          // only quick settings is allowed to bind to the BIND_QUICK_SETTINGS_TILE permission, using         // this fact to determined allowed package name for sysui. This is a signature permission,         // so allow any package with this permission.         final List<PackageInfo> sysuiPackages = pm.getPackagesHoldingPermissions(new String[] {                 android.Manifest.permission.BIND_QUICK_SETTINGS_TILE         }, PackageManager.MATCH_UNINSTALLED_PACKAGES);         for (PackageInfo info : sysuiPackages) {             allowedPackages.add(info.packageName);         }          // the captive portal flow also currently holds the NETWORK_SETTINGS permission         final Intent intent = new Intent(ConnectivityManager.ACTION_CAPTIVE_PORTAL_SIGN_IN);         final ResolveInfo ri = pm.resolveActivity(intent, PackageManager.MATCH_DISABLED_COMPONENTS);         if (ri != null) {             allowedPackages.add(ri.activityInfo.packageName);         }          final List<PackageInfo> holding = pm.getPackagesHoldingPermissions(new String[] {                 android.Manifest.permission.NETWORK_SETTINGS         }, PackageManager.MATCH_UNINSTALLED_PACKAGES);         StringBuilder stringBuilder = new StringBuilder();         for (PackageInfo pi : holding) {             String packageName = pi.packageName;              // this is an explicitly allowed package             if (allowedPackages.contains(packageName)) continue;              // now check if the packages are from allowed UIDs             int uid = -1;             try {                 uid = pm.getPackageUidAsUser(packageName, UserHandle.USER_SYSTEM);             } catch (PackageManager.NameNotFoundException e) {                 continue;             }             if (!allowedUIDs.contains(uid)) {                 stringBuilder.append(""The NETWORK_SETTINGS permission must not be held by ""                     + packageName + "":"" + uid + "" and must be revoked for security reasons\n"");             }         }         if (stringBuilder.length() > 0) {             fail(stringBuilder.toString());         }     }      /**      * Verify that the {@link android.Manifest.permission#NETWORK_SETUP_WIZARD} permission is      * only held by the device setup wizard application.      * <p>      * Only the SetupWizard app should <em>ever</em> attempt to acquire this      * permission, since it would give those apps extremely broad access to connectivity      * functionality.  The permission is intended to be granted to only the device setup wizard.      */"	""	""	""	""	""
"204:632149) 7.4.5.3  . Captive Portals"	"7.4.5.3"	"C-1-2"	""	"android.net.wifi.cts.WifiManagerTest"	"testNetworkSettingsPermission"	"CtsWifiTestCases"	""	"7.4.5.3/C-1-2"	"""C-1-2] MUST perform detection of captive portals and support login through the captive portal application when the device is connected to any network type, including cellular/mobile network, WiFi, Ethernet or Bluetooth. """	""	"portal captive"	""	""	""	"captive"	""	""	""	"/home/gpoor/cts-source/cts/tests/tests/wifi/src/android/net/wifi/cts/WifiManagerTest.java"	""	"public void testNetworkSettingsPermission() {         if (!WifiFeature.isWifiSupported(getContext())) {             // skip the test if WiFi is not supported             return;         }         final PackageManager pm = getContext().getPackageManager();          final ArraySet<String> allowedPackages = new ArraySet();         final ArraySet<Integer> allowedUIDs = new ArraySet();         // explicitly add allowed UIDs         allowedUIDs.add(Process.SYSTEM_UID);         allowedUIDs.add(Process.SHELL_UID);         allowedUIDs.add(Process.PHONE_UID);         allowedUIDs.add(Process.NETWORK_STACK_UID);         allowedUIDs.add(Process.NFC_UID);          // only quick settings is allowed to bind to the BIND_QUICK_SETTINGS_TILE permission, using         // this fact to determined allowed package name for sysui. This is a signature permission,         // so allow any package with this permission.         final List<PackageInfo> sysuiPackages = pm.getPackagesHoldingPermissions(new String[] {                 android.Manifest.permission.BIND_QUICK_SETTINGS_TILE         }, PackageManager.MATCH_UNINSTALLED_PACKAGES);         for (PackageInfo info : sysuiPackages) {             allowedPackages.add(info.packageName);         }          // the captive portal flow also currently holds the NETWORK_SETTINGS permission         final Intent intent = new Intent(ConnectivityManager.ACTION_CAPTIVE_PORTAL_SIGN_IN);         final ResolveInfo ri = pm.resolveActivity(intent, PackageManager.MATCH_DISABLED_COMPONENTS);         if (ri != null) {             allowedPackages.add(ri.activityInfo.packageName);         }          final List<PackageInfo> holding = pm.getPackagesHoldingPermissions(new String[] {                 android.Manifest.permission.NETWORK_SETTINGS         }, PackageManager.MATCH_UNINSTALLED_PACKAGES);         StringBuilder stringBuilder = new StringBuilder();         for (PackageInfo pi : holding) {             String packageName = pi.packageName;              // this is an explicitly allowed package             if (allowedPackages.contains(packageName)) continue;              // now check if the packages are from allowed UIDs             int uid = -1;             try {                 uid = pm.getPackageUidAsUser(packageName, UserHandle.USER_SYSTEM);             } catch (PackageManager.NameNotFoundException e) {                 continue;             }             if (!allowedUIDs.contains(uid)) {                 stringBuilder.append(""The NETWORK_SETTINGS permission must not be held by ""                     + packageName + "":"" + uid + "" and must be revoked for security reasons\n"");             }         }         if (stringBuilder.length() > 0) {             fail(stringBuilder.toString());         }     }      /**      * Verify that the {@link android.Manifest.permission#NETWORK_SETUP_WIZARD} permission is      * only held by the device setup wizard application.      * <p>      * Only the SetupWizard app should <em>ever</em> attempt to acquire this      * permission, since it would give those apps extremely broad access to connectivity      * functionality.  The permission is intended to be granted to only the device setup wizard.      */"	""	""	""	""	""
"204:632149) 7.4.5.3  . Captive Portals"	"7.4.5.3"	"C-1-2"	""	"android.net.cts.NetworkInfo_DetailedStateTest"	"testValues"	""	""	"7.4.5.3/C-1-2"	"""C-1-2] MUST perform detection of captive portals and support login through the captive portal application when the device is connected to any network type, including cellular/mobile network, WiFi, Ethernet or Bluetooth. """	""	"portal captive"	""	""	""	"portal"	""	""	""	"/home/gpoor/cts-source/cts/tests/tests/net/src/android/net/cts/NetworkInfo_DetailedStateTest.java"	""	"public void testValues() {         DetailedState[] expected = DetailedState.values();         assertEquals(13, expected.length);         assertEquals(DetailedState.IDLE, expected[0]);         assertEquals(DetailedState.SCANNING, expected[1]);         assertEquals(DetailedState.CONNECTING, expected[2]);         assertEquals(DetailedState.AUTHENTICATING, expected[3]);         assertEquals(DetailedState.OBTAINING_IPADDR, expected[4]);         assertEquals(DetailedState.CONNECTED, expected[5]);         assertEquals(DetailedState.SUSPENDED, expected[6]);         assertEquals(DetailedState.DISCONNECTING, expected[7]);         assertEquals(DetailedState.DISCONNECTED, expected[8]);         assertEquals(DetailedState.FAILED, expected[9]);         assertEquals(DetailedState.BLOCKED, expected[10]);         assertEquals(DetailedState.VERIFYING_POOR_LINK, expected[11]);         assertEquals(DetailedState.CAPTIVE_PORTAL_CHECK, expected[12]);     }  }"	""	""	""	""	""
"204:632149) 7.4.5.3  . Captive Portals"	"7.4.5.3"	"C-1-2"	""	"android.net.cts.NetworkInfo_DetailedStateTest"	"testValues"	""	""	"7.4.5.3/C-1-2"	"""C-1-2] MUST perform detection of captive portals and support login through the captive portal application when the device is connected to any network type, including cellular/mobile network, WiFi, Ethernet or Bluetooth. """	""	"portal captive"	""	""	""	"captive"	""	""	""	"/home/gpoor/cts-source/cts/tests/tests/net/src/android/net/cts/NetworkInfo_DetailedStateTest.java"	""	"public void testValues() {         DetailedState[] expected = DetailedState.values();         assertEquals(13, expected.length);         assertEquals(DetailedState.IDLE, expected[0]);         assertEquals(DetailedState.SCANNING, expected[1]);         assertEquals(DetailedState.CONNECTING, expected[2]);         assertEquals(DetailedState.AUTHENTICATING, expected[3]);         assertEquals(DetailedState.OBTAINING_IPADDR, expected[4]);         assertEquals(DetailedState.CONNECTED, expected[5]);         assertEquals(DetailedState.SUSPENDED, expected[6]);         assertEquals(DetailedState.DISCONNECTING, expected[7]);         assertEquals(DetailedState.DISCONNECTED, expected[8]);         assertEquals(DetailedState.FAILED, expected[9]);         assertEquals(DetailedState.BLOCKED, expected[10]);         assertEquals(DetailedState.VERIFYING_POOR_LINK, expected[11]);         assertEquals(DetailedState.CAPTIVE_PORTAL_CHECK, expected[12]);     }  }"	""	""	""	""	""
"204:632149) 7.4.5.3  . Captive Portals"	"7.4.5.3"	"C-1-2"	""	"android.net.wifi.cts.WifiManagerTest"	"testNetworkSettingsPermission"	"CtsWifiTestCases"	""	"7.4.5.3/C-1-2"	"""C-1-2] MUST perform detection of captive portals and support login through the captive portal application when the device is connected to any network type, including cellular/mobile network, WiFi, Ethernet or Bluetooth. """	""	"portal captive"	""	""	""	"portal"	""	""	""	"/home/gpoor/cts-source/cts/tests/tests/wifi/src/android/net/wifi/cts/WifiManagerTest.java"	""	"public void testNetworkSettingsPermission() {         if (!WifiFeature.isWifiSupported(getContext())) {             // skip the test if WiFi is not supported             return;         }         final PackageManager pm = getContext().getPackageManager();          final ArraySet<String> allowedPackages = new ArraySet();         final ArraySet<Integer> allowedUIDs = new ArraySet();         // explicitly add allowed UIDs         allowedUIDs.add(Process.SYSTEM_UID);         allowedUIDs.add(Process.SHELL_UID);         allowedUIDs.add(Process.PHONE_UID);         allowedUIDs.add(Process.NETWORK_STACK_UID);         allowedUIDs.add(Process.NFC_UID);          // only quick settings is allowed to bind to the BIND_QUICK_SETTINGS_TILE permission, using         // this fact to determined allowed package name for sysui. This is a signature permission,         // so allow any package with this permission.         final List<PackageInfo> sysuiPackages = pm.getPackagesHoldingPermissions(new String[] {                 android.Manifest.permission.BIND_QUICK_SETTINGS_TILE         }, PackageManager.MATCH_UNINSTALLED_PACKAGES);         for (PackageInfo info : sysuiPackages) {             allowedPackages.add(info.packageName);         }          // the captive portal flow also currently holds the NETWORK_SETTINGS permission         final Intent intent = new Intent(ConnectivityManager.ACTION_CAPTIVE_PORTAL_SIGN_IN);         final ResolveInfo ri = pm.resolveActivity(intent, PackageManager.MATCH_DISABLED_COMPONENTS);         if (ri != null) {             allowedPackages.add(ri.activityInfo.packageName);         }          final List<PackageInfo> holding = pm.getPackagesHoldingPermissions(new String[] {                 android.Manifest.permission.NETWORK_SETTINGS         }, PackageManager.MATCH_UNINSTALLED_PACKAGES);         StringBuilder stringBuilder = new StringBuilder();         for (PackageInfo pi : holding) {             String packageName = pi.packageName;              // this is an explicitly allowed package             if (allowedPackages.contains(packageName)) continue;              // now check if the packages are from allowed UIDs             int uid = -1;             try {                 uid = pm.getPackageUidAsUser(packageName, UserHandle.USER_SYSTEM);             } catch (PackageManager.NameNotFoundException e) {                 continue;             }             if (!allowedUIDs.contains(uid)) {                 stringBuilder.append(""The NETWORK_SETTINGS permission must not be held by ""                     + packageName + "":"" + uid + "" and must be revoked for security reasons\n"");             }         }         if (stringBuilder.length() > 0) {             fail(stringBuilder.toString());         }     }      /**      * Verify that the {@link android.Manifest.permission#NETWORK_SETUP_WIZARD} permission is      * only held by the device setup wizard application.      * <p>      * Only the SetupWizard app should <em>ever</em> attempt to acquire this      * permission, since it would give those apps extremely broad access to connectivity      * functionality.  The permission is intended to be granted to only the device setup wizard.      */"	""	""	""	""	""
"204:632149) 7.4.5.3  . Captive Portals"	"7.4.5.3"	"C-1-2"	""	"android.net.wifi.cts.WifiManagerTest"	"testNetworkSettingsPermission"	"CtsWifiTestCases"	""	"7.4.5.3/C-1-2"	"""C-1-2] MUST perform detection of captive portals and support login through the captive portal application when the device is connected to any network type, including cellular/mobile network, WiFi, Ethernet or Bluetooth. """	""	"portal captive"	""	""	""	"captive"	""	""	""	"/home/gpoor/cts-source/cts/tests/tests/wifi/src/android/net/wifi/cts/WifiManagerTest.java"	""	"public void testNetworkSettingsPermission() {         if (!WifiFeature.isWifiSupported(getContext())) {             // skip the test if WiFi is not supported             return;         }         final PackageManager pm = getContext().getPackageManager();          final ArraySet<String> allowedPackages = new ArraySet();         final ArraySet<Integer> allowedUIDs = new ArraySet();         // explicitly add allowed UIDs         allowedUIDs.add(Process.SYSTEM_UID);         allowedUIDs.add(Process.SHELL_UID);         allowedUIDs.add(Process.PHONE_UID);         allowedUIDs.add(Process.NETWORK_STACK_UID);         allowedUIDs.add(Process.NFC_UID);          // only quick settings is allowed to bind to the BIND_QUICK_SETTINGS_TILE permission, using         // this fact to determined allowed package name for sysui. This is a signature permission,         // so allow any package with this permission.         final List<PackageInfo> sysuiPackages = pm.getPackagesHoldingPermissions(new String[] {                 android.Manifest.permission.BIND_QUICK_SETTINGS_TILE         }, PackageManager.MATCH_UNINSTALLED_PACKAGES);         for (PackageInfo info : sysuiPackages) {             allowedPackages.add(info.packageName);         }          // the captive portal flow also currently holds the NETWORK_SETTINGS permission         final Intent intent = new Intent(ConnectivityManager.ACTION_CAPTIVE_PORTAL_SIGN_IN);         final ResolveInfo ri = pm.resolveActivity(intent, PackageManager.MATCH_DISABLED_COMPONENTS);         if (ri != null) {             allowedPackages.add(ri.activityInfo.packageName);         }          final List<PackageInfo> holding = pm.getPackagesHoldingPermissions(new String[] {                 android.Manifest.permission.NETWORK_SETTINGS         }, PackageManager.MATCH_UNINSTALLED_PACKAGES);         StringBuilder stringBuilder = new StringBuilder();         for (PackageInfo pi : holding) {             String packageName = pi.packageName;              // this is an explicitly allowed package             if (allowedPackages.contains(packageName)) continue;              // now check if the packages are from allowed UIDs             int uid = -1;             try {                 uid = pm.getPackageUidAsUser(packageName, UserHandle.USER_SYSTEM);             } catch (PackageManager.NameNotFoundException e) {                 continue;             }             if (!allowedUIDs.contains(uid)) {                 stringBuilder.append(""The NETWORK_SETTINGS permission must not be held by ""                     + packageName + "":"" + uid + "" and must be revoked for security reasons\n"");             }         }         if (stringBuilder.length() > 0) {             fail(stringBuilder.toString());         }     }      /**      * Verify that the {@link android.Manifest.permission#NETWORK_SETUP_WIZARD} permission is      * only held by the device setup wizard application.      * <p>      * Only the SetupWizard app should <em>ever</em> attempt to acquire this      * permission, since it would give those apps extremely broad access to connectivity      * functionality.  The permission is intended to be granted to only the device setup wizard.      */"	""	""	""	""	""
"204:632149) 7.4.5.3  . Captive Portals"	"7.4.5.3"	"C-1-2"	""	"android.net.cts.NetworkInfo_DetailedStateTest"	"testValues"	""	""	"7.4.5.3/C-1-2"	"""C-1-2] MUST perform detection of captive portals and support login through the captive portal application when the device is connected to any network type, including cellular/mobile network, WiFi, Ethernet or Bluetooth. """	""	"portal captive"	""	""	""	"portal"	""	""	""	"/home/gpoor/cts-source/cts/tests/tests/net/src/android/net/cts/NetworkInfo_DetailedStateTest.java"	""	"public void testValues() {         DetailedState[] expected = DetailedState.values();         assertEquals(13, expected.length);         assertEquals(DetailedState.IDLE, expected[0]);         assertEquals(DetailedState.SCANNING, expected[1]);         assertEquals(DetailedState.CONNECTING, expected[2]);         assertEquals(DetailedState.AUTHENTICATING, expected[3]);         assertEquals(DetailedState.OBTAINING_IPADDR, expected[4]);         assertEquals(DetailedState.CONNECTED, expected[5]);         assertEquals(DetailedState.SUSPENDED, expected[6]);         assertEquals(DetailedState.DISCONNECTING, expected[7]);         assertEquals(DetailedState.DISCONNECTED, expected[8]);         assertEquals(DetailedState.FAILED, expected[9]);         assertEquals(DetailedState.BLOCKED, expected[10]);         assertEquals(DetailedState.VERIFYING_POOR_LINK, expected[11]);         assertEquals(DetailedState.CAPTIVE_PORTAL_CHECK, expected[12]);     }  }"	""	""	""	""	""
"204:632149) 7.4.5.3  . Captive Portals"	"7.4.5.3"	"C-1-2"	""	"android.net.cts.NetworkInfo_DetailedStateTest"	"testValues"	""	""	"7.4.5.3/C-1-2"	"""C-1-2] MUST perform detection of captive portals and support login through the captive portal application when the device is connected to any network type, including cellular/mobile network, WiFi, Ethernet or Bluetooth. """	""	"portal captive"	""	""	""	"captive"	""	""	""	"/home/gpoor/cts-source/cts/tests/tests/net/src/android/net/cts/NetworkInfo_DetailedStateTest.java"	""	"public void testValues() {         DetailedState[] expected = DetailedState.values();         assertEquals(13, expected.length);         assertEquals(DetailedState.IDLE, expected[0]);         assertEquals(DetailedState.SCANNING, expected[1]);         assertEquals(DetailedState.CONNECTING, expected[2]);         assertEquals(DetailedState.AUTHENTICATING, expected[3]);         assertEquals(DetailedState.OBTAINING_IPADDR, expected[4]);         assertEquals(DetailedState.CONNECTED, expected[5]);         assertEquals(DetailedState.SUSPENDED, expected[6]);         assertEquals(DetailedState.DISCONNECTING, expected[7]);         assertEquals(DetailedState.DISCONNECTED, expected[8]);         assertEquals(DetailedState.FAILED, expected[9]);         assertEquals(DetailedState.BLOCKED, expected[10]);         assertEquals(DetailedState.VERIFYING_POOR_LINK, expected[11]);         assertEquals(DetailedState.CAPTIVE_PORTAL_CHECK, expected[12]);     }  }"	""	""	""	""	""
