"Section"	"section_id"	"req_id"	"Test Availability"	"class_def"	"method"	"module"	"method_text"	"full_key"	"requirement"	"key_as_number"	"search_terms"	"manual_search_terms"	"not_search_terms"	"not_files"	"matched_terms"	"search_roots"	"qualified_method"	"max_matches"	"file_name"	"matched_files"	"methods_string"	"urls"	"protected"	"Area"	"Shortened"	"Test Level"
"274:790271) 9.16  . Application Data Migration"	"9.16"	"C-1-4"	""	"android.content.cts.ImageCaptureUriExtraToClipDataTest"	"testUriExtraOutputMigratedToClipData_imageCaptureIntent"	"CtsContentTestCases"	""	"9.16/C-1-4"	"""C-1-4] MUST only migrate application data to the same application on the target device, with the same package name AND signing certificate. """	""	"migrate"	""	""	""	"migrate"	""	""	""	"/home/gpoor/cts-source/cts/tests/tests/content/src/android/content/cts/ImageCaptureUriExtraToClipDataTest.java"	""	"public void testUriExtraOutputMigratedToClipData_imageCaptureIntent() {         startActivityWithAction(MediaStore.ACTION_IMAGE_CAPTURE);         waitForFileReady();         assertFileContents();     }"	""	""	""	""	""
"274:790271) 9.16  . Application Data Migration"	"9.16"	"C-1-4"	""	"android.content.cts.ImageCaptureUriExtraToClipDataTest"	"testUriExtraOutputMigratedToClipData_imageCaptureSecureIntent"	"CtsContentTestCases"	""	"9.16/C-1-4"	"""C-1-4] MUST only migrate application data to the same application on the target device, with the same package name AND signing certificate. """	""	"migrate"	""	""	""	"migrate"	""	""	""	"/home/gpoor/cts-source/cts/tests/tests/content/src/android/content/cts/ImageCaptureUriExtraToClipDataTest.java"	""	"public void testUriExtraOutputMigratedToClipData_imageCaptureSecureIntent() {         startActivityWithAction(MediaStore.ACTION_IMAGE_CAPTURE_SECURE);         waitForFileReady();         assertFileContents();     }"	""	""	""	""	""
"274:790271) 9.16  . Application Data Migration"	"9.16"	"C-1-4"	""	"android.content.cts.ImageCaptureUriExtraToClipDataTest"	"testUriExtraOutputMigratedToClipData_videoCaptureIntent"	"CtsContentTestCases"	""	"9.16/C-1-4"	"""C-1-4] MUST only migrate application data to the same application on the target device, with the same package name AND signing certificate. """	""	"migrate"	""	""	""	"migrate"	""	""	""	""	""	"public void testUriExtraOutputMigratedToClipData_videoCaptureIntent() {         startActivityWithAction(MediaStore.ACTION_VIDEO_CAPTURE);         waitForFileReady();         assertFileContents();     }      private void startActivityWithAction(String action) {         Intent intent = new Intent(action);         intent.setComponent(new ComponentName(""android.content.cts"",                         ""android.content.cts.ImageCaptureActivity""));         intent.putExtra(MediaStore.EXTRA_OUTPUT, Uri.fromFile(mTestFile));         intent.setFlags(Intent.FLAG_ACTIVITY_NEW_TASK);         getContext().startActivity(intent);     }      private void waitForFileReady() {         try {             assertTrue(mFileReadySemaphore.tryAcquire(5, TimeUnit.SECONDS));         } catch (InterruptedException e) {             fail(e.toString());         }     }      private void assertFileContents() {         char[] buffer = new char[TEST_INPUT.length()];         try {             FileReader reader = new FileReader(mTestFile);             reader.read(buffer);             reader.close();         } catch (IOException e) {             // Problem             fail(e.toString());         }         String fileContents = new String(buffer);         assertEquals(TEST_INPUT, fileContents);     } }"	""	""	""	""	""
"274:790271) 9.16  . Application Data Migration"	"9.16"	"C-1-4"	""	"android.app.cts.WallpaperManagerTest"	"invokeOnColorsChangedListenerTest_systemOnly"	"CtsAndroidAppTestCases"	""	"9.16/C-1-4"	"""C-1-4] MUST only migrate application data to the same application on the target device, with the same package name AND signing certificate. """	""	"migrate"	""	""	""	"migrate"	""	""	""	"/home/gpoor/cts-source/cts/tests/app/src/android/app/cts/WallpaperManagerTest.java"	""	"public void invokeOnColorsChangedListenerTest_systemOnly() {         int both = WallpaperManager.FLAG_LOCK | WallpaperManager.FLAG_SYSTEM;         // Expect both since the first step is to migrate the current wallpaper         // to the lock screen.         verifyColorListenerInvoked(WallpaperManager.FLAG_SYSTEM, both);     }"	""	""	""	""	""
"274:790271) 9.16  . Application Data Migration"	"9.16"	"C-1-4"	""	"android.content.cts.ContextTest"	"testMoveSharedPreferencesFrom"	"CtsContentTestCases"	""	"9.16/C-1-4"	"""C-1-4] MUST only migrate application data to the same application on the target device, with the same package name AND signing certificate. """	""	"migrate"	""	""	""	"migrate"	""	""	""	"/home/gpoor/cts-source/cts/tests/tests/content/src/android/content/cts/ContextTest.java"	""	"public void testMoveSharedPreferencesFrom() throws Exception {         final Context deviceContext = mContext.createDeviceProtectedStorageContext();          mContext.getSharedPreferences(""test"", Context.MODE_PRIVATE).edit().putInt(""answer"", 42)                 .commit();          // Verify that we can migrate         assertTrue(deviceContext.moveSharedPreferencesFrom(mContext, ""test""));         assertEquals(0, mContext.getSharedPreferences(""test"", Context.MODE_PRIVATE)                 .getInt(""answer"", 0));         assertEquals(42, deviceContext.getSharedPreferences(""test"", Context.MODE_PRIVATE)                 .getInt(""answer"", 0));          // Trying to migrate again when already done is a no-op         assertTrue(deviceContext.moveSharedPreferencesFrom(mContext, ""test""));         assertEquals(0, mContext.getSharedPreferences(""test"", Context.MODE_PRIVATE)                 .getInt(""answer"", 0));         assertEquals(42, deviceContext.getSharedPreferences(""test"", Context.MODE_PRIVATE)                 .getInt(""answer"", 0));          // Add a new value and verify that we can migrate back         deviceContext.getSharedPreferences(""test"", Context.MODE_PRIVATE).edit()                 .putInt(""question"", 24).commit();          assertTrue(mContext.moveSharedPreferencesFrom(deviceContext, ""test""));         assertEquals(42, mContext.getSharedPreferences(""test"", Context.MODE_PRIVATE)                 .getInt(""answer"", 0));         assertEquals(24, mContext.getSharedPreferences(""test"", Context.MODE_PRIVATE)                 .getInt(""question"", 0));         assertEquals(0, deviceContext.getSharedPreferences(""test"", Context.MODE_PRIVATE)                 .getInt(""answer"", 0));         assertEquals(0, deviceContext.getSharedPreferences(""test"", Context.MODE_PRIVATE)                 .getInt(""question"", 0));     }"	""	""	""	""	""
"274:790271) 9.16  . Application Data Migration"	"9.16"	"C-1-4"	""	"android.content.cts.ContextTest"	"testMoveDatabaseFrom"	"CtsContentTestCases"	""	"9.16/C-1-4"	"""C-1-4] MUST only migrate application data to the same application on the target device, with the same package name AND signing certificate. """	""	"migrate"	""	""	""	"migrate"	""	""	""	"/home/gpoor/cts-source/cts/tests/tests/content/src/android/content/cts/ContextTest.java"	""	"public void testMoveDatabaseFrom() throws Exception {         final Context deviceContext = mContext.createDeviceProtectedStorageContext();          SQLiteDatabase db = mContext.openOrCreateDatabase(""test.db"",                 Context.MODE_PRIVATE | Context.MODE_ENABLE_WRITE_AHEAD_LOGGING, null);         db.execSQL(""CREATE TABLE list(item TEXT);"");         db.execSQL(""INSERT INTO list VALUES ('cat')"");         db.execSQL(""INSERT INTO list VALUES ('dog')"");         db.close();          // Verify that we can migrate         assertTrue(deviceContext.moveDatabaseFrom(mContext, ""test.db""));         db = deviceContext.openOrCreateDatabase(""test.db"",                 Context.MODE_PRIVATE | Context.MODE_ENABLE_WRITE_AHEAD_LOGGING, null);         Cursor c = db.query(""list"", null, null, null, null, null, null);         assertEquals(2, c.getCount());         assertTrue(c.moveToFirst());         assertEquals(""cat"", c.getString(0));         assertTrue(c.moveToNext());         assertEquals(""dog"", c.getString(0));         c.close();         db.execSQL(""INSERT INTO list VALUES ('mouse')"");         db.close();          // Trying to migrate again when already done is a no-op         assertTrue(deviceContext.moveDatabaseFrom(mContext, ""test.db""));          // Verify that we can migrate back         assertTrue(mContext.moveDatabaseFrom(deviceContext, ""test.db""));         db = mContext.openOrCreateDatabase(""test.db"",                 Context.MODE_PRIVATE | Context.MODE_ENABLE_WRITE_AHEAD_LOGGING, null);         c = db.query(""list"", null, null, null, null, null, null);         assertEquals(3, c.getCount());         assertTrue(c.moveToFirst());         assertEquals(""cat"", c.getString(0));         assertTrue(c.moveToNext());         assertEquals(""dog"", c.getString(0));         assertTrue(c.moveToNext());         assertEquals(""mouse"", c.getString(0));         c.close();         db.close();     }"	""	""	""	""	""
"274:790271) 9.16  . Application Data Migration"	"9.16"	"C-1-4"	""	"android.content.cts.ReadableUriExtraToClipDataTest"	"testUriExtraStreamMigratedToClipData_sendIntent"	"CtsContentTestCases"	""	"9.16/C-1-4"	"""C-1-4] MUST only migrate application data to the same application on the target device, with the same package name AND signing certificate. """	""	"migrate"	""	""	""	"migrate"	""	""	""	"/home/gpoor/cts-source/cts/tests/tests/content/src/android/content/cts/ReadableUriExtraToClipDataTest.java"	""	"public void testUriExtraStreamMigratedToClipData_sendIntent() {         Intent intent = new Intent(Intent.ACTION_SEND);         intent.setComponent(new ComponentName(getContext(), ReadableFileReceiverActivity.class));         intent.putExtra(Intent.EXTRA_STREAM, mTestFileUris.get(0));         intent.setType(""*/*"");         intent.setFlags(Intent.FLAG_ACTIVITY_NEW_TASK);          getContext().startActivity(intent);          waitForConfirmationReadSuccess();     }"	""	""	""	""	""
"274:790271) 9.16  . Application Data Migration"	"9.16"	"C-1-4"	""	"android.content.cts.ReadableUriExtraToClipDataTest"	"testUriExtraStreamMigratedToClipData_sendMultipleIntent"	"CtsContentTestCases"	""	"9.16/C-1-4"	"""C-1-4] MUST only migrate application data to the same application on the target device, with the same package name AND signing certificate. """	""	"migrate"	""	""	""	"migrate"	""	""	""	"/home/gpoor/cts-source/cts/tests/tests/content/src/android/content/cts/ReadableUriExtraToClipDataTest.java"	""	"public void testUriExtraStreamMigratedToClipData_sendMultipleIntent() {         Intent intent = new Intent(Intent.ACTION_SEND_MULTIPLE);         intent.setComponent(new ComponentName(getContext(), ReadableFileReceiverActivity.class));         intent.putParcelableArrayListExtra(Intent.EXTRA_STREAM, mTestFileUris);         intent.setType(""*/*"");         intent.setFlags(Intent.FLAG_ACTIVITY_NEW_TASK);          getContext().startActivity(intent);          waitForConfirmationReadSuccess();     }      private void writeTestInputToFile(File file) {         try {             FileWriter writer = new FileWriter(file);             writer.write(TEST_INPUT);             writer.flush();             writer.close();         } catch (IOException e) {             fail(e.toString());             return;         }     }      private void waitForConfirmationReadSuccess() {         try {             assertTrue(mReadSuccessSemaphore.tryAcquire(5, TimeUnit.SECONDS));         } catch (InterruptedException e) {             fail(e.toString());         }     } }"	""	""	""	""	""
"274:790271) 9.16  . Application Data Migration"	"9.16"	"C-1-4"	""	"android.media.cts.AudioManagerTest"	"isMicrophoneMute"	"CtsMediaTestCases"	""	"9.16/C-1-4"	"""C-1-4] MUST only migrate application data to the same application on the target device, with the same package name AND signing certificate. """	""	"migrate"	""	""	""	"migrate"	""	""	""	"/home/gpoor/cts-source/cts/tests/tests/media/src/android/media/cts/AudioManagerTest.java"	""	"public void test/*  *.  */  package android.media.cts;  import static android.media.AudioManager.ADJUST_LOWER; import static android.media.AudioManager.ADJUST_RAISE; import static android.media.AudioManager.ADJUST_SAME; import static android.media.AudioManager.MODE_IN_CALL; import static android.media.AudioManager.MODE_IN_COMMUNICATION; import static android.media.AudioManager.MODE_NORMAL; import static android.media.AudioManager.MODE_RINGTONE; import static android.media.AudioManager.RINGER_MODE_NORMAL; import static android.media.AudioManager.RINGER_MODE_SILENT; import static android.media.AudioManager.RINGER_MODE_VIBRATE; import static android.media.AudioManager.STREAM_ACCESSIBILITY; import static android.media.AudioManager.STREAM_MUSIC; import static android.media.AudioManager.STREAM_RING; import static android.media.AudioManager.USE_DEFAULT_STREAM_TYPE; import static android.media.AudioManager.VIBRATE_SETTING_OFF; import static android.media.AudioManager.VIBRATE_SETTING_ON; import static android.media.AudioManager.VIBRATE_SETTING_ONLY_SILENT; import static android.media.AudioManager.VIBRATE_TYPE_NOTIFICATION; import static android.media.AudioManager.VIBRATE_TYPE_RINGER; import static android.provider.Settings.System.SOUND_EFFECTS_ENABLED;  import android.app.INotificationManager; import android.app.NotificationChannel; import android.app.NotificationManager; import android.content.BroadcastReceiver; import android.content.Context; import android.content.Intent; import android.content.IntentFilter; import android.content.pm.PackageManager; import android.content.res.Resources; import android.media.AudioAttributes; import android.media.AudioDeviceInfo; import android.media.AudioManager; import android.media.MediaPlayer; import android.media.MicrophoneInfo; import android.os.ServiceManager; import android.os.Vibrator; import android.platform.test.annotations.AppModeFull; import android.provider.Settings; import android.provider.Settings.System; import android.test.InstrumentationTestCase; import android.text.TextUtils; import android.util.Log; import android.view.SoundEffectConstants;  import com.android.compatibility.common.util.CddTest; import com.android.compatibility.common.util.MediaUtils; import com.android.internal.annotations.GuardedBy;  import java.util.Arrays; import java.util.HashMap; import java.util.List; import java.util.Map;  @NonMediaMainlineTest public class AudioManagerTest extends InstrumentationTestCase {     private final static String TAG = ""AudioManagerTest"";      private final static long ASYNC_TIMING_TOLERANCE_MS = 50;     private final static int MP3_TO_PLAY = R.raw.testmp3;     private final static long TIME_TO_PLAY = 2000;     private final static String APPOPS_OP_STR = ""android:write_settings"";     private AudioManager mAudioManager;     private NotificationManager mNm;     private boolean mHasVibrator;     private boolean mUseFixedVolume;     private boolean mIsTelevision;     private boolean mIsSingleVolume;     private boolean mSkipRingerTests;     // From N onwards, ringer mode adjustments that toggle DND are not allowed unless     // package has DND access. Many tests in this package toggle DND access in order     // to get device out of the DND state for the test to proceed correctly.     // But DND access is disabled completely on low ram devices,     // so completely skip those tests here.     // These tests are migrated to CTS verifier tests to ensure test coverage.     private Context mContext;     private int mOriginalRingerMode;     private Map<Integer, Integer> mOriginalStreamVolumes = new HashMap<>();     private NotificationManager.Policy mOriginalNotificationPolicy;     private int mOriginalZen;     private boolean mDoNotCheckUnmute;     private boolean mAppsBypassingDnd;      @Override     protected void setUp() throws Exception {         super.setUp();         mContext = getInstrumentation().getContext();         Utils.enableAppOps(mContext.getPackageName(), APPOPS_OP_STR, getInstrumentation());         mAudioManager = (AudioManager) mContext.getSystemService(Context.AUDIO_SERVICE);         Vibrator vibrator = (Vibrator) mContext.getSystemService(Context.VIBRATOR_SERVICE);         mNm = (NotificationManager) mContext.getSystemService(Context.NOTIFICATION_SERVICE);         mAppsBypassingDnd = NotificationManager.getService().areChannelsBypassingDnd();         mHasVibrator = (vibrator != null) && vibrator.hasVibrator();         mUseFixedVolume = mContext.getResources().getBoolean(                 Resources.getSystem().getIdentifier(""config_useFixedVolume"", ""bool"", ""android""));         PackageManager packageManager = mContext.getPackageManager();         mIsTelevision = packageManager != null                 && (packageManager.hasSystemFeature(PackageManager.FEATURE_LEANBACK)                         || packageManager.hasSystemFeature(PackageManager.FEATURE_TELEVISION));         mIsSingleVolume = mContext.getResources().getBoolean(                 Resources.getSystem().getIdentifier(""config_single_volume"", ""bool"", ""android""));         mSkipRingerTests = mUseFixedVolume || mIsTelevision || mIsSingleVolume;          // Store the original volumes that that they can be recovered in tearDown().         final int[] streamTypes = {             AudioManager.STREAM_VOICE_CALL,             AudioManager.STREAM_SYSTEM,             AudioManager.STREAM_RING,             AudioManager.STREAM_MUSIC,             AudioManager.STREAM_ALARM,             AudioManager.STREAM_NOTIFICATION,             AudioManager.STREAM_DTMF,             AudioManager.STREAM_ACCESSIBILITY,         };         mOriginalRingerMode = mAudioManager.getRingerMode();         for (int streamType : streamTypes) {             mOriginalStreamVolumes.put(streamType, mAudioManager.getStreamVolume(streamType));         }          try {             Utils.toggleNotificationPolicyAccess(                     mContext.getPackageName(), getInstrumentation(), true);             mOriginalNotificationPolicy = mNm.getNotificationPolicy();             mOriginalZen = mNm.getCurrentInterruptionFilter();         } finally {             setInterruptionFilter(NotificationManager.INTERRUPTION_FILTER_ALL);             Utils.toggleNotificationPolicyAccess(                     mContext.getPackageName(), getInstrumentation(), false);         }          // Check original mirchrophone mute/unmute status         mDoNotCheckUnmute = false;         if (mAudioManager.isMicrophoneMute()) {             mAudioManager.setMicrophoneMute(false);             if (mAudioManager.isMicrophoneMute()) {                 Log.w(TAG, ""Mic seems muted by hardware! Please unmute and rerrun the test."");                 mDoNotCheckUnmute = true;             }         }     }      @Override     protected void tearDown() throws Exception {         try {             Utils.toggleNotificationPolicyAccess(                     mContext.getPackageName(), getInstrumentation(), true);             mNm.setNotificationPolicy(mOriginalNotificationPolicy);             setInterruptionFilter(mOriginalZen);              // Recover the volume and the ringer mode that the test may have overwritten.             for (Map.Entry<Integer, Integer> e : mOriginalStreamVolumes.entrySet()) {                 mAudioManager.setStreamVolume(e.getKey(), e.getValue(),                                               AudioManager.FLAG_ALLOW_RINGER_MODES);             }             mAudioManager.setRingerMode(mOriginalRingerMode);         } finally {             Utils.toggleNotificationPolicyAccess(                     mContext.getPackageName(), getInstrumentation(), false);         }     }      @AppModeFull(reason = ""Instant apps cannot hold android.permission.MODIFY_AUDIO_SETTINGS"")"	""	""	""	""	""
"274:790271) 9.16  . Application Data Migration"	"9.16"	"C-1-4"	""	"android.hardware.camera2.cts.OfflineSessionTest"	"testInvalidOutput"	"CtsCameraTestCases"	""	"9.16/C-1-4"	"""C-1-4] MUST only migrate application data to the same application on the target device, with the same package name AND signing certificate. """	""	"migrate"	""	""	""	"migrate"	""	""	""	"/home/gpoor/cts-source/cts/tests/camera/src/android/hardware/camera2/cts/OfflineSessionTest.java"	""	"public void testInvalidOutput() throws Exception {         for (int i = 0; i < mCameraIdsUnderTest.length; i++) {             try {                 Log.i(TAG, ""Testing camera device "" + mCameraIdsUnderTest[i]);                  if (!mAllStaticInfo.get(mCameraIdsUnderTest[i]).isColorOutputSupported()) {                     Log.i(TAG, ""Camera "" + mCameraIdsUnderTest[i] +                             "" does not support color outputs, skipping"");                     continue;                 }                  if (!mAllStaticInfo.get(mCameraIdsUnderTest[i]).isOfflineProcessingSupported()) {                     Log.i(TAG, ""Camera "" + mCameraIdsUnderTest[i] +                             "" does not support offline processing, skipping"");                     continue;                 }                  openDevice(mCameraIdsUnderTest[i]);                  CaptureRequest.Builder previewRequest =                         mCamera.createCaptureRequest(CameraDevice.TEMPLATE_PREVIEW);                 CaptureRequest.Builder stillCaptureRequest =                         mCamera.createCaptureRequest(CameraDevice.TEMPLATE_STILL_CAPTURE);                 Size previewSize = mOrderedPreviewSizes.get(0);                 Size stillSize = mOrderedStillSizes.get(0);                 SimpleCaptureCallback resultListener = new SimpleCaptureCallback();                 SimpleImageReaderListener imageListener = new SimpleImageReaderListener();                  startPreview(previewRequest, previewSize, resultListener);                  CaptureResult result = resultListener.getCaptureResult(WAIT_FOR_FRAMES_TIMEOUT_MS);                  Long timestamp = result.get(CaptureResult.SENSOR_TIMESTAMP);                 assertNotNull(""Can't read a capture result timestamp"", timestamp);                  CaptureResult result2 = resultListener.getCaptureResult(WAIT_FOR_FRAMES_TIMEOUT_MS);                  Long timestamp2 = result2.get(CaptureResult.SENSOR_TIMESTAMP);                 assertNotNull(""Can't read a capture result 2 timestamp"", timestamp2);                  assertTrue(""Bad timestamps"", timestamp2 > timestamp);                  createImageReader(stillSize, ImageFormat.JPEG, MAX_READER_IMAGES, imageListener);                  BlockingOfflineSessionCallback offlineCb = new BlockingOfflineSessionCallback();                  try {                     ArrayList<Surface> offlineSurfaces = new ArrayList<Surface>();                     offlineSurfaces.add(mReaderSurface);                     mSession.switchToOffline(offlineSurfaces, new HandlerExecutor(mHandler),                             offlineCb);                     fail(""Offline session switch accepts unregistered output surface"");                 } catch (IllegalArgumentException e) {                     //Expected                 }                  if (mSession.supportsOfflineProcessing(mPreviewSurface)) {                     ArrayList<Surface> offlineSurfaces = new ArrayList<Surface>();                     offlineSurfaces.add(mPreviewSurface);                     mSession.switchToOffline(offlineSurfaces, new HandlerExecutor(mHandler),                             offlineCb);                     // We only have a single repeating request, in this case the camera                     // implementation should fail to find any capture requests that can                     // be migrated to offline mode and notify the failure accordingly.                     offlineCb.waitForState(BlockingOfflineSessionCallback.STATE_SWITCH_FAILED,                             WAIT_FOR_STATE_TIMEOUT_MS);                 } else {                     stopPreview();                 }                  closeImageReader();             } finally {                 closeDevice();             }         }     }      /**      * Test camera callback sequence during and after offline session switch.      *      * <p>Camera clients must receive respective capture results or failures for all      * non-offline outputs after the offline switch call returns.      * In case the switch was successful clients must be notified about the      * remaining offline requests via the registered offline callback.</p>      */"	""	""	""	""	""
