"Section"	"section_id"	"req_id"	"Test Availability"	"class_def"	"method"	"module"	"method_text"	"full_key"	"requirement"	"key_as_number"	"search_terms"	"manual_search_terms"	"not_search_terms"	"not_files"	"matched_terms"	"search_roots"	"qualified_method"	"max_matches"	"file_name"	"matched_files"	"methods_string"	"urls"	"protected"	"Area"	"Shortened"	"Test Level"
"174:551285) 7.3  . Sensors"	"7.3"	"C-1-6"	""	"android.database.cts.CursorWindowTest"	"testAccessDataValues"	"CtsDatabaseTestCases"	""	"7.3/C-1-6"	"""C-1-6] MUST report the event time in nanoseconds as defined in the Android SDK documentation, representing the time the event happened and synchronized with the SystemClock.elapsedRealtimeNano() clock.  | C-1-6] MUST set a non-zero resolution for all sensors, and report the value via the Sensor.getResolution() API method. Some sensor types are composite, meaning they can be derived from data provided by one or more other sensors. (Examples include the orientation sensor and the linear acceleration sensor.) Device implementations: SHOULD implement these sensor types, when they include the prerequisite physical sensors as described in sensor types. If device implementations include a composite sensor, they: """	""	"re_tag:(?<!/)C\-1\-6 7.3/C-1-6 7.3"	""	""	""	"7.3"	""	""	""	"/home/gpoor/cts-source/cts/tests/tests/database/src/android/database/cts/CursorWindowTest.java"	""	"public void testAccessDataValues() {         final long NUMBER_LONG_INTEGER = (long) 0xaabbccddffL;         final long NUMBER_INTEGER = (int) NUMBER_LONG_INTEGER;         final long NUMBER_SHORT = (short) NUMBER_INTEGER;         final float NUMBER_FLOAT_SCIENCE = 7.332952E11f;         final double NUMBER_DOUBLE_SCIENCE = 7.33295205887E11;         final String NUMBER_FLOAT_SCIENCE_STRING = ""7.332952E11"";         final String NUMBER_DOUBLE_SCIENCE_STRING = ""7.33295205887E11"";         final String NUMBER_FLOAT_SCIENCE_STRING2 = ""7.33295e+11"";          byte[] originalBlob = new byte[Byte.MAX_VALUE];         for (int i = 0; i < Byte.MAX_VALUE; i++) {             originalBlob[i] = (byte) i;         }          CursorWindow cursorWindow = new CursorWindow(true);         cursorWindow.setNumColumns(5);         cursorWindow.allocRow();          // Test putString, getString, getLong, getInt, isBlob         assertTrue(cursorWindow.putString(Long.toString(NUMBER_LONG_INTEGER), 0, 0));         assertEquals(Long.toString(NUMBER_LONG_INTEGER), cursorWindow.getString(0, 0));         assertEquals(NUMBER_LONG_INTEGER, cursorWindow.getLong(0, 0));         assertEquals(NUMBER_INTEGER, cursorWindow.getInt(0, 0));         assertEquals(NUMBER_SHORT, cursorWindow.getShort(0, 0));         // Converting of Float, there would be some little precision differences. So just compare         // first 6 digits.         assertEquals(NUMBER_FLOAT_SCIENCE_STRING.substring(0, 6), Float.toString(                 cursorWindow.getFloat(0, 0)).substring(0, 6));         assertEquals(NUMBER_DOUBLE_SCIENCE_STRING, Double.toString(cursorWindow.getDouble(0, 0)));         assertFalse(cursorWindow.isNull(0, 0));         assertFalse(cursorWindow.isBlob(0, 0));          // Test null String         assertTrue(cursorWindow.putString("""", 0, 0));         assertEquals("""", cursorWindow.getString(0, 0));         assertEquals(0, cursorWindow.getLong(0, 0));         assertEquals(0, cursorWindow.getInt(0, 0));         assertEquals(0, cursorWindow.getShort(0, 0));         assertEquals(0.0, cursorWindow.getDouble(0, 0), 0.0);         assertEquals(0.0f, cursorWindow.getFloat(0, 0), 0.0);         assertFalse(cursorWindow.isNull(0, 0));         assertFalse(cursorWindow.isBlob(0, 0));          // Test putNull, getString, getLong, getDouble, getBlob, getInd, getShort, getFloat,         // isBlob.         assertTrue(cursorWindow.putNull(0, 1));         assertNull(cursorWindow.getString(0, 1));         assertEquals(0, cursorWindow.getLong(0, 1));         assertEquals(0, cursorWindow.getInt(0, 1));         assertEquals(0, cursorWindow.getShort(0, 1));         assertEquals(0.0, cursorWindow.getDouble(0, 1), 0.0);         assertEquals(0.0f, cursorWindow.getFloat(0, 1), 0.0);         assertNull(cursorWindow.getBlob(0, 1));         assertTrue(cursorWindow.isNull(0, 1));         // If the field is null, isBlob will return true.         assertTrue(cursorWindow.isBlob(0, 1));          // Test putLong, getLong, getInt, getString , getShort, getFloat, getDouble, isBlob.         assertTrue(cursorWindow.putLong(NUMBER_LONG_INTEGER, 0, 2));         assertEquals(NUMBER_LONG_INTEGER, cursorWindow.getLong(0, 2));         assertEquals(NUMBER_INTEGER, cursorWindow.getInt(0, 2));         assertEquals(Long.toString(NUMBER_LONG_INTEGER), cursorWindow.getString(0, 2));         assertEquals(NUMBER_SHORT, cursorWindow.getShort(0, 2));         assertEquals(NUMBER_FLOAT_SCIENCE, cursorWindow.getFloat(0, 2), 0.0);         assertEquals(NUMBER_DOUBLE_SCIENCE, cursorWindow.getDouble(0, 2), 0.0);         try {             cursorWindow.getBlob(0, 2);             fail(""Can't get Blob from a Integer value."");         } catch (SQLiteException e) {             // expected         }         assertFalse(cursorWindow.isNull(0, 2));         assertFalse(cursorWindow.isBlob(0, 2));          // Test putDouble         assertTrue(cursorWindow.putDouble(NUMBER_DOUBLE_SCIENCE, 0, 3));         assertEquals(NUMBER_LONG_INTEGER, cursorWindow.getLong(0, 3));         assertEquals(NUMBER_INTEGER, cursorWindow.getInt(0, 3));         // Converting from Double to String, there would be some little precision differences. So         // Just compare first 6 digits.         assertEquals(NUMBER_FLOAT_SCIENCE_STRING2.substring(0, 6), cursorWindow.getString(0, 3)                 .substring(0, 6));         assertEquals(NUMBER_SHORT, cursorWindow.getShort(0, 3));         assertEquals(NUMBER_FLOAT_SCIENCE, cursorWindow.getFloat(0, 3), 0.0);         assertEquals(NUMBER_DOUBLE_SCIENCE, cursorWindow.getDouble(0, 3), 0.0);         try {             cursorWindow.getBlob(0, 3);             fail(""Can't get Blob from a Double value."");         } catch (SQLiteException e) {             // expected         }         assertFalse(cursorWindow.isNull(0, 3));         assertFalse(cursorWindow.isBlob(0, 3));          // Test putBlob         assertTrue(cursorWindow.putBlob(originalBlob, 0, 4));         byte[] targetBlob = cursorWindow.getBlob(0, 4);         assertTrue(Arrays.equals(originalBlob, targetBlob));         assertFalse(cursorWindow.isNull(0, 4));         // Test isBlob         assertTrue(cursorWindow.isBlob(0, 4));     }"	""	""	""	""	""
"174:551285) 7.3  . Sensors"	"7.3"	"C-1-6"	""	"android.location.cts.gnss.GnssPseudorangeVerificationTest"	"testPseudorangeValue"	"CtsLocationGnssTestCases"	""	"7.3/C-1-6"	"""C-1-6] MUST report the event time in nanoseconds as defined in the Android SDK documentation, representing the time the event happened and synchronized with the SystemClock.elapsedRealtimeNano() clock.  | C-1-6] MUST set a non-zero resolution for all sensors, and report the value via the Sensor.getResolution() API method. Some sensor types are composite, meaning they can be derived from data provided by one or more other sensors. (Examples include the orientation sensor and the linear acceleration sensor.) Device implementations: SHOULD implement these sensor types, when they include the prerequisite physical sensors as described in sensor types. If device implementations include a composite sensor, they: """	""	"re_tag:(?<!/)C\-1\-6 7.3/C-1-6 7.3"	""	""	""	"7.3"	""	""	""	"/home/gpoor/cts-source/cts/tests/location/location_gnss/src/android/location/cts/gnss/GnssPseudorangeVerificationTest.java"	""	"public void testPseudorangeValue() throws Exception {     // Checks if Gnss hardware feature is present, skips test (pass) if not     if (!TestMeasurementUtil.canTestRunOnCurrentDevice(Build.VERSION_CODES.N,           mTestLocationManager,           TAG)) {       return;     }      if (TestMeasurementUtil.isAutomotiveDevice(getContext())) {         Log.i(TAG, ""Test is being skipped because the system has the AUTOMOTIVE feature."");         return;     }      mLocationListener = new TestLocationListener(LOCATION_TO_COLLECT_COUNT);     mTestLocationManager.requestLocationUpdates(mLocationListener);      mMeasurementListener = new TestGnssMeasurementListener(TAG,                                                 MEASUREMENT_EVENTS_TO_COLLECT_COUNT, true);     mTestLocationManager.registerGnssMeasurementCallback(mMeasurementListener);      boolean success = mLocationListener.await();     success &= mMeasurementListener.await();     SoftAssert softAssert = new SoftAssert(TAG);     softAssert.assertTrue(         ""Time elapsed without getting enough location fixes.""             + "" Possibly, the test has been run deep indoors.""             + "" Consider retrying test outdoors."",         success);      Log.i(TAG, ""Location status received = "" + mLocationListener.isLocationReceived());      if (!mMeasurementListener.verifyStatus()) {       // If verifyStatus returns false, an assert exception happens and test fails.       return; // exit (with pass)     }      List<GnssMeasurementsEvent> events = mMeasurementListener.getEvents();     int eventCount = events.size();     Log.i(TAG, ""Number of GNSS measurement events received = "" + eventCount);     softAssert.assertTrue(         ""GnssMeasurementEvent count: expected > 0, received = "" + eventCount,         eventCount > 0);      boolean hasEventWithEnoughMeasurements = false;     // we received events, so perform a quick sanity check on mandatory fields     for (GnssMeasurementsEvent event : events) {       // Verify Gnss Event mandatory fields are in required ranges       assertNotNull(""GnssMeasurementEvent cannot be null."", event);        long timeInNs = event.getClock().getTimeNanos();       TestMeasurementUtil.assertGnssClockFields(event.getClock(), softAssert, timeInNs);        ArrayList<GnssMeasurement> filteredMeasurements = filterMeasurements(event.getMeasurements());       HashMap<Integer, ArrayList<GnssMeasurement>> measurementConstellationMap =           groupByConstellation(filteredMeasurements);       for (ArrayList<GnssMeasurement> measurements : measurementConstellationMap.values()) {         validatePseudorange(measurements, softAssert, timeInNs);       }        // we need at least 4 satellites to calculate the pseudorange       if(event.getMeasurements().size() >= MIN_SATELLITES_REQUIREMENT) {         hasEventWithEnoughMeasurements = true;       }     }      softAssert.assertTrue(         ""Should have at least one GnssMeasurementEvent with at least 4""             + ""GnssMeasurement. If failed, retry near window or outdoors?"",         hasEventWithEnoughMeasurements);      softAssert.assertAll();   }    private HashMap<Integer, ArrayList<GnssMeasurement>> groupByConstellation(       Collection<GnssMeasurement> measurements) {     HashMap<Integer, ArrayList<GnssMeasurement>> measurementConstellationMap = new HashMap<>();     for (GnssMeasurement measurement: measurements){       int constellationType = measurement.getConstellationType();       if (!measurementConstellationMap.containsKey(constellationType)) {         measurementConstellationMap.put(constellationType, new ArrayList<>());       }       measurementConstellationMap.get(constellationType).add(measurement);     }     return measurementConstellationMap;   }      private static ArrayList<GnssMeasurement> filterMeasurements(             Collection<GnssMeasurement> measurements) {         ArrayList<GnssMeasurement> filteredMeasurement = new ArrayList<>();         for (GnssMeasurement measurement : measurements) {             int constellationType = measurement.getConstellationType();             if ((measurement.getState() & GnssMeasurement.STATE_CODE_LOCK) == 0) {                 continue;             }             if (constellationType == GnssStatus.CONSTELLATION_GLONASS) {                 if ((measurement.getState()                         & (GnssMeasurement.STATE_GLO_TOD_DECODED                         | GnssMeasurement.STATE_GLO_TOD_KNOWN)) != 0) {                     filteredMeasurement.add(measurement);                 }             } else if ((measurement.getState() & (GnssMeasurement.STATE_TOW_DECODED                     | GnssMeasurement.STATE_TOW_KNOWN)) != 0) {                 filteredMeasurement.add(measurement);             }         }         return filteredMeasurement;     }    /**    * Uses the common reception time approach to calculate pseudorange time    * measurements reported by the receiver according to http://cdn.intechopen.com/pdfs-wm/27712.pdf.    */   private void validatePseudorange(Collection<GnssMeasurement> measurements,       SoftAssert softAssert, long timeInNs) {     long largestReceivedSvTimeNanosTod = 0;     // closest satellite has largest time (closest to now), as of nano secs of the day     // so the largestReceivedSvTimeNanosTod will be the svTime we got from one of the GPS/GLONASS sv     for(GnssMeasurement measurement : measurements) {       long receivedSvTimeNanosTod =  measurement.getReceivedSvTimeNanos()                                         % TimeUnit.DAYS.toNanos(1);       if (largestReceivedSvTimeNanosTod < receivedSvTimeNanosTod) {         largestReceivedSvTimeNanosTod = receivedSvTimeNanosTod;       }     }     for (GnssMeasurement measurement : measurements) {       double threshold = PSEUDORANGE_THRESHOLD_IN_SEC;       int constellationType = measurement.getConstellationType();       // BEIDOU and QZSS's Orbit are higher, so the value of ReceivedSvTimeNanos should be small       if (constellationType == GnssStatus.CONSTELLATION_BEIDOU           || constellationType == GnssStatus.CONSTELLATION_QZSS) {         threshold = PSEUDORANGE_THRESHOLD_BEIDOU_QZSS_IN_SEC;       }       double deltaiNanos = largestReceivedSvTimeNanosTod                           - (measurement.getReceivedSvTimeNanos() % TimeUnit.DAYS.toNanos(1));       double deltaiSeconds = deltaiNanos * SECONDS_PER_NANO;        softAssert.assertTrue(""deltaiSeconds in Seconds."",           timeInNs,           ""0.0 <= deltaiSeconds <= "" + String.valueOf(threshold),           String.valueOf(deltaiSeconds),           (deltaiSeconds >= 0.0 && deltaiSeconds <= threshold));     }   }      /*      * Use pseudorange calculation library to calculate position then compare to location from      * Location Manager.      */     @CddTest(requirement = ""7.3.3"")     @AppModeFull(reason = ""Flaky in instant mode"")     @RequiresDevice  // emulated devices do not support real measurements so far."	""	""	""	""	""
"174:551285) 7.3  . Sensors"	"7.3"	"C-1-6"	""	"android.hardware.cts.SensorSupportTest"	"testSupportsAccelerometer"	"CtsSensorTestCases"	""	"7.3/C-1-6"	"""C-1-6] MUST report the event time in nanoseconds as defined in the Android SDK documentation, representing the time the event happened and synchronized with the SystemClock.elapsedRealtimeNano() clock.  | C-1-6] MUST set a non-zero resolution for all sensors, and report the value via the Sensor.getResolution() API method. Some sensor types are composite, meaning they can be derived from data provided by one or more other sensors. (Examples include the orientation sensor and the linear acceleration sensor.) Device implementations: SHOULD implement these sensor types, when they include the prerequisite physical sensors as described in sensor types. If device implementations include a composite sensor, they: """	""	"re_tag:(?<!/)C\-1\-6 7.3/C-1-6 7.3"	""	""	""	"7.3"	""	""	""	"/home/gpoor/cts-source/cts/tests/sensor/src/android/hardware/cts/SensorSupportTest.java"	""	"public void testSupportsAccelerometer() {         checkHifiVrSensorSupport(Sensor.TYPE_ACCELEROMETER);     }      @CddTest(requirement=""7.3.9/C-2-2"")"	""	""	""	""	""
"174:551285) 7.3  . Sensors"	"7.3"	"C-1-6"	""	"android.hardware.cts.SensorSupportTest"	"testSupportsAccelerometerUncalibrated"	"CtsSensorTestCases"	""	"7.3/C-1-6"	"""C-1-6] MUST report the event time in nanoseconds as defined in the Android SDK documentation, representing the time the event happened and synchronized with the SystemClock.elapsedRealtimeNano() clock.  | C-1-6] MUST set a non-zero resolution for all sensors, and report the value via the Sensor.getResolution() API method. Some sensor types are composite, meaning they can be derived from data provided by one or more other sensors. (Examples include the orientation sensor and the linear acceleration sensor.) Device implementations: SHOULD implement these sensor types, when they include the prerequisite physical sensors as described in sensor types. If device implementations include a composite sensor, they: """	""	"re_tag:(?<!/)C\-1\-6 7.3/C-1-6 7.3"	""	""	""	"7.3"	""	""	""	"/home/gpoor/cts-source/cts/tests/sensor/src/android/hardware/cts/SensorSupportTest.java"	""	"public void testSupportsAccelerometerUncalibrated() {         // Uncalibrated accelerometer was not required before Android O         if (PropertyUtil.getFirstApiLevel() >= Build.VERSION_CODES.O) {             checkHifiVrSensorSupport(Sensor.TYPE_ACCELEROMETER_UNCALIBRATED);         }     }      @CddTest(requirement=""7.3.9/C-2-3"")"	""	""	""	""	""
"174:551285) 7.3  . Sensors"	"7.3"	"C-1-6"	""	"android.hardware.cts.SensorSupportTest"	"testSupportsGyroscope"	"CtsSensorTestCases"	""	"7.3/C-1-6"	"""C-1-6] MUST report the event time in nanoseconds as defined in the Android SDK documentation, representing the time the event happened and synchronized with the SystemClock.elapsedRealtimeNano() clock.  | C-1-6] MUST set a non-zero resolution for all sensors, and report the value via the Sensor.getResolution() API method. Some sensor types are composite, meaning they can be derived from data provided by one or more other sensors. (Examples include the orientation sensor and the linear acceleration sensor.) Device implementations: SHOULD implement these sensor types, when they include the prerequisite physical sensors as described in sensor types. If device implementations include a composite sensor, they: """	""	"re_tag:(?<!/)C\-1\-6 7.3/C-1-6 7.3"	""	""	""	"7.3"	""	""	""	"/home/gpoor/cts-source/cts/tests/sensor/src/android/hardware/cts/SensorSupportTest.java"	""	"public void testSupportsGyroscope() {         checkHifiVrSensorSupport(Sensor.TYPE_GYROSCOPE);     }      @CddTest(requirement=""7.3.9/C-2-4"")"	""	""	""	""	""
"174:551285) 7.3  . Sensors"	"7.3"	"C-1-6"	""	"android.hardware.cts.SensorSupportTest"	"testSupportsGyroscopeUncalibrated"	"CtsSensorTestCases"	""	"7.3/C-1-6"	"""C-1-6] MUST report the event time in nanoseconds as defined in the Android SDK documentation, representing the time the event happened and synchronized with the SystemClock.elapsedRealtimeNano() clock.  | C-1-6] MUST set a non-zero resolution for all sensors, and report the value via the Sensor.getResolution() API method. Some sensor types are composite, meaning they can be derived from data provided by one or more other sensors. (Examples include the orientation sensor and the linear acceleration sensor.) Device implementations: SHOULD implement these sensor types, when they include the prerequisite physical sensors as described in sensor types. If device implementations include a composite sensor, they: """	""	"re_tag:(?<!/)C\-1\-6 7.3/C-1-6 7.3"	""	""	""	"7.3"	""	""	""	"/home/gpoor/cts-source/cts/tests/sensor/src/android/hardware/cts/SensorSupportTest.java"	""	"public void testSupportsGyroscopeUncalibrated() {         checkHifiVrSensorSupport(Sensor.TYPE_GYROSCOPE_UNCALIBRATED);     }      @CddTest(requirement=""7.3.9/C-2-5"")"	""	""	""	""	""
"174:551285) 7.3  . Sensors"	"7.3"	"C-1-6"	""	"android.hardware.cts.SensorSupportTest"	"testSupportsGeoMagneticField"	"CtsSensorTestCases"	""	"7.3/C-1-6"	"""C-1-6] MUST report the event time in nanoseconds as defined in the Android SDK documentation, representing the time the event happened and synchronized with the SystemClock.elapsedRealtimeNano() clock.  | C-1-6] MUST set a non-zero resolution for all sensors, and report the value via the Sensor.getResolution() API method. Some sensor types are composite, meaning they can be derived from data provided by one or more other sensors. (Examples include the orientation sensor and the linear acceleration sensor.) Device implementations: SHOULD implement these sensor types, when they include the prerequisite physical sensors as described in sensor types. If device implementations include a composite sensor, they: """	""	"re_tag:(?<!/)C\-1\-6 7.3/C-1-6 7.3"	""	""	""	"7.3"	""	""	""	"/home/gpoor/cts-source/cts/tests/sensor/src/android/hardware/cts/SensorSupportTest.java"	""	"public void testSupportsGeoMagneticField() {         checkHifiVrSensorSupport(Sensor.TYPE_MAGNETIC_FIELD);     }      @CddTest(requirement=""7.3.9/C-2-6"")"	""	""	""	""	""
"174:551285) 7.3  . Sensors"	"7.3"	"C-1-6"	""	"android.hardware.cts.SensorSupportTest"	"testSupportsMagneticFieldUncalibrated"	"CtsSensorTestCases"	""	"7.3/C-1-6"	"""C-1-6] MUST report the event time in nanoseconds as defined in the Android SDK documentation, representing the time the event happened and synchronized with the SystemClock.elapsedRealtimeNano() clock.  | C-1-6] MUST set a non-zero resolution for all sensors, and report the value via the Sensor.getResolution() API method. Some sensor types are composite, meaning they can be derived from data provided by one or more other sensors. (Examples include the orientation sensor and the linear acceleration sensor.) Device implementations: SHOULD implement these sensor types, when they include the prerequisite physical sensors as described in sensor types. If device implementations include a composite sensor, they: """	""	"re_tag:(?<!/)C\-1\-6 7.3/C-1-6 7.3"	""	""	""	"7.3"	""	""	""	"/home/gpoor/cts-source/cts/tests/sensor/src/android/hardware/cts/SensorSupportTest.java"	""	"public void testSupportsMagneticFieldUncalibrated() {         checkHifiVrSensorSupport(Sensor.TYPE_MAGNETIC_FIELD_UNCALIBRATED);     }      @CddTest(requirement=""7.3.9/C-2-7"")"	""	""	""	""	""
"174:551285) 7.3  . Sensors"	"7.3"	"C-1-6"	""	"android.hardware.cts.SensorSupportTest"	"testSupportsPressure"	"CtsSensorTestCases"	""	"7.3/C-1-6"	"""C-1-6] MUST report the event time in nanoseconds as defined in the Android SDK documentation, representing the time the event happened and synchronized with the SystemClock.elapsedRealtimeNano() clock.  | C-1-6] MUST set a non-zero resolution for all sensors, and report the value via the Sensor.getResolution() API method. Some sensor types are composite, meaning they can be derived from data provided by one or more other sensors. (Examples include the orientation sensor and the linear acceleration sensor.) Device implementations: SHOULD implement these sensor types, when they include the prerequisite physical sensors as described in sensor types. If device implementations include a composite sensor, they: """	""	"re_tag:(?<!/)C\-1\-6 7.3/C-1-6 7.3"	""	""	""	"7.3"	""	""	""	"/home/gpoor/cts-source/cts/tests/sensor/src/android/hardware/cts/SensorSupportTest.java"	""	"public void testSupportsPressure() {         checkHifiVrSensorSupport(Sensor.TYPE_PRESSURE);     }      @CddTest(requirement=""7.3.9/C-2-8"")"	""	""	""	""	""
"174:551285) 7.3  . Sensors"	"7.3"	"C-1-6"	""	"android.hardware.cts.SensorSupportTest"	"testSupportsGameRotationVector"	"CtsSensorTestCases"	""	"7.3/C-1-6"	"""C-1-6] MUST report the event time in nanoseconds as defined in the Android SDK documentation, representing the time the event happened and synchronized with the SystemClock.elapsedRealtimeNano() clock.  | C-1-6] MUST set a non-zero resolution for all sensors, and report the value via the Sensor.getResolution() API method. Some sensor types are composite, meaning they can be derived from data provided by one or more other sensors. (Examples include the orientation sensor and the linear acceleration sensor.) Device implementations: SHOULD implement these sensor types, when they include the prerequisite physical sensors as described in sensor types. If device implementations include a composite sensor, they: """	""	"re_tag:(?<!/)C\-1\-6 7.3/C-1-6 7.3"	""	""	""	"7.3"	""	""	""	"/home/gpoor/cts-source/cts/tests/sensor/src/android/hardware/cts/SensorSupportTest.java"	""	"public void testSupportsGameRotationVector() {         checkHifiVrSensorSupport(Sensor.TYPE_GAME_ROTATION_VECTOR);     }      @CddTest(requirement=""7.3.9/C-2-9"")"	""	""	""	""	""
