Section	section_id	req_id	Test Availability	Annotation? 	New Req for R?	New CTS for R?	class_def	method	module	Comment(internal) e.g. why a test is not possible 	Comment (external) 	New vs Updated(Q)	CTS Bug Id 	CDD Bug Id	CDD CL	Area	Shortened	Test Level		external version			
2.5.3 Software(Auto)	3	A-0-1	Not testable							The feature cannot be tested standalone						Non-phone Form Factors(Automotive)	Vertical	-1					
	3	A-0-3	Test Available				android.app.cts.UiModeManagerTest	testUiMode()	CtsAppTestCases							Framework (UI)	Framework	1					
	3	A-1-1	Not testable		Yes					Testing  for the absense of a restricted behavior in 3rd party code base does not seem possible.								-1					
	3	A-1-2	Not testable		Yes					Testing for the absense of property in 3rd party code base does not seem possible with the current CTS								-1					
2.4.3 Software-Watch	3	W-0-1	Not testable													Non-phone Form Factors(Watch)	Vertical	-1					
	3	W-0-2	Test Available				android.app.cts.UiModeManagerTest	testUiMode()	CtsAppTestCases							Framework (UI)	Framework	2					
3.1 Managed API Compatibility	3.1	C-0-1	Not testable													Framework(API compatibility)	Framework	-1					
	3.1	C-0-2	Not testable													Framework(API compatibility)	Framework	-1					
	3.1	C-0-3	Not testable													Framework(API compatibility)	Framework	-1					
	3.1	C-0-4	Not testable													Framework(API compatibility)	Framework	-1					
	3.1	C-0-5	Test Available				android.signature.cts.api.AnnotationTest	android.signature.cts.api.AnnotationTest.*	CtsSystemApiAnnotationTestCases			Updated in Q		122980592	6933982	Framework(API compatibility)	Framework	1					
	3.1	C-0-6	Test Available				android.signature.cts.api.*	android.signature.cts.api.*.*	CtsSingnatureTestCases			New in Q		122980592	6933982	Framework(API compatibility)	Framework	1					
	3.1	C-0-7	Test Available				com.android.cts.signedconfig.SignedConfigHostTest	public void.*	CtsSignedConfigHostTest			New in Q		122980592	6933982	Framework(API compatibility)	Framework	2					
	3.1.1	C-0-2	Test Available		Yes		 android.os.ext.cts.SdkExtensionsTest	testValidValues										2					
	3.1.1	C-0-3	Not testable		Yes					Verifying all the APIs for all of the APIs at a given version requires that all APIs have validating tests with sufficient coverate accessable to the CTS. This is not the case								-1					
3.1.1.Android Extensions	3.1.1.1	C-0-1	Test Available				android.os.ctsRequiredComponentTest	testExtServicesPresent() testSharedServicesPresent()	CtsOsTestCases							Framework(API compatibility)	Framework	2					
3.1.2 Android Library	3.1.2	C-0-1	Test Available				android.signature.cts.api.SignatureTest	android.signature.cts.api.SignatureTest.*	CtsApacheHttpLegacy27ApiSignatureTestCases							Framework(API compatibility)	Framework	2					
	3.1.2	C-0-2	Manually Testable Missing Test				android.signature.cts.api.SignatureTest	android.signature.cts.api.SignatureTest.*	CtsApacheHttpLegacy27ApiSignatureTestCases							Framework(API compatibility)	Framework	1					
	3.10	H-0-1	Test Available				android.accessibilityservice.cts.*	public void*	CtsAccessibilityTestCases							Framework (a11y)	Framework	2					
	3.10	T-0-1	Test Available				android.accessibilityservice.cts.*	public void.*	CtsAccessibilityTestCases							Framework (a11y)	Framework	2					
	3.10	W-1-1	Test Available				android.accessibilityservice.cts.AccessibilityEndToEndTest	public void .*	CtsAccessibilityServiceTestCases							Framework (a11y)	Framework	1					
3.10 Accessibility	3.10.	C-1-1	Not testable				android.accessibilityservice.cts.*	public void .*	CtsAccessibilityServiceTestCases							Framework (a11y)	Framework	2					
	3.10.	C-1-2	Test Available				android.accessibilityservice.cts.AccessibilityEndToEndTest	testTypeNotificationStateChangedAccessibilityEvent testTypeViewClickedAccessibilityEvent testTypeViewFocusedAccessibilityEvent testTypeViewLongClickedAccessibilityEvent testTypeViewSelectedAccessibilityEvent testTypeViewTextChangedAccessibilityEvent testTypeWindowStateChangedAccessibilityEvent	CtsAccessibilityServiceTestCases							Framework (a11y)	Framework	2					
	3.10.	C-1-4	Test Available							Punted to R						Framework (a11y)	Framework	0.2					
	3.10.	C-2-1	Test Available							Punted to R			74204992			Framework (a11y)	Framework	0					
